Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017
P/L,"5,83","6,35","6,97","-446,42","960,72","4,80","-20,27","1,97",-,-
P/VP,"0,92","1,01","0,95","1,02","0,27","0,53","1,27","0,70",-,-
P/EBIT,"3,34","3,57","3,90","7,64","2,98","17,01","-20,53","1,86",-,-
P/EBIT *,"3,57","3,88","3,38","5,47","4,89","-13,58","-13,85","6,09",-,-
PSR,"0,43","0,47","0,41","0,45","0,13","0,31","0,83","0,36",-,-
P/Ativos,"0,40","0,40","0,31","0,31","0,08","0,18","0,46","0,32",-,-
LPA,"1,90","1,90","1,47","-0,02","0,00","1,07","-0,54","3,15",-,-
VPA,"12,01","12,03","10,73","9,70","9,73","9,72","8,61","8,89",-,-
EBIT por ação,"3,31","3,39","2,63","1,29","0,87","0,30","-0,53","3,35",-,-
EBIT por ação *,"3,10","3,12","3,03","1,81","0,53","-0,38","-0,79","1,02",-,-
Ativo por ação,"28,00","30,23","32,62","31,55","31,24","28,14","23,71","19,59",-,-
Receita líquida por ação,"25,92","25,90","24,77","21,80","20,06","16,72","13,25","17,15",-,-
Margem bruta,"55,84%","55,52%","54,69%","52,42%","50,23%","46,52%","46,42%","48,59%","49,60%","48,09%"
Margem líquida,"7,32%","7,35%","5,93%","-0,10%","0,01%","6,38%","-4,07%","18,39%","3,38%","1,92%"
Margem EBIT,"12,79%","13,08%","10,60%","5,93%","4,34%","1,80%","-4,02%","19,55%","6,93%","5,89%"
Margem EBIT *,"11,94%","12,04%","12,23%","8,28%","2,64%","-2,25%","-5,96%","5,96%","7,14%","6,25%"
Margem EBITDA,"17,16%","17,40%","15,17%","11,40%","15,28%","13,15%","2,01%","29,04%","10,92%","9,82%"
Margem EBITDA *,"16,32%","16,36%","16,81%","13,75%","13,58%","9,10%","0,07%","15,45%","11,14%","10,18%"
Margem operacional,"9,04%","9,11%","6,72%","-0,72%","-0,70%","0,02%","-6,26%","26,91%","4,39%","2,81%"
ROE,"15,79%","15,84%","13,68%","-0,23%","0,03%","10,99%","-6,27%","35,48%","15,57%","9,63%"
ROA,"0,07","0,06","0,04","-0,00","0,00","0,04","-0,02","0,16","0,05","0,03"
ROIC,"15,71%","16,00%","12,96%","5,90%","4,41%","1,49%","-3,54%","21,59%","15,14%","13,03%"
ROIC *,"14,68%","14,72%","14,97%","8,24%","2,68%","-1,87%","-5,25%","6,58%","15,60%","13,83%"
Giro do ativo,"0,93","0,86","0,76","0,69","0,64","0,59","0,56","0,88","1,48","1,48"
EBIT *,954 mi,961 mi,934 mi,556 mi,163 mi,-117 mi,-244 mi,314 mi,367 mi,314 mi
EBITDA,1.371 mi,1.389 mi,1.158 mi,766 mi,944 mi,677 mi,82 mi,1.534 mi,561 mi,494 mi
EBITDA *,1.304 mi,1.305 mi,1.283 mi,924 mi,839 mi,468 mi,2 mi,816 mi,572 mi,512 mi
Liquidez corrente,"1,67","1,46","1,30","1,46","1,29","1,63","1,56","1,71","1,25","1,05"
Liquidez seca,"1,12","1,09","1,03","1,18","1,06","1,28","1,28","1,40","0,97","0,81"
Liquidez imediata,"0,18","0,25","0,36","0,38","0,45","0,43","0,67","0,26","0,25","0,21"
Dívida bruta,937 mi,960 mi,1.498 mi,1.687 mi,2.150 mi,1.374 mi,1.211 mi,0 mi,1 mi,2 mi
Dívida líquida,131 mi,-83 mi,-75 mi,340 mi,468 mi,324 mi,-298 mi,-448 mi,-445 mi,-430 mi
Capital de giro,1.609 mi,1.443 mi,1.143 mi,1.406 mi,1.073 mi,1.514 mi,1.268 mi,1.248 mi,445 mi,102 mi
Endividamento geral,"133,06%","151,38%","203,88%","225,15%","220,97%","189,57%","175,34%","120,37%","211,95%","237,23%"
