Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,4T2017
Ativo total,"8,63 B","9,32 B","8,92 B","8,87 B","9,28 B","10,05 B","8,78 B","8,61 B","8,89 B","9,73 B","8,75 B","8,71 B","9,04 B","9,63 B","9,01 B","9,01 B","8,26 B","8,67 B","7,61 B","6,96 B","6,80 B","7,31 B","6,78 B","6,50 B","5,80 B","6,04 B","5,55 B","5,57 B","5,43 B","3,48 B","3,39 B"
Ativo circulante,"4,02 B","4,56 B","4,25 B","4,18 B","4,36 B","4,99 B","4,10 B","3,91 B","3,98 B","4,44 B","4,19 B","4,08 B","4,31 B","4,75 B","4,06 B","4,38 B","3,63 B","3,93 B","3,08 B","2,90 B","2,97 B","3,52 B","3,09 B","2,82 B","2,06 B","3,00 B","2,20 B","1,92 B","1,77 B","2,20 B","2,13 B"
Caixa e eq. de caixa,"445,14 M","774,52 M","907,27 M","832,72 M","1,19 B","1,40 B","949,12 M","610,13 M","1,02 B","1,16 B","1,12 B","960,84 M","1,46 B","1,67 B","1,23 B","1,11 B","660,37 M","1,05 B","969,38 M","878,96 M","1,04 B","1,51 B","1,32 B","1,26 B","279,96 M","447,11 M","188,73 M","95,31 M","134,88 M","446,01 M","431,76 M"
Aplicações financeiras,"360,60 M","268,85 M","273,19 M","171,16 M","327,92 M","169,31 M","199,02 M","204,97 M","185,00 M","191,59 M",0,"4,51 M","4,39 M","8,73 M","8,46 M","4,10 M","3,98 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"1,19 B","1,75 B","1,27 B","1,44 B","1,20 B","1,86 B","1,34 B","1,48 B","1,26 B","1,78 B","1,01 B","1,09 B","846,02 M","1,28 B","1,11 B","1,26 B","986,77 M","1,15 B","873,11 M","849,90 M","576,89 M","1,06 B","680,85 M","374,46 M","690,90 M","1,15 B","831,69 M","935,82 M","755,23 M","1,14 B","1,07 B"
Estoques,"1,32 B","1,15 B","1,17 B","1,16 B","1,18 B","1,03 B","1,16 B","1,09 B","1,05 B","875,15 M","998,03 M","963,92 M","1,00 B","852,03 M","974,96 M","960,94 M","979,77 M","849,27 M","882,75 M","862,40 M","939,02 M","641,02 M","762,17 M","810,28 M","784,24 M","544,72 M","586,92 M","605,68 M","605,20 M","490,61 M","479,43 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"4,61 B","4,76 B","4,67 B","4,69 B","4,92 B","5,06 B","4,68 B","4,71 B","4,91 B","5,28 B","4,57 B","4,64 B","4,73 B","4,88 B","4,95 B","4,63 B","4,63 B","4,74 B","4,53 B","4,07 B","3,83 B","3,79 B","3,68 B","3,68 B","3,74 B","3,04 B","3,35 B","3,65 B","3,66 B","1,28 B","1,27 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"2,55 B","2,53 B","2,38 B","2,29 B","2,30 B","2,35 B","2,05 B","2,06 B","2,13 B","2,42 B","2,31 B","2,32 B","2,34 B","2,43 B","2,45 B","2,45 B","2,40 B","2,48 B","2,31 B","2,18 B","2,14 B","2,18 B","2,16 B","2,21 B","2,27 B","2,23 B","2,28 B","2,31 B","2,32 B","636,93 M","612,57 M"
Intangível,"827,67 M","849,73 M","837,44 M","853,65 M","863,61 M","892,81 M","901,41 M","920,47 M","939,82 M","964,76 M","977,34 M","995,54 M","1,01 B","1,02 B","999,94 M","984,70 M","965,86 M","975,70 M","402,68 M","364,31 M","315,53 M","294,96 M","220,27 M","217,24 M","212,77 M","187,34 M","196,92 M","207,46 M","211,22 M","196,90 M","199,09 M"
