Conta,3T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
P/L,"-6,55","-9,61","-6,31","-15,07","-486,20","-14,08","32,94","54,43","363,72","158,72",-,-
P/VP,"0,46","1,08","1,52","3,61","2,33","1,15","1,06","1,74","1,98","2,00",-,-
P/EBIT,"4,16","10,46","35,92","-107,15","31,02","-150,31","9,54","15,89","34,40","23,34",-,-
P/EBIT *,"5,65","11,04","35,17","-271,01","29,06","-200,65","10,82","19,20","23,01","22,76",-,-
PSR,"0,39","0,97","1,18","3,16","2,41","1,48","1,27","2,03","2,24","2,47",-,-
P/Ativos,"0,16","0,41","0,52","1,31","1,08","0,54","0,57","0,99","1,06","1,08",-,-
LPA,"-0,49","-0,81","-1,45","-1,50","-0,04","-0,64","0,27","0,26","0,04","0,10",-,-
VPA,"7,00","7,19","6,02","6,23","7,71","7,81","8,42","8,25","8,00","7,70",-,-
EBIT por ação,"0,77","0,74","0,26","-0,21","0,58","-0,06","0,94","0,90","0,46","0,66",-,-
EBIT por ação *,"0,57","0,70","0,26","-0,08","0,62","-0,04","0,83","0,75","0,69","0,68",-,-
Ativo por ação,"19,87","18,96","17,52","17,17","16,69","16,68","15,76","14,50","15,00","14,22",-,-
Receita líquida por ação,"8,14","7,99","7,74","7,12","7,46","6,10","7,04","7,07","7,07","6,24",-,-
Margem bruta,"26,83%","29,22%","30,93%","30,02%","31,33%","17,80%","26,55%","26,87%","29,81%","37,88%","39,66%","33,96%"
Margem líquida,"-5,21%","-9,14%","-17,98%","-20,21%","0,17%","-9,95%","4,67%","4,79%","1,36%","3,02%","-1,63%","-1,10%"
Margem EBIT,"9,47%","9,29%","3,30%","-2,95%","7,76%","-0,98%","13,30%","12,75%","6,53%","10,57%","15,54%","7,58%"
Margem EBIT *,"6,96%","8,80%","3,37%","-1,17%","8,28%","-0,74%","11,72%","10,55%","9,76%","10,84%","13,48%","8,19%"
Margem EBITDA,"19,87%","17,69%","11,19%","7,90%","18,28%","11,85%","24,28%","20,42%","13,86%","16,29%","20,64%","16,88%"
Margem EBITDA *,"17,37%","17,20%","11,26%","9,68%","18,80%","12,10%","22,71%","18,23%","17,09%","16,56%","18,59%","17,49%"
Margem operacional,"-3,56%","-7,84%","-16,91%","-21,50%","0,22%","-7,87%","6,12%","6,50%","-0,74%","3,64%","1,00%","-1,43%"
ROE,"-5,88%","-9,78%","-22,47%","-22,33%","0,16%","-7,55%","3,79%","3,97%","1,15%","2,37%","-1,56%","-0,58%"
ROA,"-0,02","-0,04","-0,08","-0,08","0,00","-0,04","0,02","0,02","0,01","0,01","-0,01","-0,00"
ROIC,"4,26%","4,19%","1,68%","-1,39%","3,77%","-0,41%","6,31%","6,61%","3,32%","5,30%","7,45%","2,17%"
ROIC *,"3,13%","3,97%","1,71%","-0,55%","4,02%","-0,31%","5,57%","5,48%","4,96%","5,43%","6,46%","2,35%"
Giro do ativo,"0,41","0,42","0,44","0,41","0,45","0,37","0,45","0,49","0,47","0,44","0,46","0,27"
EBIT *,86 mi,107 mi,39 mi,-13 mi,94 mi,-7 mi,125 mi,113 mi,105 mi,103 mi,94 mi,32 mi
EBITDA,246 mi,215 mi,132 mi,85 mi,207 mi,110 mi,260 mi,219 mi,149 mi,154 mi,144 mi,66 mi
EBITDA *,215 mi,209 mi,132 mi,105 mi,213 mi,112 mi,243 mi,196 mi,184 mi,157 mi,130 mi,68 mi
Liquidez corrente,"1,01","1,04","0,71","0,71","0,83","1,19","1,03","1,04","1,11","1,22","1,15","1,08"
Liquidez seca,"0,99","1,02","0,70","0,69","0,81","1,17","1,00","1,02","1,10","1,21","1,13","1,05"
Liquidez imediata,"0,15","0,17","0,30","0,32","0,22","0,48","0,22","0,19","0,25","0,39","0,12","0,23"
Dívida bruta,486 mi,721 mi,1.045 mi,1.034 mi,777 mi,793 mi,614 mi,605 mi,599 mi,505 mi,465 mi,330 mi
Dívida líquida,363 mi,606 mi,826 mi,816 mi,650 mi,564 mi,526 mi,532 mi,507 mi,308 mi,439 mi,282 mi
Capital de giro,4 mi,28 mi,-211 mi,-195 mi,-101 mi,92 mi,10 mi,15 mi,39 mi,89 mi,28 mi,14 mi
Endividamento geral,"175,40%","154,15%","182,82%","166,36%","110,20%","107,62%","81,90%","69,99%","79,88%","78,75%","109,60%","96,93%"
