Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"13,30","11,01","9,36","7,19","8,64","16,91","22,56","29,05","77,58","27,01","6,40","0,77","-9,57","-2,84","-7,76","-18,38","1.079,13"
P/VP,"2,59","3,78","3,86","2,77","3,44","3,67","4,59","3,56","2,89","1,48","1,12","0,67","-1,87","-6,14","8,56","5,16","8,50"
P/EBIT,"4,29","4,73","3,85","3,10","4,05","8,41","9,65","9,82","11,87","6,85","4,30","1,34","-35,90","165,31","6,37","8,78","11,51"
P/EBIT *,"3,97","4,44","3,69","3,01","3,84","8,18","9,35","9,19","11,21","6,35","3,98","2,41","-32,36","7,81","6,21","8,35","10,57"
PSR,"0,83","0,91","0,96","0,71","0,77","1,36","1,43","1,15","0,96","0,56","0,32","0,27","91,95","0,90","1,00","0,99","1,56"
P/Ativos,"0,49","0,54","0,56","0,42","0,49","0,71","0,86","0,70","0,58","0,31","0,20","0,11","0,44","1,16","0,41","0,54","0,78"
LPA,"0,47","0,57","0,65","0,58","0,53","0,35","0,28","0,16","0,04","0,06","0,16","0,66","-0,05","-0,45","-0,27","-0,14","0,00"
VPA,"2,41","1,68","1,57","1,50","1,34","1,63","1,36","1,27","1,16","1,13","0,91","0,76","-0,26","-0,21","0,24","0,51","0,41"
EBIT por ação,"1,45","1,34","1,57","1,34","1,14","0,71","0,65","0,46","0,28","0,25","0,24","0,38","-0,01","0,01","0,33","0,30","0,30"
EBIT por ação *,"1,57","1,43","1,64","1,38","1,20","0,73","0,67","0,49","0,30","0,26","0,26","0,21","-0,01","0,16","0,34","0,32","0,33"
Ativo por ação,"12,81","11,70","10,77","9,83","9,42","8,43","7,29","6,43","5,81","5,42","5,04","4,64","1,09","1,10","5,04","4,90","4,49"
Receita líquida por ação,"7,55","6,96","6,28","5,89","5,97","4,40","4,36","3,92","3,50","3,01","3,20","1,90","0,01","1,42","2,08","2,67","2,24"
Margem bruta,"25,96%","26,44%","31,27%","28,86%","24,10%","21,85%","20,79%","18,26%","13,09%","14,05%","12,90%","19,07%","2,65%","20,49%","24,05%","20,83%","23,96%"
Margem líquida,"8,65%","11,23%","14,24%","13,47%","11,94%","10,87%","8,79%","5,74%","1,30%","2,65%","5,17%","35,14%","-966,12%","-34,03%","-13,67%","-5,46%","3,11%"
Margem EBIT,"19,23%","19,22%","24,95%","22,83%","19,01%","16,20%","14,85%","11,74%","8,10%","8,14%","7,42%","19,93%","-256,12%","0,54%","15,68%","11,25%","13,52%"
Margem EBIT *,"20,77%","20,47%","26,05%","23,49%","20,07%","16,65%","15,33%","12,54%","8,58%","8,78%","8,02%","11,10%","-284,19%","11,46%","16,08%","11,83%","14,73%"
Margem EBITDA,"24,37%","24,12%","29,79%","27,38%","23,15%","21,87%",--%,"17,81%","14,67%","14,74%","13,78%","28,75%","-146,13%","1,09%","21,76%","17,55%","20,53%"
Margem EBITDA *,"25,91%","25,36%","30,89%","28,04%","24,21%","22,32%",--%,"18,61%","15,14%","15,39%","14,39%","19,92%","-174,21%","12,01%","22,16%","18,13%","21,74%"
Margem operacional,"10,50%","12,71%","18,23%","16,72%","15,48%","14,22%","11,14%","7,29%","3,26%","2,19%","1,97%","48,67%","-1.197,74%","-21,99%","3,24%","-4,71%","0,92%"
ROE,"25,27%","30,96%","38,49%","36,94%","37,39%","21,42%","20,94%","13,28%","2,83%","5,01%","12,67%","57,95%","19,79%","236,03%","-38,70%","-14,15%","7,33%"
ROA,"0,05","0,07","0,08","0,08","0,08","0,06","0,05","0,04","0,01","0,01","0,03","0,14","-0,05","-0,44","-0,06","-0,03","0,02"
ROIC,"13,07%","13,63%","17,00%","15,55%","13,62%","11,05%","9,89%","8,07%","5,67%","5,30%","5,53%","9,79%","-1,64%","0,92%","7,34%","6,88%","7,40%"
ROIC *,"14,12%","14,51%","17,75%","16,00%","14,37%","11,35%","10,21%","8,63%","6,00%","5,72%","5,98%","5,45%","-1,82%","19,38%","7,53%","7,24%","8,06%"
Giro do ativo,"0,59","0,59","0,58","0,60","0,63","0,52","0,60","0,61","0,60","0,56","0,63","0,41","0,00","1,29","0,41","0,55","0,50"
EBIT *,4.027 mi,3.660 mi,4.202 mi,3.551 mi,3.079 mi,1.881 mi,1.716 mi,1.262 mi,769 mi,679 mi,658 mi,542 mi,-39 mi,417 mi,860 mi,811 mi,845 mi
EBITDA,4.726 mi,4.314 mi,4.805 mi,4.140 mi,3.552 mi,2.470 mi,--,1.793 mi,1.316 mi,1.140 mi,1.131 mi,1.405 mi,-20 mi,39 mi,1.163 mi,1.203 mi,1.178 mi
EBITDA *,5.024 mi,4.536 mi,4.983 mi,4.240 mi,3.715 mi,2.521 mi,--,1.874 mi,1.359 mi,1.190 mi,1.181 mi,973 mi,-24 mi,437 mi,1.185 mi,1.243 mi,1.247 mi
Liquidez corrente,"1,56","1,38","1,21","1,31","1,29","1,48","1,49","1,52","1,18","1,15","1,33","1,17","0,09","0,10","0,61","0,82","0,78"
Liquidez seca,"1,55","1,37","1,20","1,29","1,28","1,47","1,47","1,51","1,17","1,14","1,32","1,16","0,09","0,10","0,60","0,81","0,77"
Liquidez imediata,"0,07","0,04","0,06","0,07","0,05","0,14","0,07","0,05","0,11","0,14","0,20","0,11","0,03","0,01","0,12","0,21","0,14"
Dívida bruta,19.049 mi,15.745 mi,12.447 mi,10.947 mi,9.828 mi,9.076 mi,7.846 mi,6.679 mi,4.927 mi,3.845 mi,3.732 mi,2.698 mi,1.860 mi,1.799 mi,6.726 mi,6.195 mi,5.112 mi
Dívida líquida,16.220 mi,12.228 mi,9.788 mi,8.933 mi,8.465 mi,5.206 mi,6.913 mi,5.662 mi,3.827 mi,2.627 mi,2.716 mi,1.406 mi,1.808 mi,1.777 mi,6.040 mi,5.435 mi,4.698 mi
Capital de giro,3.043 mi,2.342 mi,1.389 mi,1.604 mi,1.542 mi,2.553 mi,1.582 mi,1.565 mi,612 mi,483 mi,894 mi,532 mi,-1.840 mi,-1.778 mi,-2.198 mi,-668 mi,-645 mi
Endividamento geral,"395,45%","363,52%","363,32%","358,20%","393,85%","277,81%","298,04%","279,56%","260,91%","240,22%","285,83%","301,91%","-525,92%","-637,64%","584,93%","375,14%","373,81%"
