Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"88,15","114,07","66,77","90,63","-23,65","-48,35","101,23",-,-
P/VP,"5,15","4,76","5,23","5,15","6,40","8,43","30,13",-,-
P/EBIT,"22,33","22,13","14,89","19,16","61,28","37,64","19,67",-,-
P/EBIT *,"22,96","23,08","16,31","31,63","89,27","37,26","20,97",-,-
PSR,"6,59","6,53","4,50","4,68","5,63","6,89","5,18",-,-
P/Ativos,"1,69","1,60","1,22","1,61","1,70","2,49","3,03",-,-
LPA,"0,89","0,63","0,63","0,42","-1,55","-0,65","0,21",-,-
VPA,"15,19","15,00","8,10","7,34","5,73","3,70","0,70",-,-
EBIT por ação,"3,50","3,22","2,84","1,97","0,60","0,83","1,07",-,-
EBIT por ação *,"3,40","3,09","2,59","1,20","0,41","0,84","1,01",-,-
Ativo por ação,"46,26","44,67","34,69","23,54","21,57","12,55","6,98",-,-
Receita líquida por ação,"11,87","10,93","9,40","8,08","6,51","4,53","4,08",-,-
Margem bruta,"45,33%","46,20%","45,77%","31,91%","30,00%","41,08%","37,45%","30,58%","31,56%"
Margem líquida,"8,78%","7,04%","8,24%","6,46%","-22,91%","-12,75%","6,02%","-4,76%","22,52%"
Margem EBIT,"29,50%","29,51%","30,23%","24,44%","9,18%","18,30%","26,35%","-6,08%","14,48%"
Margem EBIT *,"28,69%","28,30%","27,60%","14,81%","6,30%","18,48%","24,72%","15,85%","15,88%"
Margem EBITDA,"45,15%","46,76%","47,49%","45,78%","30,80%","30,56%","39,11%","9,29%","26,48%"
Margem EBITDA *,"44,34%","45,55%","44,86%","36,15%","27,92%","30,74%","37,48%","31,23%","27,87%"
Margem operacional,"11,16%","9,22%","11,33%","9,14%","-15,47%","-4,48%","12,10%","-2,96%","34,45%"
ROE,"6,36%","4,77%","8,52%","6,74%","-24,67%","-15,03%","28,54%","16,85%","-81,45%"
ROA,"0,02","0,02","0,02","0,02","-0,07","-0,05","0,04","-0,03","0,09"
ROIC,"9,83%","9,40%","9,99%","9,92%","3,13%","6,87%","16,61%","-3,51%","6,53%"
ROIC *,"9,56%","9,02%","9,12%","6,01%","2,15%","6,94%","15,58%","9,13%","7,16%"
Giro do ativo,"0,26","0,24","0,27","0,34","0,30","0,36","0,58","0,53","0,42"
EBIT *,327 mi,297 mi,249 mi,114 mi,39 mi,80 mi,96 mi,55 mi,46 mi
EBITDA,514 mi,491 mi,429 mi,355 mi,192 mi,133 mi,153 mi,32 mi,78 mi
EBITDA *,505 mi,478 mi,405 mi,280 mi,174 mi,133 mi,146 mi,108 mi,82 mi
Liquidez corrente,"2,27","2,36","2,15","2,29","1,80","3,19","0,78","0,54","0,36"
Liquidez seca,"2,27","2,36","2,15","2,29","1,80","3,19","0,78","0,54","0,36"
Liquidez imediata,"1,44","1,50","1,17","1,12","0,52","0,02","0,03","0,01","0,01"
Dívida bruta,2.240 mi,2.122 mi,1.867 mi,1.125 mi,1.015 mi,556 mi,325 mi,447 mi,508 mi
Dívida líquida,1.384 mi,1.271 mi,1.373 mi,835 mi,846 mi,553 mi,319 mi,445 mi,506 mi
Capital de giro,753 mi,775 mi,488 mi,334 mi,257 mi,414 mi,-44 mi,-105 mi,-210 mi
Endividamento geral,"182,64%","176,74%","281,54%","203,84%","256,56%","226,48%","710,94%","-763,58%","-959,40%"
