Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"4,45 B","4,29 B","4,22 B","4,05 B","3,39 B","3,33 B","3,33 B","2,46 B","2,30 B","2,26 B","2,24 B","2,10 B","2,04 B","2,07 B","1,69 B","1,65 B","1,22 B","1,21 B","924,47 M","966,79 M","1,03 B","670,86 M","675,63 M","667,44 M","660,09 M","653,11 M","703,35 M"
Ativo circulante,"1,35 B","1,35 B","1,45 B","1,37 B","882,97 M","911,75 M","1,12 B","627,37 M","585,66 M","592,64 M","606,04 M","519,93 M","525,18 M","580,21 M","375,08 M","362,22 M","482,52 M","603,15 M","370,82 M","441,57 M","507,79 M","155,52 M","155,67 M","138,93 M","134,78 M","123,03 M","118,67 M"
Caixa e eq. de caixa,"855,59 M","851,33 M","1,04 B","932,77 M","409,97 M","493,30 M","668,55 M","304,60 M","264,31 M","289,43 M","200,80 M","134,76 M","117,99 M","168,88 M","27,29 M","24,27 M","9,61 M","2,92 M","5,34 M","1,12 M","2,11 M","6,04 M","4,24 M","4,11 M","6,09 M","2,32 M","2,84 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"264,49 M","349,44 M",0,0,0,0,0,0
Contas a receber,"311,67 M","281,69 M","261,50 M","229,45 M","210,78 M","194,29 M","212,12 M","209,75 M","207,49 M","184,17 M","236,50 M","216,24 M","242,77 M","258,90 M","284,13 M","249,36 M","166,67 M","163,36 M","131,02 M","147,83 M","129,65 M","112,14 M","114,51 M","101,99 M","83,78 M","80,84 M","74,79 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,10 B","2,95 B","2,77 B","2,68 B","2,50 B","2,42 B","2,21 B","1,83 B","1,71 B","1,67 B","1,63 B","1,58 B","1,52 B","1,49 B","1,31 B","1,29 B","736,35 M","602,91 M","553,65 M","525,22 M","518,80 M","515,34 M","519,96 M","528,51 M","525,31 M","530,08 M","584,68 M"
Investimentos,"117,04 M","117,46 M","119,71 M","118,67 M","116,83 M","112,80 M","106,56 M","101,86 M","102,45 M","98,96 M","77,97 M","79,30 M","47,17 M","44,08 M","39,86 M","30,92 M","15,44 M","4,42 M","1,62 M",0,0,0,0,0,0,0,0
Imobilizado,"2,31 B","2,17 B","2,01 B","1,91 B","1,74 B","1,65 B","1,46 B","1,13 B","1,00 B","961,44 M","943,87 M","889,47 M","852,04 M","827,74 M","789,82 M","775,21 M","456,66 M","394,60 M","310,59 M","312,87 M","302,58 M","295,40 M","283,93 M","286,89 M","279,35 M","272,16 M","275,62 M"
