Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"17,76","9,89","58,86","15,94","4,80","6,25","27,74","9,92","19,90","21,34","22,92","21,80","5,46","19,34","19,08","16,75","45,95"
P/VP,"1,19","1,12","0,94","1,06","1,65","1,89","1,16","1,54","0,98","0,95","0,80","1,11","1,26","1,72","1,60","2,30","3,09"
P/EBIT,"10,41","6,52","14,17","8,60","3,39","4,83","11,85","9,04","8,96","11,18","11,37","14,24","5,19","18,97","29,12","15,86","46,66"
P/EBIT *,"11,64","7,23","14,47","16,52","4,04","7,05","11,92","12,66","9,75","12,04","12,62","16,57","15,87","20,53","36,19","18,27","58,43"
PSR,"0,46","0,40","0,42","0,38","0,53","0,79","0,47","0,60","0,42","0,46","0,40","0,46","0,47","0,80","0,69","0,88","1,32"
P/Ativos,"0,63","0,52","0,50","0,47","0,71","0,83","0,52","0,71","0,44","0,42","0,39","0,53","0,61","0,87","0,86","1,18","1,79"
LPA,"2,08","3,54","0,56","2,33","12,26","7,63","0,74","2,68","0,72","0,62","0,46","0,65","2,71","0,65","0,56","0,83","0,34"
VPA,"31,01","31,30","35,12","35,11","35,70","25,26","17,82","17,29","14,61","13,90","13,24","12,78","11,76","7,27","6,63","6,06","5,10"
EBIT por ação,"3,56","5,37","2,33","4,31","17,38","9,86","1,74","2,94","1,60","1,18","0,93","0,99","2,85","0,66","0,36","0,88","0,34"
EBIT por ação *,"3,18","4,84","2,28","2,25","14,58","6,75","1,73","2,10","1,48","1,10","0,84","0,85","0,93","0,61","0,29","0,76","0,27"
Ativo por ação,"59,17","67,58","65,38","79,37","83,24","57,23","39,93","37,41","32,63","31,49","26,88","26,53","24,34","14,43","12,32","11,81","8,83"
Receita líquida por ação,"80,58","88,15","78,52","97,41","111,49","60,02","43,90","44,55","34,01","28,57","26,53","30,79","31,19","15,66","15,28","15,78","11,93"
Margem bruta,"10,95%","12,38%","9,56%","8,07%","17,97%","17,50%","11,82%","12,85%","12,82%","12,69%","12,12%","10,27%","11,23%","11,25%","9,03%","11,65%","9,25%"
Margem líquida,"2,59%","4,01%","0,71%","2,39%","10,99%","12,71%","1,70%","6,03%","2,12%","2,16%","1,74%","2,11%","8,68%","4,13%","3,64%","5,28%","2,88%"
Margem EBIT,"4,41%","6,09%","2,97%","4,43%","15,58%","16,43%","3,97%","6,61%","4,72%","4,13%","3,51%","3,23%","9,13%","4,21%","2,39%","5,58%","2,83%"
Margem EBIT *,"3,95%","5,49%","2,90%","2,31%","13,07%","11,25%","3,95%","4,72%","4,34%","3,83%","3,17%","2,78%","2,99%","3,89%","1,92%","4,84%","2,26%"
Margem EBITDA,"5,32%","6,78%","3,67%","4,91%","15,96%","17,11%","4,91%","7,54%","5,87%","5,32%","4,71%","4,21%","9,96%","4,74%","2,86%","5,96%","3,06%"
Margem EBITDA *,"4,85%","6,19%","3,61%","2,79%","13,45%","11,93%","4,89%","5,66%","5,49%","5,03%","4,36%","3,75%","3,81%","4,42%","2,39%","5,23%","2,49%"
Margem operacional,"4,00%","5,69%","1,75%","3,78%","16,53%","19,27%","2,66%","7,26%","3,03%","3,09%","2,73%","3,07%","9,27%","5,42%","4,60%","7,31%","4,19%"
ROE,"6,72%","11,30%","1,60%","6,63%","34,34%","30,18%","4,18%","15,53%","4,95%","4,45%","3,49%","5,08%","23,03%","8,89%","8,39%","13,75%","6,73%"
ROA,"0,04","0,05","0,01","0,03","0,15","0,13","0,02","0,07","0,02","0,02","0,02","0,02","0,11","0,04","0,05","0,07","0,04"
ROIC,"11,07%","15,11%","6,32%","10,01%","37,67%","36,05%","8,34%","12,96%","8,46%","6,99%","5,78%","6,28%","17,41%","8,16%","5,54%","12,23%","6,58%"
ROIC *,"9,90%","13,64%","6,19%","5,22%","31,60%","24,69%","8,30%","9,26%","7,78%","6,49%","5,20%","5,40%","5,69%","7,54%","4,45%","10,62%","5,26%"
Giro do ativo,"1,36","1,30","1,20","1,23","1,34","1,05","1,10","1,19","1,04","0,91","0,99","1,16","1,28","1,09","1,24","1,34","1,35"
EBIT *,76 mi,115 mi,54 mi,53 mi,348 mi,161 mi,41 mi,50 mi,35 mi,26 mi,20 mi,20 mi,22 mi,14 mi,7 mi,18 mi,6 mi
EBITDA,102 mi,143 mi,68 mi,114 mi,425 mi,245 mi,51 mi,80 mi,47 mi,36 mi,29 mi,30 mi,74 mi,17 mi,10 mi,22 mi,8 mi
EBITDA *,93 mi,130 mi,67 mi,64 mi,358 mi,171 mi,51 mi,60 mi,44 mi,34 mi,27 mi,27 mi,28 mi,16 mi,8 mi,19 mi,7 mi
Liquidez corrente,"2,08","2,20","2,54","2,83","3,26","2,60","3,15","2,65","2,98","2,11","2,91","2,17","2,38","2,20","2,48","2,39","2,46"
Liquidez seca,"1,48","1,66","2,00","2,09","2,27","2,07","2,48","1,95","2,26","1,61","2,29","1,60","1,73","1,68","1,86","1,69","1,69"
