Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020
P/L,"-10,08","-18,89","30,93","-39,08","4,51","-18,07",-
P/VP,"1,10","1,00","0,59","1,00","0,79","2,93",-
P/EBIT,"10,61","5,41","6,01","11,56","8,68","22,61",-
P/EBIT *,"11,24","8,35","7,96","14,15","15,62","29,42",-
PSR,"0,98","0,95","0,96","2,01","2,19","4,98",-
P/Ativos,"0,28","0,26","0,15","0,43","0,37","0,67",-
LPA,"-1,23","-0,63","0,24","-0,30","2,55","-0,69",-
VPA,"11,34","11,91","12,57","11,78","14,52","4,24",-
EBIT por ação,"1,17","2,21","1,23","1,02","1,32","0,55",-
EBIT por ação *,"1,11","1,43","0,93","0,84","0,74","0,42",-
Ativo por ação,"45,11","46,39","50,22","27,60","30,73","18,62",-
Receita líquida por ação,"12,66","12,54","7,67","5,89","5,25","2,50",-
Margem bruta,"13,55%","16,32%","17,73%","21,45%","20,72%","23,35%","38,98%"
Margem líquida,"-9,12%","-4,23%","3,37%","-5,14%","48,56%","-17,92%","71,54%"
Margem EBIT,"9,24%","17,58%","16,03%","17,37%","25,22%","22,02%","39,62%"
Margem EBIT *,"8,73%","11,40%","12,10%","14,20%","14,01%","16,92%","32,43%"
Margem EBITDA,"26,74%","29,34%","23,93%","27,75%","35,74%","43,33%","62,66%"
Margem EBITDA *,"26,22%","23,16%","20,00%","24,58%","24,53%","38,23%","55,47%"
Margem operacional,"-7,99%","-0,89%","6,58%","13,52%","55,36%","-7,21%","8,31%"
ROE,"-9,25%","-4,05%","1,88%","-2,57%","17,56%","-5,20%","20,00%"
ROA,"-0,03","-0,01","0,01","-0,01","0,08","-0,02","0,09"
ROIC,"2,89%","5,40%","2,92%","4,26%","4,88%","3,27%","5,32%"
ROIC *,"2,73%","3,50%","2,20%","3,49%","2,71%","2,51%","4,36%"
Giro do ativo,"0,28","0,27","0,15","0,21","0,17","0,13","0,13"
EBIT *,1.161 mi,1.501 mi,974 mi,877 mi,772 mi,444 mi,748 mi
EBITDA,3.555 mi,3.866 mi,1.929 mi,1.715 mi,1.971 mi,1.136 mi,1.445 mi
EBITDA *,3.487 mi,3.052 mi,1.612 mi,1.519 mi,1.352 mi,1.003 mi,1.279 mi
Liquidez corrente,"1,11","1,32","1,56","1,54","1,49","1,47","1,21"
Liquidez seca,"1,11","1,32","1,56","1,54","1,49","1,47","1,21"
Liquidez imediata,"0,44","0,60","1,01","0,84","0,74","1,00","0,76"
Dívida bruta,23.856 mi,24.685 mi,27.215 mi,6.418 mi,5.874 mi,4.716 mi,3.756 mi
Dívida líquida,20.284 mi,20.302 mi,20.012 mi,3.180 mi,2.643 mi,3.042 mi,2.653 mi
Capital de giro,738 mi,2.058 mi,3.984 mi,2.087 mi,2.069 mi,750 mi,297 mi
Endividamento geral,"261,05%","253,73%","264,24%","134,41%","111,65%","116,24%","123,18%"
