Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,98 B","1,78 B","1,69 B","1,53 B","1,71 B","1,68 B","1,48 B","1,35 B","1,64 B","1,48 B","1,31 B","1,24 B","1,46 B","1,21 B","1,13 B","1,05 B","1,70 B","1,59 B","991,33 M","1,11 B","1,35 B","1,01 B","830,04 M","912,40 M","1,07 B","930,18 M","917,68 M","870,98 M","1,02 B","989,85 M","879,82 M","906,58 M","962,48 M","897,58 M","829,90 M","680,88 M","859,00 M","814,00 M","699,96 M","709,14 M","779,86 M","676,30 M","627,09 M","655,55 M","938,01 M","544,95 M","511,14 M","490,12 M","535,74 M","469,76 M","474,32 M","488,95 M","675,65 M","603,50 M","544,58 M","524,35 M","566,88 M","488,25 M","455,12 M","401,85 M","499,51 M","469,48 M","421,45 M","365,91 M"
Custos,"-1,32 B","-1,33 B","-1,16 B","-1,07 B","-1,25 B","-1,25 B","-1,04 B","-934,18 M","-1,12 B","-1,06 B","-915,08 M","-868,08 M","-954,43 M","-913,51 M","-824,87 M","-694,59 M","-1,10 B","-1,18 B","-616,79 M","-742,32 M","-897,77 M","-701,09 M","-548,55 M","-617,05 M","-698,30 M","-612,34 M","-575,06 M","-583,37 M","-600,08 M","-692,90 M","-606,57 M","-671,43 M","-648,77 M","-529,86 M","-582,18 M","-512,83 M","-586,00 M","-552,39 M","-472,73 M","-537,79 M","-543,93 M","-456,76 M","-454,59 M","-474,85 M","-503,37 M","-331,07 M","-448,87 M","-374,26 M","-355,49 M","-238,03 M","-304,77 M","-347,69 M","-449,52 M","-421,31 M","-363,74 M","-341,68 M","-383,82 M","-325,49 M","-293,30 M","-248,07 M","-322,81 M","-292,78 M","-254,23 M","-223,16 M"
Lucro bruto,"658,76 M","441,79 M","521,96 M","464,83 M","453,10 M","428,12 M","438,61 M","416,52 M","527,10 M","415,64 M","394,15 M","374,79 M","507,96 M","294,84 M","300,81 M","351,70 M","602,10 M","405,54 M","374,54 M","368,33 M","452,46 M","313,23 M","281,49 M","295,36 M","376,42 M","317,85 M","342,62 M","287,60 M","420,45 M","296,94 M","273,25 M","235,14 M","313,71 M","367,72 M","247,72 M","168,04 M","273,00 M","261,61 M","227,24 M","171,35 M","235,92 M","219,53 M","172,50 M","180,70 M","434,64 M","213,87 M","62,28 M","115,86 M","180,25 M","231,73 M","169,54 M","141,26 M","226,12 M","182,20 M","180,84 M","182,67 M","183,06 M","162,76 M","161,83 M","153,78 M","176,71 M","176,70 M","167,22 M","142,75 M"
Despesas operacionais,"-294,86 M","-224,16 M","-105,06 M","-194,35 M","-218,28 M","-127,14 M","-194,40 M","-161,47 M","-268,60 M","-158,22 M","-151,37 M","-177,23 M","-31,10 M","-132,06 M","-169,47 M","-173,26 M","-165,72 M","-114,36 M","-131,83 M","-95,64 M","-126,44 M","-74,27 M","-133,37 M","-112,99 M","-139,22 M","-136,67 M","-125,40 M","-123,74 M","-111,53 M","-95,53 M","-119,20 M","-117,06 M","-130,41 M","-143,65 M","-92,36 M","-114,25 M","-157,49 M","-107,21 M","-103,19 M","-95,27 M","-131,93 M","-88,48 M","-82,60 M","-82,70 M","-105,57 M","-77,58 M","-78,26 M","-71,24 M","-105,83 M","-95,35 M","-79,17 M","-93,05 M","-111,39 M","-71,83 M","-81,31 M","-72,74 M","-106,63 M","-68,41 M","-65,76 M","-71,53 M","-88,27 M","-76,78 M","-54,03 M","-50,01 M"
Despesas com vendas,"-53,55 M","-56,85 M","-45,97 M","-49,69 M","-53,54 M","-10,86 M","-80,08 M","-56,98 M","-57,87 M","-46,06 M","-45,99 M","-40,50 M","-39,40 M","-52,60 M","-40,92 M","-38,70 M","-46,95 M","-32,77 M","-71,82 M","-12,36 M","-13,77 M","33,82 M","-28,72 M","-41,49 M","-44,35 M","-43,39 M","-41,51 M","-41,66 M","-42,22 M","-41,11 M","-62,83 M","-66,47 M","-3,46 M","-55,26 M","-35,41 M","-52,80 M","-55,41 M","-56,02 M","-48,83 M","-51,89 M","-58,42 M","-33,28 M","-33,76 M","-36,54 M","-34,24 M","-29,68 M","-26,27 M","-31,30 M","-37,88 M","-44,07 M","-29,60 M","-29,11 M","-33,45 M","-28,94 M","-33,31 M","-29,09 M","-29,62 M","-28,19 M","-26,05 M","-26,62 M","-29,70 M","-27,96 M","-13,89 M","-13,38 M"
Despesas administrativas,"-150,77 M","-83,74 M","-55,91 M","-80,51 M","-78,78 M","-59,41 M","-56,21 M","-51,99 M","-64,73 M","-56,09 M","-70,73 M","-53,17 M","-17,32 M","-26,87 M","-67,94 M","-59,88 M","-68,33 M","-56,53 M","-45,77 M","-69,01 M","-120,98 M","-93,56 M","-66,34 M","-52,99 M","-53,78 M","-56,50 M","-53,54 M","-51,61 M","-48,13 M","-45,91 M","-49,40 M","-41,86 M","-51,83 M","-78,26 M","-41,39 M","-52,04 M","-79,11 M","-33,80 M","-46,67 M","-30,76 M","-61,51 M","-39,72 M","-31,49 M","-28,46 M","-77,83 M","-27,47 M","-27,19 M","-25,71 M","-38,64 M","-25,69 M","-23,65 M","-26,69 M","-30,96 M","-20,35 M","-23,40 M","-25,91 M","-20,87 M","-19,43 M","-21,22 M","-21,78 M","-18,83 M","-24,27 M","-19,51 M","-20,31 M"
EBIT,"363,90 M","217,63 M","416,90 M","270,48 M","234,82 M","300,98 M","244,20 M","255,05 M","258,50 M","257,42 M","242,78 M","197,56 M","476,85 M","162,78 M","131,34 M","178,44 M","436,38 M","291,18 M","242,71 M","272,69 M","326,02 M","238,96 M","148,12 M","182,37 M","237,20 M","181,17 M","217,21 M","163,86 M","308,92 M","201,41 M","154,05 M","118,08 M","183,31 M","224,07 M","155,36 M","53,80 M","115,52 M","154,40 M","124,05 M","76,09 M","103,99 M","131,05 M","89,89 M","98,00 M","329,07 M","136,29 M","-15,98 M","44,63 M","74,42 M","136,38 M","90,38 M","48,21 M","114,74 M","110,37 M","99,53 M","109,93 M","76,43 M","94,36 M","96,07 M","82,25 M","88,43 M","99,92 M","113,19 M","92,74 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-125,67 M","-70,75 M","-101,13 M","-93,00 M","-42,43 M","-56,10 M","-58,76 M","-62,02 M","-29,89 M","-16,71 M","-45,16 M","-45,49 M","-7,24 M","-52,48 M","-133,00 M","-16,50 M","-29,31 M","-19,92 M","-10,75 M","-27,00 M","-20,02 M","-9,61 M","3,81 M","-16,39 M","3,22 M","658,00 Mil","-10,62 M","-8,22 M","71,57 M","-10,58 M","-15,30 M","-14,87 M","-1,69 M","4,34 M","-12,07 M","-15,54 M","-13,89 M","-1,43 M","15,24 M","19,43 M","44,80 M","-6,12 M","4,51 M","-23,00 M","-29,99 M","-30,90 M","-15,16 M","-17,45 M","-31,87 M","-39,18 M","-18,65 M","-18,21 M","90,12 M","-12,23 M","-13,67 M","-9,07 M","-9,34 M","-11,64 M","-18,31 M","-7,40 M","-29,17 M","-8,59 M","-16,89 M","-6,76 M"
Antes dos impostos,"238,23 M","146,88 M","315,76 M","177,48 M","192,39 M","244,88 M","185,44 M","193,03 M","228,61 M","240,71 M","197,62 M","152,07 M","469,61 M","110,31 M","-1,66 M","161,94 M","407,07 M","271,26 M","231,97 M","245,69 M","306,00 M","229,35 M","151,93 M","165,97 M","240,42 M","181,83 M","206,59 M","155,64 M","380,49 M","190,83 M","138,74 M","103,21 M","181,62 M","228,41 M","143,28 M","38,25 M","101,63 M","152,97 M","139,30 M","95,52 M","148,78 M","124,93 M","94,40 M","75,00 M","299,08 M","105,39 M","-31,14 M","27,17 M","42,56 M","97,20 M","71,72 M","30,00 M","204,86 M","98,14 M","85,87 M","100,86 M","67,09 M","82,71 M","77,76 M","74,86 M","59,27 M","91,33 M","96,30 M","85,98 M"
