Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2015,2014,2013,2012,2011,2010,2009
P/L,"-15,72","-9,15","5,41","1,24","1,65",-,-,-,-,-,-,-,-,-,-,-
P/VP,"1,14","1,12","1,05","0,68","1,35",-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"-13,88","-24,55","3,07","0,81","1,57",-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"-9,00","-5,67","5,14","1,15","2,10",-,-,-,-,-,-,-,-,-,-,-
PSR,"18,83","2,55","0,18","0,07","0,13",-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,82","0,90","0,83","0,25","0,47",-,-,-,-,-,-,-,-,-,-,-
LPA,"-0,19","-0,46","1,05","4,27","4,97",-,-,-,-,-,-,-,-,-,-,-
VPA,"2,65","3,72","5,39","7,73","6,06",-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"-0,22","-0,17","1,84","6,56","5,24",-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"-0,34","-0,74","1,10","4,58","3,91",-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"3,70","4,64","6,83","21,24","17,37",-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"0,16","1,64","30,78","73,11","63,47",-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"98,75%","-1,90%","17,56%","16,93%","16,58%","18,69%","14,69%","14,49%","13,94%","13,78%","12,40%","10,59%","11,81%","13,17%","14,37%","15,21%"
Margem líquida,"-119,82%","-27,86%","3,40%","5,84%","7,83%","3,50%","2,05%","-2,79%","-0,63%","18,87%","-3,20%","2,30%","-4,33%","-5,05%","-0,31%","-5,03%"
Margem EBIT,"-135,72%","-10,38%","5,99%","8,97%","8,25%","6,52%","4,27%","-1,66%","-5,55%","41,18%","2,74%","4,25%","2,95%","3,15%","6,68%","0,77%"
Margem EBIT *,"-209,16%","-44,96%","3,58%","6,27%","6,16%","4,99%","2,72%","0,31%","-9,16%","-8,66%","1,34%","2,13%","-1,54%","2,88%","4,47%","-1,76%"
Margem EBITDA,"-93,52%","-4,28%","11,05%","9,60%","9,07%","8,21%","5,50%","-1,18%","-4,21%","42,27%","3,24%","4,71%","3,91%","4,58%","7,60%","1,96%"
Margem EBITDA *,"-166,96%","-38,85%","8,64%","6,90%","6,98%","6,68%","3,95%","0,78%","-7,81%","-7,57%","1,84%","2,59%","-0,58%","4,30%","5,38%","-0,57%"
Margem operacional,"-109,28%","3,38%","5,03%","8,15%","7,83%","4,48%","2,46%","-3,31%","-10,92%","24,08%","-3,15%","-0,26%","-3,44%","-4,02%","1,55%","-4,11%"
ROE,"-7,27%","-12,28%","19,42%","55,24%","82,04%","61,18%","95,86%","-2.391,63%","-12,59%","201,35%","42,59%","-73,84%","52,30%","156,79%","-16,02%","-172,41%"
ROA,"-0,05","-0,10","0,15","0,20","0,29","0,10","0,07","-0,07","-0,01","0,28","-0,10","0,08","-0,12","-0,08","-0,01","-0,06"
ROIC,"-6,36%","-3,98%","28,99%","41,66%","47,30%","22,66%","18,38%","-5,28%","-10,77%","65,48%","10,91%","15,40%","9,23%","5,69%","12,48%","1,23%"
ROIC *,"-9,81%","-17,25%","17,32%","29,13%","35,29%","17,35%","11,70%","0,97%","-17,77%","-13,76%","5,34%","7,70%","-4,82%","5,19%","8,35%","-2,82%"
Giro do ativo,"0,04","0,35","4,50","3,44","3,65","2,92","3,61","2,51","1,65","1,49","3,23","3,39","2,72","1,68","1,64","1,22"
EBIT *,-6 mi,-11 mi,16 mi,68 mi,58 mi,22 mi,12 mi,1 mi,-20 mi,-30 mi,11 mi,25 mi,-13 mi,27 mi,43 mi,-13 mi
EBITDA,-3 mi,-2 mi,50 mi,104 mi,85 mi,37 mi,25 mi,-5 mi,-10 mi,143 mi,27 mi,56 mi,30 mi,43 mi,74 mi,14 mi
EBITDA *,-4 mi,-10 mi,39 mi,74 mi,65 mi,30 mi,18 mi,2 mi,-17 mi,-26 mi,15 mi,30 mi,-5 mi,40 mi,52 mi,-5 mi
Liquidez corrente,"2,83","15,81","4,26","1,48","1,85","1,17","0,97","1,06","0,78","0,46","0,50","0,79","0,88","0,74","1,11","1,12"
Liquidez seca,"2,83","15,81","1,43","1,04","1,50","0,96","0,73","0,85","0,61","0,38","0,42","0,72","0,79","0,65","0,97","0,94"
Liquidez imediata,"1,46","11,29","0,91","0,21","0,64","0,25","0,08","0,12","0,14","0,02","0,04","0,04","0,12","0,08","0,14","0,11"
Dívida bruta,0 mi,0 mi,0 mi,90 mi,68 mi,45 mi,33 mi,39 mi,29 mi,103 mi,237 mi,294 mi,246 mi,488 mi,475 mi,453 mi
Dívida líquida,-4 mi,-6 mi,-7 mi,57 mi,9 mi,31 mi,30 mi,33 mi,23 mi,97 mi,201 mi,281 mi,221 mi,460 mi,436 mi,362 mi
Capital de giro,4 mi,7 mi,24 mi,75 mi,79 mi,9 mi,-2 mi,3 mi,-10 mi,-59 mi,-140 mi,-56 mi,-24 mi,-71 mi,25 mi,32 mi
Endividamento geral,"39,47%","24,70%","26,83%","174,83%","186,59%","497,18%","1.193,87%","34.152,63%","1.110,75%","617,21%","-512,51%","-1.046,05%","-543,54%","-1.950,43%","3.041,78%","2.705,07%"
