Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,80","7,23","3,63","3,76","4,41","4,37","4,03","2,27","6,33","6,20","21,74","2,12","2,67","2,60","2,53","7,18","5,20","4,71"
P/VP,"1,14","1,24","0,94","0,88","0,83","0,84","0,66","0,45","0,74","0,43","0,56","0,40","0,74","0,64","0,94","1,48","1,02","0,90"
P/EBIT,"4,93","5,24","2,62","3,00","3,17","2,36","2,45","2,26","4,31","2,35","4,03","1,11","1,50","1,85","3,11","4,03","3,22","2,72"
P/EBIT *,"5,41","5,66","3,61","2,89","3,05","2,73","2,48","1,45","2,95","1,93","2,21","1,00","1,41","2,09","2,94","3,68","2,77","2,57"
PSR,"0,76","0,83","0,65","0,59","0,52","0,49","0,46","0,28","0,48","0,29","0,39","0,24","0,43","0,55","0,77","1,10","0,85","0,83"
P/Ativos,"0,48","0,53","0,43","0,39","0,34","0,32","0,21","0,14","0,18","0,15","0,17","0,13","0,24","0,27","0,33","0,47","0,35","0,33"
LPA,"1,69","1,71","2,49","2,01","1,43","1,31","1,00","1,12","0,59","0,35","0,12","0,86","1,10","1,08","1,49","0,84","0,79","0,75"
VPA,"10,09","9,99","9,57","8,61","7,61","6,80","6,11","5,63","5,09","5,01","4,52","4,54","3,94","4,42","4,04","4,10","4,01","3,90"
EBIT por ação,"2,33","2,36","3,45","2,53","1,99","2,43","1,64","1,12","0,87","0,92","0,63","1,64","1,95","1,52","1,21","1,50","1,27","1,29"
EBIT por ação *,"2,12","2,18","2,50","2,62","2,07","2,10","1,63","1,75","1,28","1,12","1,15","1,83","2,08","1,35","1,29","1,65","1,48","1,36"
Ativo por ação,"23,82","23,42","20,87","19,22","18,75","18,19","18,90","17,66","20,92","14,76","14,69","14,28","12,23","10,42","11,38","12,93","11,73","10,59"
Receita líquida por ação,"15,15","14,94","13,91","12,88","12,04","11,76","8,82","8,91","7,78","7,59","6,56","7,64","6,83","5,11","4,94","5,50","4,84","4,25"
Margem bruta,"16,39%","16,93%","20,48%","22,75%","19,76%","19,98%","21,34%","23,10%","20,61%","19,46%","23,14%","27,82%","34,48%","32,67%","31,42%","36,50%","35,23%","39,17%"
Margem líquida,"11,16%","11,46%","17,88%","15,65%","11,88%","11,15%","11,36%","12,53%","7,82%","4,61%","1,78%","11,29%","16,05%","21,22%","30,22%","15,34%","16,31%","18,15%"
Margem EBIT,"15,39%","15,79%","24,81%","19,62%","16,50%","20,66%","18,66%","12,59%","11,21%","12,17%","9,62%","21,50%","28,56%","29,82%","24,58%","27,32%","26,34%","30,36%"
