Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"37,54","32,96","16,08","-13,07","-47,15","82,07","367,03","74,96","63,80","55,19","55,75","-12,30","9,05","12,61","-297,95","224,82",-,-
P/VP,"0,46","0,60","0,64","1,33","2,21","4,30","19,63","9,13","16,55","10,35","7,76","1,40","1,74","2,07","3,26","4,22",-,-
P/EBIT,"2,80","3,51","4,62","-34,38","30,49","103,00","174,35","53,62","35,24","24,19","8,31","2,38","2,37","3,83","12,07","12,28",-,-
P/EBIT *,"3,41","4,49","4,03","21,91","20,21","183,78","192,20","75,00","37,00","26,61","9,09","2,95","2,99","5,89","14,33","7,30",-,-
PSR,"0,13","0,17","0,19","0,35","0,63","1,37","4,93","3,47","2,44","1,79","0,51","0,09","0,12","0,18","0,28","0,41",-,-
P/Ativos,"0,14","0,18","0,19","0,34","0,62","1,26","5,83","3,49","4,33","2,89","0,79","0,15","0,22","0,30","0,49","0,54",-,-
LPA,"0,18","0,26","0,58","-1,26","-0,64","0,76","0,50","1,19","0,77","0,50","0,11","-0,08","0,17","0,15","-0,01","0,01",-,-
VPA,"14,53","14,53","14,59","12,39","13,72","14,51","9,44","9,75","2,97","2,67","0,80","0,74","0,86","0,90","0,79","0,80",-,-
EBIT por ação,"2,36","2,47","2,01","-0,48","0,99","0,61","1,06","1,66","1,39","1,14","0,75","0,44","0,63","0,48","0,21","0,28",-,-
EBIT por ação *,"1,94","1,94","2,31","0,75","1,50","0,34","0,96","1,19","1,33","1,04","0,68","0,35","0,50","0,31","0,18","0,46",-,-
Ativo por ação,"47,31","48,86","48,09","48,27","48,67","49,47","31,76","25,51","11,34","9,56","7,86","7,09","6,77","6,08","5,29","6,29",-,-
Receita líquida por ação,"49,64","49,88","49,02","47,38","48,07","45,46","37,60","25,63","20,09","15,44","12,25","11,57","12,60","10,42","9,11","8,27",-,-
Margem bruta,"29,88%","29,85%","30,57%","27,64%","27,99%","24,06%","25,77%","27,93%","29,10%","30,09%","30,74%","28,72%","27,53%","27,98%","28,43%","33,40%","34,15%","36,13%"
Margem líquida,"0,35%","0,53%","1,18%","-2,66%","-1,34%","1,67%","1,34%","4,64%","3,83%","3,25%","0,91%","-0,73%","1,31%","1,41%","-0,10%","0,18%","1,43%","-2,77%"
