Conta,2T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,09","-0,19","-0,14","-0,12","-0,52","-0,52","-0,73","-0,98","-2,55","-1,17","-0,03","-0,09","-0,04","-0,05","-3,81","-0,25","0,40"
P/VP,"-0,02","-0,03","-0,03","-0,02","-0,05","-0,07","-0,06","-0,07","-0,25","-0,31","-0,01","-0,02","-0,02","-0,04","-0,40","-0,19","-0,46"
P/EBIT,"-0,08","-0,15","-0,12","-0,11","-0,66","-0,56","-0,86","-0,87","-2,09","-1,14","-0,04","-0,11","-0,05","-0,06","6,01","-0,30","0,39"
P/EBIT *,"-0,08","-0,15","-0,12","-0,11","-0,50","-0,56","-0,86","-0,76","-2,03","-1,01","-0,04","-0,10","-0,05","-0,03","-0,24","-0,15","0,89"
PSR,"0,02","0,03","0,03","0,02","0,09","0,14","0,14","0,17","0,87","0,93","0,02","0,07","0,17","0,01","0,04","0,03","0,12"
P/Ativos,"0,01","0,02","0,02","0,02","0,05","0,07","0,07","0,10","0,51","1,03","0,03","0,06","0,06","0,06","0,14","0,07","0,11"
LPA,"-24,50","-15,38","-14,47","-13,83","-5,35","-6,10","-3,38","-2,62","-3,49","-8,35","-7,13","-2,75","-6,85","-5,42","-0,33","-2,35","1,64"
VPA,"-109,81","-96,17","-80,79","-66,33","-52,51","-47,16","-41,06","-37,69","-35,07","-31,58","-23,23","-16,35","-13,61","-7,71","-3,09","-3,13","-1,42"
EBIT por ação,"-26,76","-18,81","-16,99","-14,26","-4,27","-5,70","-2,88","-2,93","-4,26","-8,61","-4,38","-2,31","-6,01","-4,65","0,21","-1,96","1,65"
EBIT por ação *,"-26,91","-18,96","-17,00","-14,36","-5,65","-5,69","-2,88","-3,36","-4,39","-9,69","-4,34","-2,49","-5,53","-7,92","-5,13","-3,77","0,73"
Ativo por ação,"151,98","128,42","88,25","74,53","62,00","47,80","36,78","26,56","17,38","9,47","5,45","4,70","4,50","4,71","8,90","8,62","6,01"
Receita líquida por ação,"127,68","103,17","74,47","73,59","32,67","22,09","17,51","14,95","10,26","10,51","10,49","3,52","1,71","27,52","34,80","19,70","5,29"
Margem bruta,"-14,43%","-11,01%","-15,15%","-12,68%","-2,78%","-7,38%","3,20%","6,46%","-3,58%","-26,58%","-17,50%","-25,28%","12,29%","-11,32%","-3,49%","1,04%","-10,01%"
Margem líquida,"-19,19%","-14,91%","-19,42%","-18,79%","-16,36%","-27,61%","-19,27%","-17,50%","-33,98%","-79,42%","-67,95%","-77,86%","-399,30%","-19,71%","-0,94%","-11,93%","31,05%"
Margem EBIT,"-20,96%","-18,23%","-22,82%","-19,38%","-13,07%","-25,80%","-16,45%","-19,57%","-41,53%","-81,89%","-41,75%","-65,53%","-351,19%","-16,91%","0,60%","-9,97%","31,24%"
Margem EBIT *,"-21,08%","-18,38%","-22,83%","-19,51%","-17,30%","-25,77%","-16,45%","-22,51%","-42,77%","-92,17%","-41,36%","-70,86%","-323,19%","-28,79%","-14,74%","-19,16%","13,84%"
Margem EBITDA,"-20,11%","-17,74%","-22,56%","-19,29%","-12,89%","-25,56%","-16,06%","-18,24%","-38,94%","-79,32%","-38,95%","-58,46%","-336,23%","-15,93%","1,41%","-9,56%","32,91%"
Margem EBITDA *,"-20,23%","-17,89%","-22,57%","-19,42%","-17,12%","-25,54%","-16,06%","-21,18%","-40,17%","-89,60%","-38,56%","-63,78%","-308,23%","-27,81%","-13,93%","-18,76%","15,51%"
Margem operacional,"-19,19%","-14,91%","-19,42%","-18,79%","-16,36%","-27,61%","-19,28%","-17,50%","-33,97%","-79,44%","-67,96%","-78,02%","-400,25%","-19,69%","-0,92%","-11,94%","18,64%"
ROE,"22,31%","15,99%","17,90%","20,84%","10,17%","12,93%","8,21%","6,94%","9,94%","26,42%","30,66%","16,74%","50,21%","70,38%","10,58%","75,21%","-115,88%"
ROA,"-0,16","-0,12","-0,16","-0,19","-0,09","-0,13","-0,09","-0,10","-0,20","-0,88","-1,31","-0,58","-1,52","-1,15","-0,04","-0,27","0,27"
ROIC,"-18,54%","-15,00%","-19,68%","-20,21%","-6,95%","-12,22%","-7,88%","-11,88%","-25,10%","-94,30%","-85,53%","-61,65%","-144,06%","-104,83%","2,54%","-25,94%","29,05%"
ROIC *,"-18,65%","-15,12%","-19,69%","-20,34%","-9,20%","-12,21%","-7,88%","-13,66%","-25,85%","-106,14%","-84,73%","-66,65%","-132,58%","-178,50%","-62,58%","-49,88%","12,87%"
Giro do ativo,"0,84","0,80","0,84","0,99","0,53","0,46","0,48","0,56","0,59","1,11","1,92","0,75","0,38","5,84","3,91","2,29","0,88"
EBIT *,-1.822 mi,-1.284 mi,-1.151 mi,-973 mi,-383 mi,-386 mi,-195 mi,-228 mi,-298 mi,-656 mi,-294 mi,-169 mi,-375 mi,-537 mi,-348 mi,-256 mi,49 mi
EBITDA,-1.739 mi,-1.239 mi,-1.138 mi,-961 mi,-286 mi,-383 mi,-191 mi,-185 mi,-271 mi,-565 mi,-277 mi,-140 mi,-390 mi,-297 mi,33 mi,-128 mi,117 mi
EBITDA *,-1.749 mi,-1.250 mi,-1.139 mi,-968 mi,-379 mi,-382 mi,-191 mi,-215 mi,-280 mi,-638 mi,-274 mi,-152 mi,-358 mi,-519 mi,-329 mi,-251 mi,55 mi
Liquidez corrente,"0,76","0,82","0,53","0,52","0,55","0,52","0,49","0,43","0,34","0,23","0,17","0,25","0,26","0,46","1,46","1,10","0,91"
Liquidez seca,"0,51","0,60","0,34","0,26","0,54","0,49","0,45","0,40","0,29","0,17","0,14","0,19","0,12","0,29","1,28","0,66","0,68"
Liquidez imediata,"0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Dívida bruta,0 mi,0 mi,3 mi,2 mi,0 mi,0 mi,0 mi,11 mi,41 mi,47 mi,46 mi,42 mi,39 mi,37 mi,65 mi,83 mi,77 mi
Dívida líquida,-54 mi,-94 mi,3 mi,1 mi,-1 mi,-1 mi,-1 mi,11 mi,41 mi,47 mi,45 mi,40 mi,39 mi,37 mi,64 mi,83 mi,77 mi
Capital de giro,-3.131 mi,-1.808 mi,-4.994 mi,-4.247 mi,-3.170 mi,-2.817 mi,-2.373 mi,-2.147 mi,-1.952 mi,-1.503 mi,-804 mi,-298 mi,-223 mi,-96 mi,91 mi,23 mi,-10 mi
Endividamento geral,"-238,36%","-233,49%","-209,19%","-212,31%","-218,03%","-201,31%","-189,54%","-170,43%","-149,53%","-129,95%","-123,44%","-128,74%","-133,04%","-161,16%","-387,96%","-375,86%","-524,31%"
