Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"17,27","21,34","702,03","7,11","19,98","54,95",-,-,-,-,-,-,-,-,-,-,-
P/VP,"1,46","0,81","0,67","0,80","1,57","2,72",-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"5,22","3,83","4,27","2,94","8,79","16,40",-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"5,29","3,88","4,68","5,05","8,85","16,61",-,-,-,-,-,-,-,-,-,-,-
PSR,"0,30","0,17","0,16","0,20","0,44","0,77",-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,45","0,24","0,20","0,22","0,50","0,92",-,-,-,-,-,-,-,-,-,-,-
LPA,"0,36","0,14","0,00","0,36","0,23","0,13",-,-,-,-,-,-,-,-,-,-,-
VPA,"4,26","3,75","3,66","3,23","2,89","2,68",-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"1,19","0,79","0,57","0,88","0,52","0,44",-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"1,17","0,78","0,52","0,51","0,51","0,44",-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"13,70","12,41","12,42","11,88","9,08","7,95",-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"20,59","17,46","15,47","12,69","10,40","9,47",-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"31,95%","31,85%","31,65%","32,11%","32,15%","30,92%","31,42%","33,27%","31,29%","30,23%","31,28%","32,72%","28,99%","28,96%","25,80%","23,91%","23,12%"
Margem líquida,"1,75%","0,82%","0,02%","2,86%","2,18%","1,40%","-0,11%","1,49%","1,37%","0,75%","0,67%","2,85%","3,05%","3,42%","3,92%","3,37%","2,32%"
Margem EBIT,"5,78%","4,54%","3,69%","6,93%","4,97%","4,69%","3,36%","2,86%","2,85%","2,70%","4,68%","6,53%","6,00%","6,72%","7,57%","6,14%","5,58%"
Margem EBIT *,"5,70%","4,49%","3,37%","4,04%","4,93%","4,63%","3,36%","2,93%","2,82%","2,72%","4,64%","6,46%","6,05%","6,64%","7,46%","5,93%","5,22%"
Margem EBITDA,"9,31%","8,64%","8,40%","11,15%","8,67%","8,35%","7,30%","4,59%","4,25%","3,72%","5,75%","8,14%","7,33%","7,87%","8,34%","6,67%",--%
Margem EBITDA *,"9,23%","8,58%","8,08%","8,26%","8,64%","8,29%","7,30%","4,66%","4,22%","3,74%","5,71%","8,07%","7,38%","7,80%","8,22%","6,46%",--%
Margem operacional,"1,17%","0,02%","-2,52%","2,49%","2,30%","1,00%","-0,47%","0,77%","1,09%","-0,13%","0,76%","3,14%","3,50%","4,01%","4,80%","3,88%","2,28%"
ROE,"8,44%","3,79%","0,10%","11,23%","7,87%","4,95%","-0,68%","9,02%","8,67%","4,75%","3,50%","25,06%","27,70%","32,73%","44,12%","49,68%","53,37%"
ROA,"0,03","0,01","0,00","0,03","0,03","0,02","-0,00","0,03","0,03","0,01","0,01","0,05","0,07","0,08","0,11","0,10","0,07"
ROIC,"12,08%","8,84%","6,26%","9,31%","7,93%","8,27%","6,02%","8,18%","9,14%","9,15%","10,75%","20,46%","22,02%","22,46%","34,16%","30,31%","30,27%"
ROIC *,"11,92%","8,73%","5,71%","5,43%","7,88%","8,17%","6,02%","8,39%","9,07%","9,22%","10,67%","20,24%","22,18%","22,20%","33,63%","29,30%","28,30%"
Giro do ativo,"1,50","1,41","1,25","1,07","1,15","1,19","1,34","1,85","2,05","2,00","1,53","1,83","2,26","2,41","2,78","2,93","2,95"
EBIT *,849 mi,567 mi,377 mi,371 mi,371 mi,317 mi,215 mi,183 mi,168 mi,150 mi,215 mi,263 mi,216 mi,208 mi,207 mi,128 mi,94 mi
EBITDA,1.387 mi,1.092 mi,940 mi,1.024 mi,652 mi,572 mi,468 mi,286 mi,253 mi,206 mi,266 mi,332 mi,262 mi,247 mi,232 mi,144 mi,--
EBITDA *,1.375 mi,1.085 mi,904 mi,758 mi,650 mi,568 mi,468 mi,291 mi,251 mi,207 mi,264 mi,329 mi,264 mi,244 mi,228 mi,140 mi,--
Liquidez corrente,"1,59","1,36","1,39","1,41","1,60","1,67","1,30","1,19","1,43","1,25","1,69","1,61","1,81","1,61","1,16","1,09","1,14"
Liquidez seca,"0,56","0,37","0,45","0,37","0,71","0,77","0,43","0,37","0,46","0,46","0,96","0,81","0,72","0,51","0,32","0,38","0,50"
Liquidez imediata,"0,05","0,04","0,14","0,06","0,30","0,31","0,07","0,06","0,06","0,09","0,21","0,25","0,38","0,18","0,03","0,02","0,03"
Dívida bruta,1.733 mi,1.416 mi,1.635 mi,1.573 mi,1.291 mi,878 mi,938 mi,954 mi,713 mi,655 mi,1.247 mi,972 mi,718 mi,569 mi,281 mi,207 mi,194 mi
Dívida líquida,1.547 mi,1.266 mi,1.192 mi,1.405 mi,637 mi,258 mi,814 mi,835 mi,631 mi,511 mi,947 mi,682 mi,452 mi,470 mi,261 mi,198 mi,162 mi
Capital de giro,2.110 mi,1.233 mi,1.251 mi,1.192 mi,1.321 mi,1.258 mi,504 mi,343 mi,605 mi,408 mi,994 mi,705 mi,550 mi,337 mi,97 mi,44 mi,58 mi
Endividamento geral,"220,71%","229,99%","237,85%","266,94%","214,48%","196,45%","369,26%","227,44%","209,75%","216,04%","242,25%","381,55%","301,80%","296,28%","305,20%","403,18%","677,55%"
