Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,00","3,23","4,18","4,36","3,33","3,54","3,32","3,94","6,85","2,77","-15,54","154,92","3,36","3,56","4,38","4,24","6,76","16,67"
P/VP,"0,80","0,83","0,94","0,88","0,57","0,68","0,46","0,41","0,55","0,87","0,37","0,26","0,31","0,48","0,53","0,67","0,86","1,06"
P/EBIT,"10,45","5,19","2,75","3,91","2,10","2,89","2,61","2,45","4,16","1,76","8,42","2,21","1,71","1,81","1,96","2,03","2,63","2,74"
P/EBIT *,"16,04","10,43","3,00","4,08","2,35","3,31","3,67","2,36","6,73","20,60","-3,68","1,64","2,07","1,98","1,74","1,96","5,09","7,00"
PSR,"0,54","0,53","0,49","0,43","0,25","0,33","0,33","0,22","0,34","0,50","0,22","0,13","0,13","0,18","0,18","0,21","0,27","0,34"
P/Ativos,"0,45","0,46","0,45","0,38","0,24","0,26","0,21","0,18","0,24","0,33","0,10","0,07","0,08","0,13","0,13","0,15","0,17","0,18"
LPA,"2,60","4,05","2,96","2,19","1,64","1,61","1,12","0,75","0,54","1,36","-0,07","0,01","0,30","0,41","0,34","0,39","0,26","0,11"
VPA,"16,22","15,81","13,14","10,83","9,56","8,34","8,16","7,23","6,80","4,36","3,08","3,19","3,27","3,07","2,81","2,46","2,08","1,77"
EBIT por ação,"1,24","2,52","4,49","2,45","2,60","1,98","1,42","1,20","0,90","2,14","0,14","0,38","0,59","0,80","0,77","0,81","0,68","0,69"
EBIT por ação *,"0,81","1,25","4,12","2,34","2,33","1,73","1,01","1,25","0,55","0,18","-0,31","0,51","0,49","0,74","0,86","0,84","0,35","0,27"
Ativo por ação,"28,76","28,49","27,50","24,92","22,80","21,85","18,11","16,38","15,36","11,26","10,87","11,97","12,05","11,65","11,30","10,58","10,17","10,46"
Receita líquida por ação,"24,14","24,71","25,08","22,02","21,87","17,18","11,19","13,30","10,98","7,48","5,23","6,52","7,61","8,02","8,17","7,65","6,48","5,47"
Margem bruta,"18,47%","20,10%","29,66%","23,76%","22,67%","23,96%","25,31%","21,62%","20,51%","18,11%","15,01%","25,60%","25,70%","26,25%","26,96%","26,69%","24,05%","25,77%"
