Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,"9,78","13,77","10,53","-5,08","-8,41","-28,33","-83,21","-226,50","947,32","33,48","72,07","17,42","10,36","60,75",-,-
P/VP,"0,55","0,74","0,39","0,70","0,31","1,04","1,37","3,15","3,21","4,09","2,36","1,74","2,86","4,82",-,-
P/EBIT,"1,28","1,70","1,09","3,19","2,28","8,83","28,95","18,11","55,16","33,09","26,79","16,06","14,05","58,40",-,-
P/EBIT *,"1,08","1,42","0,88","2,09","1,39","6,73","10,74","18,41","54,13","32,87","18,27","14,78","14,05","54,33",-,-
PSR,"0,32","0,42","0,24","0,45","0,24","0,94","2,41","1,84","1,93","2,73","1,56","1,34","2,46","5,05",-,-
P/Ativos,"0,12","0,17","0,09","0,17","0,08","0,25","0,75","0,91","1,47","2,13","1,08","0,95","1,81","2,69",-,-
LPA,"0,33","0,31","0,21","-0,82","-0,25","-0,22","-0,10","-0,02","0,01","0,21","0,05","0,16","0,41","0,10",-,-
VPA,"5,92","5,70","5,63","5,95","6,84","5,90","6,20","1,71","1,65","1,72","1,57","1,59","1,48","1,20",-,-
EBIT por ação,"2,53","2,48","2,03","1,30","0,94","0,70","0,29","0,30","0,10","0,21","0,14","0,17","0,30","0,10",-,-
EBIT por ação *,"3,02","2,97","2,52","1,99","1,53","0,91","0,79","0,29","0,10","0,21","0,20","0,19","0,30","0,11",-,-
Ativo por ação,"26,14","25,19","23,99","23,91","26,57","24,47","11,35","5,94","3,58","3,31","3,44","2,91","2,34","2,15",-,-
Receita líquida por ação,"10,16","9,96","9,41","9,24","8,82","6,56","3,52","2,93","2,73","2,59","2,38","2,07","1,72","1,14",-,-
Margem bruta,"63,13%","62,96%","61,86%","59,31%","57,66%","52,85%","51,93%","43,16%","35,86%","38,17%","36,32%","41,00%","46,50%","44,53%","41,62%","30,22%"
Margem líquida,"6,22%","6,38%","5,38%","-5,71%","0,32%","-3,07%","-2,86%","-0,81%","0,20%","8,14%","2,17%","7,69%","22,94%","7,37%","7,26%","-12,55%"
Margem EBIT,"24,93%","24,90%","21,57%","14,06%","10,61%","10,61%","8,31%","10,15%","3,51%","8,24%","5,84%","8,34%","17,53%","8,65%","10,76%","-2,60%"
Margem EBIT *,"29,69%","29,82%","26,76%","21,48%","17,36%","13,92%","22,39%","9,99%","3,57%","8,29%","8,56%","9,06%","17,53%","9,30%","14,93%","3,09%"
Margem EBITDA,"35,50%","35,53%","34,23%","28,38%","26,73%","26,56%","18,85%","20,57%","8,43%","13,15%","10,23%","11,68%","20,58%","11,36%","13,62%","1,07%"
