Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"5,63","5,91","11,95","15,66","11,86","15,36","24,66",-,-
P/VP,"0,89","1,04","1,67","2,20","1,67","1,82","3,17",-,-
P/EBIT,"4,64","4,79","7,64","11,36","9,15","12,72","20,58",-,-
P/EBIT *,"4,94","5,01","7,61","13,44","10,51","11,95","20,51",-,-
PSR,"0,25","0,28","0,48","0,71","0,57","0,73","1,44",-,-
P/Ativos,"0,39","0,44","0,84","1,17","0,94","1,17","2,18",-,-
LPA,"0,75","0,80","0,55","0,53","0,46","0,33","0,32",-,-
VPA,"4,75","4,51","3,97","3,76","3,24","2,78","2,45",-,-
EBIT por ação,"0,91","0,98","0,87","0,73","0,59","0,40","0,38",-,-
EBIT por ação *,"0,86","0,94","0,87","0,62","0,52","0,42","0,38",-,-
Ativo por ação,"10,74","10,57","7,91","7,10","5,76","4,32","3,56",-,-
Receita líquida por ação,"17,14","16,68","13,93","11,62","9,45","6,89","5,38",-,-
Margem bruta,"22,39%","22,40%","22,33%","21,71%","22,05%","23,32%","24,11%","25,91%","26,42%"
Margem líquida,"4,38%","4,83%","3,97%","4,61%","4,89%","4,84%","5,86%","4,20%","4,34%"
Margem EBIT,"5,32%","5,88%","6,22%","6,28%","6,27%","5,77%","7,02%","5,74%","6,15%"
Margem EBIT *,"4,99%","5,63%","6,25%","5,31%","5,46%","6,14%","7,04%","5,93%","6,19%"
Margem EBITDA,"6,02%","7,29%","7,40%","7,60%","7,78%","7,44%","8,56%","7,53%","7,32%"
Margem EBITDA *,"5,69%","7,03%","7,42%","6,63%","6,97%","7,81%","8,59%","7,72%","7,36%"
Margem operacional,"2,90%","3,50%","4,44%","4,77%","5,00%","4,96%","5,84%","4,35%","4,34%"
ROE,"14,42%","16,20%","13,78%","14,07%","14,12%","11,87%","12,72%","17,32%","18,66%"
ROA,"0,07","0,08","0,07","0,08","0,08","0,08","0,09","0,08","0,09"
ROIC,"11,60%","12,48%","14,80%","13,99%","14,43%","11,42%","16,91%","14,54%","17,45%"
ROIC *,"10,88%","11,93%","14,86%","11,83%","12,56%","12,16%","16,97%","15,03%","17,56%"
Giro do ativo,"1,60","1,58","1,76","1,64","1,64","1,59","1,51","1,95","2,03"
EBIT *,1.971 mi,2.162 mi,2.004 mi,1.422 mi,1.187 mi,975 mi,872 mi,476 mi,426 mi
EBITDA,2.376 mi,2.800 mi,2.373 mi,2.036 mi,1.694 mi,1.181 mi,1.061 mi,605 mi,503 mi
EBITDA *,2.247 mi,2.701 mi,2.381 mi,1.776 mi,1.516 mi,1.240 mi,1.064 mi,620 mi,506 mi
Liquidez corrente,"1,71","1,75","2,32","2,45","3,20","3,80","4,46","2,75","2,31"
Liquidez seca,"1,02","1,04","1,27","1,25","1,75","1,68","2,53","1,27","1,03"
Liquidez imediata,"0,26","0,25","0,36","0,30","0,65","0,53","1,55","0,39","0,24"
Dívida bruta,2.720 mi,2.861 mi,2.273 mi,1.779 mi,3.168 mi,1.994 mi,1.182 mi,1.290 mi,792 mi
Dívida líquida,735 mi,1.059 mi,609 mi,490 mi,1.372 mi,1.116 mi,-930 mi,892 mi,529 mi
Capital de giro,5.386 mi,5.456 mi,6.188 mi,6.134 mi,6.046 mi,4.621 mi,4.704 mi,1.770 mi,1.440 mi
Endividamento geral,"106,19%","112,35%","97,44%","86,44%","75,87%","53,71%","43,65%","111,43%","111,86%"
