Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,58","5,29","4,65","4,06","4,17","5,25","5,16","8,14","8,39","4,97","2,45","6,56","7,13",-,-,-,-
P/VP,"1,28","0,76","0,72","0,53","0,63","0,75","0,90","1,27","1,12","0,65","0,26","0,73","0,81",-,-,-,-
P/EBIT,"6,74","3,44","2,98","2,61","2,61","3,33","3,41","5,30","5,07","3,26","1,53","4,19","4,47",-,-,-,-
P/EBIT *,"8,02","3,53","2,58","2,19","2,32","2,98","2,91","4,62","4,22","2,68","1,29","3,39","3,57",-,-,-,-
PSR,"2,19","1,19","1,11","0,82","0,94","1,09","1,18","1,75","1,49","0,90","0,36","1,06","1,21",-,-,-,-
P/Ativos,"0,60","0,40","0,37","0,28","0,34","0,40","0,47","0,67","0,57","0,33","0,13","0,37","0,43",-,-,-,-
LPA,"1,38","1,02","0,99","0,76","0,78","0,66","0,71","0,59","0,45","0,41","0,29","0,28","0,27",-,-,-,-
VPA,"8,17","7,17","6,45","5,81","5,18","4,59","4,09","3,78","3,41","3,18","2,77","2,52","2,36",-,-,-,-
EBIT por ação,"1,55","1,57","1,55","1,18","1,24","1,04","1,08","0,91","0,75","0,63","0,46","0,44","0,43",-,-,-,-
EBIT por ação *,"1,30","1,53","1,80","1,41","1,40","1,16","1,27","1,04","0,90","0,77","0,55","0,54","0,53",-,-,-,-
Ativo por ação,"17,51","13,57","12,44","11,02","9,69","8,73","7,90","7,13","6,70","6,26","5,46","5,00","4,47",-,-,-,-
Receita líquida por ação,"4,77","4,53","4,16","3,75","3,44","3,18","3,13","2,75","2,56","2,30","1,97","1,73","1,57",-,-,-,-
Margem bruta,"56,27%","57,79%","60,03%","57,99%","59,27%","59,97%","60,64%","59,64%","59,78%","58,44%","54,73%","57,39%","60,29%","61,44%","58,30%","54,93%","54,68%"
Margem líquida,"28,86%","22,57%","23,89%","20,30%","22,63%","20,76%","22,87%","21,44%","17,73%","18,03%","14,76%","16,11%","17,00%","15,81%","16,32%","10,06%","9,92%"
Margem EBIT,"32,44%","34,70%","37,30%","31,52%","36,10%","32,72%","34,60%","32,93%","29,36%","27,43%","23,55%","25,25%","27,11%","26,94%","28,39%","22,47%","22,22%"
Margem EBIT *,"27,26%","33,77%","43,16%","37,51%","40,65%","36,57%","40,64%","37,81%","35,28%","33,45%","27,98%","31,20%","33,90%","35,70%","34,90%","30,25%","31,94%"
Margem EBITDA,"41,13%","42,88%","44,93%","39,16%","43,68%","40,26%","41,75%","39,45%","35,76%","33,67%","30,09%","31,94%","33,87%","33,94%","36,90%","32,19%","33,00%"
Margem EBITDA *,"35,95%","41,95%","50,79%","45,15%","48,23%","44,11%","47,78%","44,33%","41,68%","39,69%","34,51%","37,89%","40,66%","42,70%","43,41%","39,97%","42,72%"
Margem operacional,"31,96%","30,40%","32,17%","27,24%","30,81%","28,46%","30,78%","27,99%","23,62%","22,71%","18,19%","21,06%","22,96%","20,98%","21,12%","13,81%","13,53%"
