Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-50,43","-5,68","33,63","17,38","40,05","137,48",-,-
P/VP,"0,61","0,42","0,50","0,54","1,25","3,75",-,-
P/EBIT,"-28,88","-4,76","85,84","-60,60","22,99","49,80",-,-
P/EBIT *,"-15,78","-7,95","31,46","76,44","19,56","49,28",-,-
PSR,"1,00","0,70","0,90","0,93","2,38","7,99",-,-
P/Ativos,"0,48","0,32","0,37","0,35","0,76","2,57",-,-
LPA,"-0,59","-3,70","0,78","1,56","1,60","1,35",-,-
VPA,"48,39","49,55","52,46","50,10","51,19","49,63",-,-
EBIT por ação,"-1,03","-4,42","0,31","-0,45","2,79","3,73",-,-
EBIT por ação *,"-1,88","-2,65","0,84","0,35","3,27","3,77",-,-
Ativo por ação,"61,73","66,39","72,09","77,46","84,21","72,30",-,-
Receita líquida por ação,"29,63","29,99","29,35","29,07","26,87","23,26",-,-
Margem bruta,"59,14%","59,22%","64,36%","63,88%","66,53%","65,36%","70,08%","68,58%"
Margem líquida,"-1,99%","-12,34%","2,08%","4,94%","5,94%","5,81%","4,18%","6,74%"
Margem EBIT,"-3,47%","-14,73%","1,05%","-1,54%","10,37%","16,05%","13,89%","12,40%"
Margem EBIT *,"-6,35%","-8,83%","2,85%","1,22%","12,18%","16,22%","14,12%","15,88%"
Margem EBITDA,"8,27%","5,71%","9,93%","9,16%","17,91%","23,83%","21,69%","16,33%"
Margem EBITDA *,"5,39%","11,61%","11,74%","11,92%","19,73%","24,00%","21,92%","19,81%"
Margem operacional,"-0,03%","-13,47%","6,46%","0,79%","9,56%","11,56%","6,60%","10,03%"
ROE,"-1,22%","-7,47%","1,16%","2,87%","3,12%","2,72%","6,30%","9,15%"
ROA,"-0,01","-0,06","0,01","0,02","0,02","0,02","0,03","0,03"
ROIC,"-2,31%","-9,25%","0,61%","-0,91%","5,77%","11,77%","9,51%","6,85%"
ROIC *,"-4,23%","-5,54%","1,66%","0,72%","6,78%","11,90%","9,66%","8,77%"
Giro do ativo,"0,48","0,45","0,41","0,38","0,32","0,32","0,62","0,51"
EBIT *,-18 mi,-25 mi,7 mi,3 mi,29 mi,34 mi,29 mi,28 mi
EBITDA,22 mi,15 mi,26 mi,24 mi,43 mi,50 mi,44 mi,28 mi
EBITDA *,14 mi,31 mi,31 mi,31 mi,48 mi,51 mi,45 mi,35 mi
Liquidez corrente,"3,30","2,86","3,45","2,64","2,94","4,95","1,19","0,76"
Liquidez seca,"3,30","2,86","3,45","2,64","2,94","4,95","1,19","0,76"
Liquidez imediata,"1,31","1,18","0,84","0,57","0,75","1,35","0,37","0,18"
Dívida bruta,15 mi,18 mi,21 mi,66 mi,90 mi,127 mi,126 mi,47 mi
Dívida líquida,-115 mi,-125 mi,-156 mi,-173 mi,-221 mi,-238 mi,101 mi,29 mi
Capital de giro,142 mi,144 mi,183 mi,199 mi,248 mi,334 mi,12 mi,-25 mi
Endividamento geral,"27,58%","33,98%","37,44%","54,79%","64,53%","45,69%","143,12%","165,40%"
