Conta,4T2025 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"-0,21","-4,01","58,45","17,77","13,45",-,-,-
P/VP,"-2,92","0,97","1,42","1,95","1,96",-,-,-
P/EBIT,"-0,63","3,96","3,84","5,36","6,86",-,-,-
P/EBIT *,"5,68","6,99","4,52","5,80","7,41",-,-,-
PSR,"0,02","0,07","0,14","0,18","0,22",-,-,-
P/Ativos,"0,04","0,12","0,24","0,39","0,42",-,-,-
LPA,"-2,15","-0,41","0,05","0,24","0,30",-,-,-
VPA,"-0,15","1,70","2,07","2,15","2,09",-,-,-
EBIT por ação,"-0,71","0,42","0,77","0,78","0,60",-,-,-
EBIT por ação *,"0,08","0,24","0,65","0,72","0,55",-,-,-
Ativo por ação,"11,46","13,62","12,38","10,78","9,69",-,-,-
Receita líquida por ação,"22,43","24,66","21,29","23,75","18,48",-,-,-
Margem bruta,"3,96%","4,64%","7,13%","6,21%","6,12%","4,84%","4,79%","4,66%"
Margem líquida,"-9,61%","-1,64%","0,28%","1,02%","1,70%","1,16%","2,08%","1,92%"
Margem EBIT,"-3,16%","1,69%","3,60%","3,29%","3,23%","2,10%","3,76%","2,94%"
Margem EBIT *,"0,35%","0,96%","3,05%","3,04%","2,99%","1,69%","1,96%","2,15%"
Margem EBITDA,"0,71%","5,35%","7,77%","6,81%","6,56%","3,20%","4,57%","3,33%"
Margem EBITDA *,"4,23%","4,62%","7,23%","6,56%","6,32%","2,80%","2,77%","2,54%"
Margem operacional,"-7,09%","-1,23%","0,73%","1,33%","2,20%","1,68%","3,06%","2,49%"
ROE,"1.970,43%","-22,98%","2,78%","10,93%","14,60%","18,53%","50,58%","55,74%"
ROA,"-0,19","-0,03","0,00","0,02","0,03","0,03","0,07","0,07"
ROIC,"-7,96%","4,43%","8,87%","9,94%","8,45%","8,47%","16,57%","15,49%"
ROIC *,"0,89%","2,51%","7,53%","9,19%","7,82%","6,84%","8,63%","11,31%"
Giro do ativo,"1,96","1,81","1,72","2,20","1,91","2,85","3,46","3,78"
EBIT *,820 mi,2.444 mi,6.731 mi,7.478 mi,5.711 mi,1.513 mi,1.974 mi,1.911 mi
EBITDA,1.651 mi,13.668 mi,17.131 mi,16.739 mi,12.539 mi,2.861 mi,4.617 mi,2.961 mi
EBITDA *,9.818 mi,11.796 mi,15.936 mi,16.132 mi,12.080 mi,2.501 mi,2.798 mi,2.255 mi
Liquidez corrente,"1,69","1,33","1,10","1,06","1,16","1,12","1,12","1,23"
Liquidez seca,"1,33","1,09","0,87","0,83","0,92","0,78","0,77","0,90"
Liquidez imediata,"0,47","0,47","0,29","0,19","0,20","0,20","0,18","0,28"
Dívida bruta,78.127 mi,68.416 mi,47.164 mi,40.269 mi,32.699 mi,8.072 mi,9.135 mi,5.091 mi
Dívida líquida,61.340 mi,46.694 mi,32.344 mi,31.536 mi,24.465 mi,5.467 mi,6.968 mi,2.272 mi
Capital de giro,24.928 mi,15.182 mi,5.020 mi,2.651 mi,6.630 mi,1.527 mi,1.414 mi,2.267 mi
Endividamento geral,"-10.580,12%","675,75%","479,34%","387,04%","350,81%","459,59%","602,52%","668,80%"
