Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,1T2019
Ativo total,"118,69 B","132,79 B","135,73 B","141,00 B","143,85 B","142,66 B","138,01 B","128,18 B","125,52 B","122,57 B","111,90 B","111,55 B","105,06 B","105,69 B","105,78 B","100,34 B","105,04 B","105,38 B","75,28 B","31,39 B","28,05 B","28,65 B","28,15 B","29,18 B","23,56 B"
Ativo circulante,"60,99 B","60,73 B","57,92 B","61,12 B","66,34 B","66,63 B","61,99 B","56,48 B","59,82 B","57,89 B","47,17 B","47,48 B","49,41 B","51,85 B","51,24 B","47,05 B","51,82 B","53,18 B","33,25 B","14,44 B","12,18 B","11,67 B","11,59 B","13,40 B","12,30 B"
Caixa e eq. de caixa,"16,79 B","17,64 B","14,60 B","21,72 B","9,96 B","10,61 B","8,73 B","14,82 B","7,92 B","6,58 B","4,07 B","8,73 B","4,90 B","6,66 B","5,73 B","8,23 B","5,03 B","6,81 B","4,80 B","2,60 B","1,15 B","1,06 B","1,24 B","2,17 B","2,82 B"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"378,76 M",0,0,0,0,0,0
Contas a receber,"7,43 B","7,76 B","8,83 B","8,02 B","10,66 B","13,14 B","11,88 B","9,83 B","12,98 B","11,47 B","8,75 B","8,42 B","9,92 B","8,69 B","9,24 B","6,27 B","7,23 B","6,12 B","4,19 B","2,44 B","2,00 B","1,82 B","1,78 B","1,78 B","2,39 B"
Estoques,"13,02 B","14,67 B","11,62 B","10,97 B","17,43 B","17,87 B","17,97 B","11,68 B","17,28 B","15,96 B","12,34 B","10,23 B","16,01 B","17,43 B","13,68 B","9,93 B","14,24 B","14,09 B","8,25 B","4,40 B","4,34 B","4,32 B","3,77 B","4,13 B","3,29 B"
Ativos biológicos,"1,56 B","1,58 B","2,85 B","3,51 B","3,60 B","3,71 B","3,90 B","4,19 B","3,82 B","3,96 B","4,13 B","4,14 B","3,25 B","2,17 B","3,10 B","3,91 B","3,11 B","2,29 B","1,97 B",0,0,0,0,0,0
Ativo não circulante,"57,70 B","72,07 B","77,80 B","79,88 B","77,51 B","76,03 B","76,02 B","71,70 B","65,71 B","64,68 B","64,72 B","64,07 B","55,65 B","53,83 B","54,54 B","53,30 B","53,22 B","52,19 B","42,04 B","16,95 B","15,86 B","16,98 B","16,57 B","15,78 B","11,26 B"
Investimentos,"1,96 B","1,93 B","2,00 B","2,03 B","2,01 B","1,31 B","1,36 B","1,32 B","1,32 B","1,32 B","1,37 B","1,38 B","1,37 B","1,39 B","1,35 B","1,35 B","1,32 B","1,28 B","1,27 B","757,23 M","769,25 M","739,82 M","739,55 M","739,01 M","268,00 Mil"
Imobilizado,"38,58 B","41,97 B","47,14 B","48,77 B","45,81 B","43,44 B","43,78 B","43,13 B","38,38 B","37,55 B","37,51 B","37,40 B","33,20 B","32,12 B","33,31 B","33,04 B","31,53 B","29,77 B","23,98 B","7,18 B","6,67 B","7,19 B","7,16 B","7,03 B","5,49 B"
Intangível,"3,52 B","5,63 B","6,25 B","6,19 B","6,27 B","6,58 B","6,59 B","6,53 B","6,48 B","6,02 B","6,01 B","6,15 B","6,14 B","6,10 B","6,08 B","6,02 B","6,03 B","5,84 B","4,75 B","1,35 B","1,08 B","1,11 B","1,13 B","1,15 B","1,13 B"
Passivo total,"118,69 B","132,79 B","135,73 B","141,00 B","143,85 B","142,66 B","138,01 B","128,18 B","125,52 B","122,57 B","111,90 B","111,55 B","105,06 B","105,69 B","105,78 B","100,34 B","105,04 B","105,38 B","75,28 B","31,39 B","28,05 B","28,65 B","28,15 B","29,18 B","23,56 B"
Passivo circulante,"36,06 B","35,41 B","39,89 B","45,94 B","58,26 B","57,66 B","57,44 B","51,46 B","55,86 B","54,32 B","45,80 B","44,83 B","41,56 B","40,65 B","41,82 B","40,42 B","43,74 B","47,00 B","31,58 B","12,91 B","10,99 B","10,19 B","10,65 B","11,98 B","10,03 B"
Fornecedores,"9,63 B","11,25 B","12,03 B","21,84 B","20,04 B","22,82 B","22,86 B","24,03 B","20,15 B","20,69 B","17,86 B","21,45 B","18,79 B","17,30 B","17,85 B","19,06 B","15,68 B","15,03 B","12,30 B","6,66 B","6,07 B","5,58 B","4,07 B","4,12 B","3,84 B"
Empréstimos e financ.,"10,47 B","9,41 B","9,34 B","7,18 B","15,04 B","14,79 B","15,19 B","9,54 B","18,04 B","15,75 B","12,47 B","7,51 B","11,26 B","11,06 B","8,35 B","3,98 B","6,15 B","7,29 B","5,12 B","652,22 M","611,03 M","698,84 M","2,11 B","2,00 B","416,56 M"
Passivo não circulante,"83,76 B","82,96 B","79,00 B","76,89 B","65,15 B","62,54 B","57,31 B","54,60 B","46,51 B","45,45 B","42,74 B","43,82 B","41,70 B","42,61 B","40,97 B","37,67 B","40,35 B","39,40 B","33,26 B","12,87 B","12,44 B","13,95 B","13,55 B","13,05 B","10,46 B"
Emprést. de longo prazo,"67,66 B","67,36 B","63,10 B","61,23 B","49,73 B","46,46 B","39,70 B","37,63 B","32,90 B","32,35 B","31,44 B","32,76 B","32,86 B","33,96 B","32,10 B","28,72 B","31,50 B","30,24 B","24,93 B","7,42 B","6,92 B","7,70 B","7,52 B","7,14 B","4,67 B"
Patrimônio líquido,"-1,13 B","14,42 B","16,83 B","18,18 B","20,43 B","22,47 B","23,25 B","22,13 B","23,16 B","22,80 B","23,36 B","22,90 B","21,81 B","22,42 B","22,99 B","22,26 B","20,95 B","18,97 B","10,44 B","5,61 B","4,61 B","4,52 B","3,95 B","4,15 B","3,06 B"
Aos não controladores,"464,39 M","570,62 M","589,76 M","587,41 M","577,10 M","748,98 M","781,07 M","746,16 M","742,03 M","728,00 M","673,42 M","652,41 M","608,90 M","629,87 M","685,97 M","610,50 M","485,75 M","297,67 M","290,74 M","283,51 M","279,74 M","270,71 M","258,69 M","259,02 M","240,87 M"
