Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,55","9,49","9,27","7,94","11,38","7,18","6,90","7,75","9,42","9,34","6,33","5,51","8,21","4,37","7,62","6,19","7,55","14,94"
P/VP,"2,03","2,04","1,75","1,45","1,23","1,18","1,29","1,29","1,62","1,33","0,83","0,86","1,20","1,04","1,03","0,76","1,06","1,17"
P/EBIT,"9,86","10,44","7,91","6,41","15,47","8,89","6,92","10,81","9,96","25,59","48,48","16,12","16,85","4,84","558,32","-48,42","24,00","-40,48"
P/EBIT *,"0,91","0,95","0,85","0,67","0,60","0,65","0,78","0,74","0,85","0,75","0,45","0,45","0,63","-3,41","-2,18","-1,62","-2,59","-3,58"
PSR,"0,75","0,78","0,70","0,56","0,49","0,52","0,62","0,59","0,69","0,61","0,36","0,36","0,50",--,--,--,--,--
P/Ativos,"0,55","0,57","0,51","0,41","0,33","0,26","0,32","0,33","0,40","0,35","0,23","0,24","0,34","0,30","0,28","0,22","0,31","0,37"
LPA,"5,70","5,23","4,09","3,50","1,76","2,39","2,61","2,13","2,03","1,70","1,42","1,55","1,35","2,17","1,06","0,90","0,96","0,49"
VPA,"24,03","24,35","21,73","19,20","16,27","14,48","13,92","12,79","11,82","11,93","10,82","9,95","9,28","9,11","7,84","7,27","6,87","6,29"
EBIT por ação,"4,94","4,75","4,79","4,34","1,30","1,93","2,60","1,53","1,92","0,62","0,18","0,53","0,66","1,96","0,01","-0,11","0,30","-0,18"
EBIT por ação *,"53,29","52,01","44,62","41,37","33,63","26,30","23,04","22,31","22,40","21,09","19,71","18,86","17,77","-2,79","-3,69","-3,43","-2,81","-2,06"
Ativo por ação,"88,89","86,40","74,10","68,42","61,73","66,31","56,81","50,59","47,27","44,82","39,22","35,86","33,13","31,56","29,19","25,47","23,34","19,80"
Receita líquida por ação,"64,67","63,23","54,51","50,10","40,85","32,83","28,91","27,96","27,56","26,13","24,95","23,91","22,16","0,00","0,00","0,00","0,00","0,00"
Margem bruta,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",--%,--%,--%,--%,--%
Margem líquida,"8,90%","8,38%","7,63%","7,15%","4,38%","7,28%","9,03%","7,63%","7,35%","6,50%","5,65%","6,46%","6,12%",--%,--%,--%,--%,--%
Margem EBIT,"7,63%","7,52%","8,79%","8,66%","3,17%","5,88%","9,01%","5,47%","6,96%","2,38%","0,74%","2,22%","2,98%",--%,--%,--%,--%,--%
Margem EBIT *,"82,41%","82,26%","81,86%","82,58%","82,31%","80,12%","79,70%","79,80%","81,28%","80,70%","78,97%","78,88%","80,20%",--%,--%,--%,--%,--%
Margem EBITDA,"8,65%","8,55%","9,97%","9,84%","4,25%","6,68%","10,23%","6,78%","8,38%","3,72%","2,03%","3,49%","4,10%",--%,--%,--%,--%,--%
Margem EBITDA *,"83,42%","83,29%","83,04%","83,76%","83,39%","80,92%","80,92%","81,11%","82,70%","82,04%","80,26%","80,15%","81,32%",--%,--%,--%,--%,--%
Margem operacional,"11,28%","11,35%","11,19%","10,94%","5,01%","8,08%","13,94%","11,21%","12,15%","9,07%","8,29%","9,14%","9,30%",--%,--%,--%,--%,--%
ROE,"23,74%","21,57%","19,02%","18,52%","10,94%","16,49%","18,75%","16,68%","17,13%","14,23%","13,02%","15,51%","14,60%","23,71%","13,40%","12,34%","14,03%","7,83%"
ROA,"0,06","0,06","0,06","0,05","0,03","0,04","0,05","0,04","0,04","0,04","0,04","0,04","0,04","0,07","0,04","0,04","0,04","0,02"
ROIC,"7,18%","7,08%","8,09%","8,71%","2,81%","3,67%","6,28%","4,39%","6,28%","2,26%","0,77%","2,48%","2,90%","10,36%","0,09%","-0,90%","2,53%","-1,77%"
ROIC *,"77,55%","77,44%","75,32%","83,01%","72,83%","50,03%","55,55%","64,07%","73,35%","76,69%","82,07%","88,37%","78,17%","-14,71%","-24,18%","-26,92%","-23,50%","-20,04%"
Giro do ativo,"0,73","0,73","0,74","0,73","0,66","0,50","0,51","0,55","0,58","0,58","0,64","0,67","0,67","0,00","0,00","0,00","0,00","0,00"
EBIT *,34.457 mi,33.630 mi,28.851 mi,26.752 mi,21.742 mi,17.006 mi,14.895 mi,14.424 mi,14.485 mi,13.633 mi,12.741 mi,12.193 mi,11.491 mi,-1.801 mi,-2.385 mi,-2.215 mi,-1.820 mi,-1.330 mi
EBITDA,3.615 mi,3.496 mi,3.512 mi,3.188 mi,1.122 mi,1.417 mi,1.912 mi,1.225 mi,1.493 mi,628 mi,326 mi,538 mi,586 mi,1.399 mi,131 mi,76 mi,352 mi,-13 mi
EBITDA *,34.880 mi,34.053 mi,29.264 mi,27.134 mi,22.026 mi,17.176 mi,15.123 mi,14.662 mi,14.738 mi,13.860 mi,12.949 mi,12.389 mi,11.651 mi,-1.670 mi,-2.263 mi,-2.065 mi,-1.663 mi,-1.225 mi
Liquidez corrente,"1,24","1,25","1,15","1,13","1,12","1,09","1,18","1,27","1,31","1,40","1,39","1,34","1,16","1,13","1,28","1,32","1,24","1,25"
