Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,27","7,65","9,97","7,44","5,16","3,94","4,81","3,65","4,60","5,36","5,78","5,62","4,44","5,12","6,64","5,13","3,61","3,79"
P/VP,"3,25","3,59","4,53","2,41","1,78","1,00","0,96","0,68","0,83","0,99","1,02","1,06","0,88","0,81","1,16","1,85","1,19","1,61"
P/EBIT,"3,34","3,23","4,51","3,64","2,85","2,31","3,00","1,95","2,59","2,79","3,18","3,12","2,59","3,31","4,25","3,24","2,27","2,91"
P/EBIT *,"3,20","3,10","4,26","3,44","2,71","2,17","2,62","1,77","2,40","2,79","3,18","2,58","2,44","2,88","3,46","2,65","1,90","2,68"
PSR,"0,72","0,73","0,98","0,83","0,61","0,38","0,42","0,27","0,30","0,35","0,43","0,37","0,41","0,47","0,63","0,71","0,48","0,69"
P/Ativos,"0,50","0,56","0,76","0,66","0,51","0,30","0,31","0,23","0,24","0,31","0,32","0,28","0,34","0,36","0,49","0,74","0,50","0,69"
LPA,"4,62","4,94","4,72","5,01","5,09","4,24","3,06","2,55","2,14","1,93","1,82","1,92","2,27","1,67","1,74","2,54","2,32","2,93"
VPA,"11,74","10,53","10,39","15,48","14,79","16,69","15,39","13,76","11,84","10,48","10,31","10,13","11,46","10,59","9,99","7,06","7,06","6,88"
EBIT por ação,"11,44","11,72","10,45","10,24","9,23","7,23","4,90","4,79","3,79","3,71","3,30","3,45","3,88","2,58","2,72","4,02","3,70","3,81"
EBIT por ação *,"11,93","12,22","11,05","10,84","9,69","7,70","5,60","5,27","4,10","3,71","3,30","4,17","4,13","2,97","3,34","4,92","4,42","4,14"
Ativo por ação,"75,69","67,51","61,99","56,06","51,23","55,10","47,88","40,68","40,53","33,47","32,43","38,20","29,94","23,75","23,53","17,64","16,73","15,98"
Receita líquida por ação,"52,83","51,49","48,14","44,92","43,29","43,89","35,27","34,96","32,25","29,98","24,54","28,97","24,64","18,32","18,42","18,39","17,39","16,10"
Margem bruta,"26,49%","27,75%","26,82%","28,43%","26,12%","20,46%","19,42%","18,77%","14,40%","16,33%","15,53%","16,21%","18,65%","18,33%","20,25%","29,58%","27,93%","28,29%"
Margem líquida,"8,74%","9,60%","9,81%","11,16%","11,75%","9,66%","8,66%","7,31%","6,63%","6,45%","7,40%","6,61%","9,20%","9,12%","9,46%","13,82%","13,37%","18,19%"
Margem EBIT,"21,66%","22,76%","21,70%","22,80%","21,32%","16,47%","13,90%","13,70%","11,75%","12,38%","13,44%","11,92%","15,76%","14,09%","14,77%","21,88%","21,28%","23,65%"
Margem EBIT *,"22,58%","23,73%","22,95%","24,13%","22,38%","17,53%","15,89%","15,09%","12,71%","12,38%","13,44%","14,41%","16,76%","16,19%","18,15%","26,74%","25,41%","25,74%"
Margem EBITDA,"23,90%","27,28%","25,91%","27,03%","25,07%","19,98%","17,39%","16,95%","11,75%","15,43%","17,06%","14,81%","18,94%","18,23%","18,69%","26,37%","25,60%","27,93%"
