Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"-0,78",-,-,-,-,-,-
P/VP,"0,32",-,-,-,-,-,-
P/EBIT,"-1,10",-,-,-,-,-,-
P/EBIT *,"1,02",-,-,-,-,-,-
PSR,"0,17",-,-,-,-,-,-
P/Ativos,"0,13",-,-,-,-,-,-
LPA,"-3,02",-,-,-,-,-,-
VPA,"7,34",-,-,-,-,-,-
EBIT por ação,"-2,15",-,-,-,-,-,-
EBIT por ação *,"2,32",-,-,-,-,-,-
Ativo por ação,"18,72",-,-,-,-,-,-
Receita líquida por ação,"13,74",-,-,-,-,-,-
Margem bruta,"27,13%","25,80%","20,90%","23,13%","27,65%","33,28%","26,38%"
Margem líquida,"-21,96%","3,42%","-1,32%","2,16%","6,79%","9,83%","3,94%"
Margem EBIT,"-15,69%","7,08%","4,04%","8,29%","12,61%","17,17%","10,46%"
Margem EBIT *,"16,87%","23,40%","19,72%","21,50%","25,04%","31,12%","23,76%"
Margem EBITDA,"6,25%","30,77%","25,71%","24,03%","25,49%","30,60%","23,35%"
Margem EBITDA *,"38,81%","47,09%","41,40%","37,23%","37,92%","44,54%","36,65%"
Margem operacional,"-24,39%","5,01%","-1,79%","0,74%","8,84%","12,71%","4,04%"
ROE,"-41,05%","4,30%","-1,87%","3,58%","11,51%","54,31%","26,92%"
ROA,"-0,16","0,02","-0,01","0,01","0,05","0,08","0,03"
ROIC,"-14,28%","4,77%","3,15%","6,61%","10,73%","17,02%","10,98%"
ROIC *,"15,36%","15,75%","15,38%","17,13%","21,30%","30,84%","24,95%"
Giro do ativo,"0,73","0,58","0,67","0,65","0,71","0,79","0,82"
EBIT *,147 mi,196 mi,177 mi,230 mi,267 mi,223 mi,120 mi
EBITDA,54 mi,257 mi,231 mi,257 mi,271 mi,219 mi,118 mi
EBITDA *,338 mi,394 mi,372 mi,398 mi,404 mi,319 mi,185 mi
Liquidez corrente,"1,68","1,76","2,74","2,20","1,51","1,02","1,17"
Liquidez seca,"1,26","1,30","1,83","1,47","1,07","0,71","0,58"
Liquidez imediata,"0,49","0,28","0,51","0,36","0,07","0,08","0,10"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-172 mi,-103 mi,-102 mi,-153 mi,-39 mi,-38 mi,-29 mi
Capital de giro,237 mi,277 mi,344 mi,507 mi,299 mi,8 mi,48 mi
Endividamento geral,"154,74%","118,58%","113,04%","152,95%","137,00%","601,23%","729,74%"
