Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,68 B","2,70 B","2,55 B","2,19 B","8,30 B","1,97 B","2,07 B",0,"1,90 B","2,37 B","2,14 B","2,16 B","2,23 B","2,10 B","2,12 B","1,76 B","1,59 B","1,38 B","921,00 M","1,11 B","869,79 M","1,03 B","733,46 M","1,31 B","1,15 B","1,48 B","1,56 B","1,29 B","1,13 B","1,30 B","1,51 B","1,16 B","1,31 B","1,31 B","1,41 B","1,38 B","1,43 B","1,47 B","1,26 B","1,29 B","1,53 B","2,19 B","1,01 B","1,76 B","1,36 B","1,25 B","806,57 M","949,21 M","1,12 B","895,25 M","995,38 M","695,03 M","1,10 B","773,84 M","1,12 B","807,73 M","782,30 M","1,13 B","736,10 M","698,04 M","684,78 M","613,69 M","584,97 M","547,83 M"
Custos,"-1,30 B","-1,40 B","-1,24 B","-1,42 B","-4,36 B","-995,53 M","-1,15 B",0,"-991,56 M","-1,26 B","-1,17 B","-1,20 B","-1,03 B","-1,28 B","-1,28 B","-887,56 M","-666,23 M","-555,78 M","-210,37 M","-404,16 M","-120,79 M","-372,96 M","-389,55 M","-878,99 M","-122,37 M","-850,92 M","-764,40 M","-846,09 M","-695,03 M","-915,26 M","-1,16 B","-801,69 M","-727,14 M","-893,30 M","-1,04 B","-1,12 B","-1,03 B","-1,16 B","-970,80 M","-964,31 M","-1,11 B","-1,87 B","-806,16 M","-1,60 B","-907,29 M","-1,01 B","-584,03 M","-601,25 M","-800,31 M","-555,80 M","-757,15 M","-596,65 M","-577,24 M","-514,79 M","-897,10 M","-614,45 M","-526,06 M","-800,09 M","-419,56 M","-384,90 M","-430,78 M","-366,04 M","-381,94 M","-286,12 M"
Lucro bruto,"1,38 B","1,30 B","1,31 B","765,86 M","3,94 B","974,06 M","921,83 M",0,"904,32 M","1,10 B","964,04 M","960,72 M","1,20 B","827,16 M","840,68 M","875,46 M","926,53 M","827,54 M","710,63 M","702,90 M","749,00 M","655,24 M","343,92 M","435,62 M","1,03 B","632,20 M","798,78 M","447,87 M","438,01 M","388,81 M","352,45 M","355,99 M","581,75 M","417,07 M","371,80 M","255,27 M","403,13 M","304,44 M","285,96 M","324,19 M","420,12 M","318,52 M","208,02 M","157,38 M","451,75 M","237,94 M","222,54 M","347,96 M","324,11 M","339,44 M","238,24 M","98,38 M","524,35 M","259,05 M","224,42 M","193,28 M","256,25 M","331,33 M","316,54 M","313,14 M","254,00 M","247,65 M","203,03 M","261,71 M"
Despesas operacionais,"-135,52 M","123,65 M","204,66 M","-43,08 M","318,62 M","105,08 M","58,09 M",0,"-83,51 M","-160,17 M","-147,75 M","-118,58 M","-26,57 M","85,53 M","-435,37 M","-70,57 M","80,88 M","-302,16 M","-89,37 M","-24,16 M","-271,01 M","-55,09 M","-339,06 M","62,66 M","-288,70 M","-103,27 M","-61,06 M","-18,26 M","24,81 M","-25,96 M","-132,61 M","-128,86 M","38,48 M","-177,94 M","-89,93 M","-248,16 M","-203,46 M","-398,65 M","-178,56 M","-94,66 M","-195,48 M","-403,01 M","-144,85 M","-122,71 M","-22,25 M","-39,61 M","50,33 M","-116,87 M","-193,15 M","-105,46 M","-5,86 M","-144,49 M","-264,39 M","-166,10 M","-172,15 M","-36,43 M","-295,24 M","-98,71 M","-30,38 M","-124,50 M","-104,95 M","-126,17 M","-107,04 M","-97,95 M"
Despesas com vendas,"-391,50 M","-114,88 M","-21,09 M",0,"-437,16 M",--,--,--,"-80,52 M","-266,97 M","-96,26 M","-110,36 M","-99,63 M","-1,76 M","-387,05 M","-107,51 M","-48,76 M","-82,43 M","-56,12 M","-70,63 M","-211,63 M","-17,84 M","-106,24 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-554,21 M",--,"-595,93 M","-520,73 M","-529,02 M","-504,58 M","-498,01 M","-498,69 M","-501,10 M","-567,77 M","-490,70 M","-479,53 M","-463,46 M","-467,22 M","-516,57 M","-460,65 M","-455,91 M","-523,15 M","-424,19 M","-431,57 M","-426,03 M","-460,16 M","-374,43 M","-375,62 M","-355,55 M","-408,33 M","-348,90 M","-333,85 M","-427,61 M","-363,75 M","-310,86 M","-322,08 M","-277,85 M","-327,84 M","-274,55 M","-263,43 M","-283,89 M","-346,15 M","-250,49 M","-232,39 M","-252,26 M","-307,70 M","-253,07 M","-233,40 M","-225,57 M"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"676,37 M",--,"599,08 M","-20,53 M","498,28 M","744,42 M","528,92 M","737,72 M","429,61 M","462,82 M","362,85 M","219,84 M","227,13 M","620,23 M","239,13 M","281,87 M","7,11 M","199,68 M","-94,21 M","107,39 M","229,52 M","224,65 M","-84,49 M","63,17 M","34,67 M","429,50 M","198,33 M","272,87 M","231,09 M","130,96 M","233,99 M","232,38 M","-46,10 M","259,96 M","92,95 M","52,27 M","156,85 M","-38,99 M","232,62 M","286,17 M","188,64 M","149,04 M","121,48 M","95,99 M","163,76 M"
Resultado financeiro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,37 M",--,"1,07 M","25,39 M","2,44 M","-171,00 Mil","-2,34 M","-18,97 M","15,65 M","996,00 Mil","284,00 Mil","1,05 M","1,18 M","18,48 M","-1,91 M","-547,00 Mil","-1,85 M","-788,00 Mil","275,00 Mil","-171,00 Mil","376,00 Mil","-275,00 Mil","340,00 Mil","-419,00 Mil","1,72 M","1,14 M","3,67 M","730,00 Mil","111,00 Mil","5,26 M","-277,00 Mil","-14,00 Mil","97,00 Mil","1,04 M","1,15 M","780,00 Mil","339,00 Mil","7,58 M","203,00 Mil","856,00 Mil","-1,59 M","-358,00 Mil","535,00 Mil","470,00 Mil","998,00 Mil"
Antes dos impostos,"1,24 B","1,42 B","1,52 B","722,77 M","4,26 B","1,08 B","979,91 M",0,"820,81 M","944,18 M","816,29 M","842,13 M","1,17 B","912,68 M","405,32 M","804,89 M","1,01 B","525,38 M","621,27 M","678,74 M","477,99 M","600,15 M","4,86 M","500,72 M","744,25 M","526,59 M","718,74 M","445,26 M","463,82 M","363,13 M","220,89 M","228,30 M","638,71 M","237,22 M","281,32 M","5,26 M","198,89 M","-93,94 M","107,22 M","229,90 M","224,37 M","-84,15 M","62,75 M","36,39 M","430,64 M","202,00 M","273,60 M","231,20 M","136,22 M","233,71 M","232,36 M","-46,01 M","261,00 M","94,10 M","53,05 M","157,19 M","-31,41 M","232,82 M","287,02 M","187,04 M","148,69 M","122,02 M","96,46 M","164,75 M"
