Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"10,98","10,04","10,08","9,04","5,37","12,07",-,-
P/VP,"7,75","5,96","5,61","3,97","2,73","3,96",-,-
P/EBIT,"8,45","7,96","8,34","6,94","4,28","8,62",-,-
P/EBIT *,"7,58","7,28","7,53","6,11","4,26","8,49",-,-
PSR,"1,98","1,66","1,68","1,32","0,93","1,70",-,-
P/Ativos,"1,89","1,50","1,57","1,07","0,62","1,18",-,-
LPA,"3,17","2,11","1,56","1,07","0,97","0,52",-,-
VPA,"4,49","3,56","2,81","2,44","1,92","1,59",-,-
EBIT por ação,"4,12","2,66","1,89","1,39","1,22","0,73",-,-
EBIT por ação *,"4,58","2,91","2,09","1,58","1,23","0,74",-,-
Ativo por ação,"18,36","14,09","10,04","9,08","8,43","5,34",-,-
Receita líquida por ação,"17,53","12,75","9,37","7,33","5,64","3,72",-,-
Margem bruta,"39,76%","38,53%","37,95%","37,08%","37,09%","37,42%","34,92%","34,20%"
Margem líquida,"20,02%","17,80%","17,17%","15,44%","18,14%","16,60%","20,02%","19,13%"
Margem EBIT,"23,49%","20,88%","20,16%","19,02%","21,65%","19,66%","23,30%","20,86%"
Margem EBIT *,"26,16%","22,84%","22,33%","21,62%","21,74%","19,98%","15,54%","19,89%"
Margem EBITDA,"24,13%","21,67%","21,06%","20,07%","21,73%","19,78%",--%,--%
Margem EBITDA *,"26,80%","23,63%","23,22%","22,67%","21,83%","20,10%",--%,--%
Margem operacional,"22,60%","20,08%","19,68%","17,94%","20,23%","18,89%","22,18%","21,13%"
ROE,"65,05%","53,36%","49,71%","39,70%","42,71%","29,58%","56,09%","50,78%"
ROA,"0,19","0,16","0,16","0,12","0,12","0,12","0,16","0,16"
ROIC,"35,37%","29,96%","30,19%","22,67%","19,64%","19,23%","25,40%","23,15%"
ROIC *,"39,40%","32,77%","33,42%","25,77%","19,73%","19,55%","16,94%","22,07%"
Giro do ativo,"0,95","0,90","0,93","0,81","0,67","0,70","0,79","0,81"
EBIT *,1.412 mi,896 mi,644 mi,488 mi,377 mi,228 mi,158 mi,183 mi
EBITDA,1.302 mi,850 mi,607 mi,453 mi,377 mi,226 mi,--,--
EBITDA *,1.447 mi,927 mi,670 mi,511 mi,379 mi,230 mi,--,--
Liquidez corrente,"1,84","2,18","2,03","1,93","1,66","2,25","1,67","1,88"
Liquidez seca,"1,31","1,53","1,44","1,43","1,22","1,80","1,39","1,44"
Liquidez imediata,"0,78","0,78","0,59","0,53","0,34","0,48","0,39","0,04"
Dívida bruta,1.474 mi,986 mi,613 mi,480 mi,391 mi,276 mi,286 mi,217 mi
Dívida líquida,-317 mi,-430 mi,-379 mi,-309 mi,-204 mi,-155 mi,-28 mi,-34 mi
Capital de giro,1.468 mi,1.476 mi,1.124 mi,996 mi,731 mi,750 mi,432 mi,430 mi
Endividamento geral,"240,21%","231,36%","210,14%","218,82%","251,87%","156,03%","254,04%","225,84%"
