ticker,period,Ativo circulante,Ativo total,Passivo circulante,Passivo não circulante,Passivo total,Patrimônio líquido,EBIT,Lucro bruto,Lucro líquido,Receita líquida,Resultado financeiro,Resultado operacional
ABCB4,3T2016,"17,45 B","23,54 B","14,55 B",--,"23,54 B","2,83 B",--,"149,07 M","102,79 M","700,03 M","-1,51 M","135,85 M"
ABCB4,3T2017,"20,88 B","26,98 B","16,39 B",--,"26,98 B","3,23 B",--,"194,36 M","104,13 M","372,96 M","-10,58 M","182,20 M"
ABCB4,3T2018,"23,84 B","31,33 B","20,42 B",--,"31,33 B","3,62 B",--,"107,23 M","116,11 M","881,97 M","-57,00 Mil","107,78 M"
ABCB4,3T2019,"27,40 B","37,08 B","24,31 B",--,"37,08 B","3,96 B",--,"97,67 M","130,52 M","1,35 B","-1,40 M","84,16 M"
ABCB4,3T2020,--,"46,20 B",--,--,"46,20 B","4,19 B",--,"126,48 M","73,48 M","1,21 B",--,--
ABCB4,3T2021,--,"49,88 B",--,--,"49,88 B","4,55 B",--,"180,53 M","151,46 M","1,91 B",--,--
ABCB4,3T2022,--,"52,14 B",--,--,"52,14 B","5,07 B",--,"382,24 M","218,15 M","1,87 B",--,--
ABCB4,3T2023,--,"55,91 B",--,--,"55,91 B","5,72 B",--,"356,92 M","228,22 M","2,27 B",--,--
ABCB4,3T2024,--,"69,21 B",--,--,"69,21 B","6,38 B",--,"428,15 M","255,07 M","1,37 B",--,--
ABCB4,3T2025,--,"61,01 B",--,--,"61,01 B","6,70 B",--,"466,68 M","256,81 M","2,29 B",--,--
ABCB4,4T2010,"6,56 B","9,81 B","5,72 B",--,"9,81 B","1,35 B",--,"111,52 M","54,01 M","241,77 M","-518,00 Mil","95,36 M"
ABCB4,4T2011,"7,23 B","10,50 B","6,55 B",--,"10,50 B","1,50 B",--,"122,95 M","60,60 M","277,57 M","-4,16 M","106,53 M"
ABCB4,4T2012,"9,70 B","13,47 B","8,15 B",--,"13,47 B","1,68 B",--,"112,84 M","59,58 M","320,24 M","-433,00 Mil","93,19 M"
ABCB4,4T2013,"12,04 B","17,26 B","10,75 B",--,"17,26 B","1,90 B",--,"109,70 M","74,91 M","474,27 M","-135,00 Mil","95,94 M"
