ticker,period,Ativo circulante,Ativo total,Passivo circulante,Passivo não circulante,Passivo total,Patrimônio líquido,EBIT,Lucro bruto,Lucro líquido,Receita líquida,Resultado financeiro,Resultado operacional
AERI3,3T2023,"2,59 B","3,82 B","1,77 B","1,24 B","3,82 B","815,08 M","38,09 M","69,23 M","-49,09 M","656,10 M","-95,22 M",--
AERI3,3T2024,"2,29 B","3,58 B","1,88 B","665,01 M","3,58 B","1,04 B","953,00 Mil","33,67 M","-56,68 M","367,43 M","-68,72 M",--
AERI3,3T2025,"737,17 M","1,95 B","532,21 M","1,63 B","1,95 B","-208,28 M","-90,62 M","-4,99 M","-144,36 M","179,01 M","-53,71 M",--
AERI3,4T2019,"397,83 M","802,13 M","333,52 M","294,40 M","802,13 M","174,21 M","55,63 M","48,57 M","40,33 M","281,89 M","-8,59 M",--
AERI3,4T2020,"1,67 B","2,37 B","943,32 M","462,00 M","2,37 B","965,31 M","44,84 M","62,84 M","15,63 M","749,92 M","-39,52 M",--
AERI3,4T2021,"1,70 B","2,81 B","427,02 M","1,38 B","2,81 B","999,59 M","65,76 M","86,21 M","18,11 M","589,06 M","-43,29 M",--
AERI3,4T2022,"3,19 B","4,37 B","1,96 B","1,56 B","4,37 B","857,59 M","42,36 M","69,04 M","-66,71 M","1,10 B","-120,88 M",--
AERI3,4T2023,"2,72 B","4,01 B","1,70 B","1,18 B","4,01 B","1,14 B","15,38 M","50,73 M","-63,85 M","702,72 M","-91,78 M",--
AERI3,4T2024,"1,03 B","2,40 B","2,07 B","124,27 M","2,40 B","206,97 M","-816,45 M","-23,95 M","-832,98 M","211,37 M","-50,96 M",--
AERI3,4T2025,"491,73 M","1,61 B","606,52 M","1,70 B","1,61 B","-696,29 M","-315,77 M","-21,29 M","-488,29 M","114,52 M","-96,90 M",--
AFLT3,1T2011,"74,71 M","92,28 M","6,29 M","4,25 M","92,28 M","81,73 M","5,05 M","5,17 M","5,39 M","6,93 M","946,00 Mil",--
AFLT3,1T2012,"76,25 M","97,97 M","7,78 M","3,93 M","97,97 M","86,26 M","4,70 M","5,01 M","5,00 M","7,02 M","933,00 Mil",--
AFLT3,1T2013,"77,77 M","94,91 M","7,26 M","3,38 M","94,91 M","84,27 M","4,54 M","5,43 M","4,61 M","10,72 M","567,00 Mil",--
AFLT3,1T2014,"64,23 M","86,95 M","2,18 M","2,90 M","86,95 M","81,88 M","4,24 M","5,45 M","4,38 M","7,70 M","667,00 Mil",--
AFLT3,1T2015,"67,16 M","88,01 M","3,17 M","3,97 M","88,01 M","80,86 M","4,07 M","4,30 M","4,21 M","7,73 M","790,00 Mil",--
AFLT3,1T2016,"77,92 M","91,90 M","6,32 M","3,76 M","91,90 M","81,83 M","2,89 M","3,09 M","3,41 M","6,40 M","1,25 M",--
AFLT3,1T2017,"76,58 M","93,00 M","33,51 M","7,43 M","93,00 M","52,06 M","5,51 M","5,62 M","5,85 M","7,86 M","1,21 M",--
AFLT3,1T2018,"56,84 M","58,52 M","8,07 M","7,43 M","58,52 M","43,02 M","5,33 M","5,48 M","5,24 M","7,88 M","289,00 Mil",--
AFLT3,1T2019,"59,43 M","212,93 M","3,07 M","7,66 M","212,93 M","202,19 M","6,42 M","6,83 M","6,44 M","8,85 M","495,00 Mil",--
AFLT3,1T2020,"81,27 M","230,89 M","3,50 M","7,14 M","230,89 M","220,26 M","5,91 M","6,23 M","5,91 M","8,95 M","531,00 Mil",--
AFLT3,1T2021,"59,58 M","211,45 M","4,53 M","13,38 M","211,45 M","193,54 M","6,37 M","7,18 M","6,08 M","8,90 M","106,00 Mil",--
AFLT3,1T2022,"64,73 M","280,18 M","6,01 M","17,95 M","280,18 M","256,22 M","8,99 M","9,89 M","8,70 M","14,23 M","389,00 Mil",--
AFLT3,1T2023,"75,64 M","308,21 M","17,44 M","19,61 M","308,21 M","271,17 M","10,70 M","13,19 M","10,43 M","22,29 M","735,00 Mil",--
AFLT3,1T2024,"67,31 M","298,41 M","16,18 M","20,73 M","298,41 M","261,49 M","10,93 M","12,29 M","7,34 M","14,96 M","179,00 Mil",--
AFLT3,1T2025,"77,28 M","345,64 M","16,25 M","72,23 M","345,64 M","257,17 M","6,54 M","7,86 M","3,95 M","10,41 M","-612,00 Mil",--
AFLT3,1T2026,"127,66 M","366,43 M","53,33 M","52,68 M","366,43 M","260,42 M","19,58 M","22,27 M","12,97 M","25,24 M","93,00 Mil",--
AFLT3,2T2011,"61,98 M","81,13 M","1,61 M","4,27 M","81,13 M","75,24 M","4,47 M","4,60 M","4,73 M","8,52 M","867,00 Mil",--
AFLT3,2T2012,"61,35 M","82,28 M","2,71 M","3,81 M","82,28 M","75,76 M","4,49 M","4,77 M","4,58 M","6,47 M","608,00 Mil",--
AFLT3,2T2013,"65,50 M","82,13 M","2,09 M","3,25 M","82,13 M","76,79 M","5,06 M","5,28 M","5,12 M","7,51 M","560,00 Mil",--
AFLT3,2T2014,"59,06 M","86,69 M","9,17 M","2,78 M","86,69 M","74,74 M","2,24 M","2,55 M","2,32 M","12,56 M","616,00 Mil",--
AFLT3,2T2015,"65,46 M","84,36 M","2,43 M","4,12 M","84,36 M","77,81 M","4,56 M","4,88 M","4,81 M","7,16 M","940,00 Mil",--
AFLT3,2T2016,"67,75 M","83,77 M","3,24 M","3,61 M","83,77 M","76,92 M","3,54 M","3,60 M","4,09 M","6,97 M","1,29 M",--
