ticker,rating,rating_risco,rating_reason,latest_period_indicadores,latest_period_balancos,latest_period_resultados,receita_latest_period,divida_bruta,divida_liquida,endividamento_geral,liquidez_corrente,margem_ebit,margem_liquida,p_l,p_vp,psr,roa,roe,roic,ativo_total,caixa_e_eq_de_caixa,emprest_de_longo_prazo,emprestimos_e_financ,passivo_circulante,passivo_nao_circulante,passivo_total,patrimonio_liquido,ebit_ttm,lucro_bruto_ttm,lucro_liquido_ttm,receita_liquida_ttm,resultado_financeiro_ttm,resultado_operacional_ttm,passivo_ativo,divida_liquida_pl,liquidez_ajustada,receita_liquida_latest_quarter,receita_liquida_same_quarter_previous_year,receita_liquida_growth_yoy
BSLI3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",2T2025 (TTM),2T2025,2T2025,2T2025,,,,0.63,,0.0536,2.36,0.47,0.13,0.01,0.1988,,74510000000.0,,,,10300000000.0,,74510000000.0,3980000000.0,,6775250000.0,894490000.0,17420000000.0,-6612000.0,590890000.0,1.0,,0.63,3210000000.0,2310000000.0,0.3896103896103895
BSLI4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",2T2025 (TTM),2T2025,2T2025,2T2025,,,,0.63,,0.0536,2.35,0.47,0.13,0.01,0.1988,,74510000000.0,,,,10300000000.0,,74510000000.0,3980000000.0,,6775250000.0,894490000.0,17420000000.0,-6612000.0,590890000.0,1.0,,0.63,3210000000.0,2310000000.0,0.3896103896103895
CLSC3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,5005000000.0,4586000000.0,2.4852000000000003,1.3,0.11880000000000002,0.0613,6.87,1.26,0.42,0.05,0.1838,0.1139,14470000000.0,286620000.0,3990000000.0,1070000000.0000001,3940000000.0,6390000000.0,14470000000.0,4139999999.9999995,1386690000.0,1967870000.0,727480000.0,12420000000.0,-473930000.0,,1.0,1.107729468599034,1.3,3500000000.0,2980000000.0,0.17449664429530198
CLSC4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,5005000000.0,4586000000.0,2.4852000000000003,1.3,0.11880000000000002,0.0613,7.57,1.39,0.46,0.05,0.1838,0.1139,14470000000.0,286620000.0,3990000000.0,1070000000.0000001,3940000000.0,6390000000.0,14470000000.0,4139999999.9999995,1386690000.0,1967870000.0,727480000.0,12420000000.0,-473930000.0,,1.0,1.107729468599034,1.3,3500000000.0,2980000000.0,0.17449664429530198
CMIG3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,19610000000.0,17817000000.0,1.3595,0.93,0.1539,0.1116,9.61,1.61,1.07,0.07,0.1675,0.10560000000000001,68170000000.0,1380000000.0,16530000000.000002,3080000000.0,15480000000.0,23800000000.0,68170000000.0,28890000000.0,6670000000.0,7110000000.0,4845720000.0,43370000000.0,-1167870000.0,,1.0,0.6167185877466251,0.93,10460000000.0,9840000000.0,0.0630081300813008
CMIG4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,19610000000.0,17817000000.0,1.3595,0.93,0.1539,0.1116,6.8,1.14,0.76,0.07,0.1675,0.10560000000000001,68170000000.0,1380000000.0,16530000000.000002,3080000000.0,15480000000.0,23800000000.0,68170000000.0,28890000000.0,6670000000.0,7110000000.0,4845720000.0,43370000000.0,-1167870000.0,,1.0,0.6167185877466251,0.93,10460000000.0,9840000000.0,0.0630081300813008
CPFE3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,31714000000.0,25962000000.0,2.3087,1.15,0.245,0.134,8.94,2.12,1.14,0.07,0.2378,0.1486,83990000000.0,2130000000.0,25840000000.0,5880000000.0,17180000000.0,41420000000.0,83990000000.0,25390000000.0,11030000000.0,14100000000.0,6040000000.0,45050000000.0,-2823930000.0,,1.0,1.022528554549035,1.15,11340000000.0,10660000000.0,0.06378986866791747
CPLE3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,23315000000.0,18139000000.0,1.6444,1.37,0.1894,0.09960000000000001,16.31,1.86,1.62,0.04,0.1142,0.0945,62930000000.0,5180000000.0,21170000000.0,2140000000.0000002,9550000000.0,29580000000.0,62930000000.0,23800000000.0,5162170000.0,5970000000.0,2720670000.0,27300000000.0,-1841380000.0,,1.0,0.7621428571428571,1.37,7070000000.0,5890000000.0,0.20033955857385388
EGIE3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,31181000000.0,24716000000.0,2.9663,1.54,0.48369999999999996,0.21300000000000002,14.39,2.72,2.79,0.05,0.1908,0.125,58700000000.0,6470000000.0,27900000000.0,3290000000.0,6500000000.0,37400000000.0,58700000000.0,14800000000.0,6420000000.0,6200000000.0,2823640000.0,13260000000.0,-2845680000.0,,1.0,1.67,1.54,3410000000.0,3010000000.0,0.13289036544850497
ENEV3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,19605000000.0,16954000000.0,1.6553,1.13,0.2016,0.0919,41.06,2.4,2.58,0.03,0.079,0.0712,58670000000.0,2280000000.0,20700000000.0,1270000000.0,6950000000.0,29650000000.0,58670000000.0,22070000000.0,3871180000.0,5110000000.0,1858480000.0,18670000000.0,-1459620000.0,,1.0,0.7681921159945627,1.13,4680000000.0,4420000000.0,0.05882352941176472
