Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,75","6,52","4,81","7,13","6,35","8,08","8,62","3,91","5,87","5,45","4,48","3,75","3,83","3,89","5,22","3,10","2,74","3,05"
P/VP,"1,15","1,33","0,88","1,09","0,83","1,19","0,83","0,80","0,99","1,12","0,97","0,79","0,81","0,82","1,15","0,53","0,51","0,57"
P/EBIT,"11,44","12,94","6,34","14,47","15,09","12,33","11,59","5,62","7,52","7,73","7,11","5,16","4,82","4,23","6,17","5,06","4,11","5,45"
P/EBIT *,"14,88","15,81","6,92","10,55","12,68","11,94","9,56","9,82","7,59","7,44","6,96","4,67","4,80","4,29","6,20","5,12","4,04","5,50"
PSR,"1,43","1,63","1,35","1,63","1,44","2,07","1,84","1,55","1,47","1,60","1,39","0,94","0,84","0,77","1,19","0,64","0,53","0,57"
P/Ativos,"0,89","0,93","0,79","0,98","0,75","1,07","0,75","0,71","0,89","1,01","0,87","0,68","0,70","0,71","0,98","0,46","0,43","0,47"
LPA,"0,70","0,71","0,81","0,62","0,63","0,67","0,45","0,91","0,65","0,73","0,70","0,61","0,54","0,48","0,48","0,34","0,35","0,30"
VPA,"3,52","3,50","4,48","4,06","4,84","4,54","4,69","4,44","3,84","3,57","3,24","2,90","2,57","2,28","2,16","2,00","1,86","1,62"
EBIT por ação,"0,35","0,36","0,62","0,30","0,27","0,44","0,33","0,63","0,51","0,52","0,44","0,44","0,43","0,44","0,40","0,21","0,23","0,17"
EBIT por ação *,"0,27","0,29","0,57","0,42","0,32","0,45","0,40","0,36","0,50","0,54","0,45","0,49","0,43","0,44","0,40","0,20","0,24","0,17"
Ativo por ação,"4,55","4,99","4,99","4,52","5,34","5,05","5,18","5,02","4,28","3,96","3,61","3,38","2,97","2,63","2,54","2,27","2,21","1,96"
Receita líquida por ação,"2,83","2,86","2,91","2,70","2,79","2,60","2,10","2,30","2,59","2,50","2,27","2,44","2,48","2,42","2,09","1,64","1,78","1,61"
Margem bruta,"44,46%","45,24%","47,21%","44,53%","40,11%","43,97%","46,10%","45,61%","47,40%","48,88%","48,73%","48,48%","45,94%","45,43%","46,87%","43,31%","40,59%","38,88%"
Margem líquida,"24,80%","24,95%","27,97%","22,92%","22,61%","25,66%","21,36%","39,56%","25,09%","29,35%","31,00%","24,48%","21,73%","19,84%","22,84%","20,60%","19,47%","18,69%"
Margem EBIT,"12,47%","12,57%","21,21%","11,30%","9,52%","16,80%","15,88%","27,49%","19,58%","20,67%","19,54%","18,19%","17,44%","18,25%","19,27%","12,63%","12,99%","10,45%"
Margem EBIT *,"9,59%","10,29%","19,45%","15,49%","11,32%","17,35%","19,25%","15,74%","19,40%","21,47%","19,97%","20,09%","17,50%","17,99%","19,17%","12,47%","13,24%","10,36%"
Margem EBITDA,"16,46%","16,45%","23,78%","15,23%","13,16%","20,68%","20,95%","31,22%","22,40%","23,37%","22,29%","20,62%","19,56%","19,93%","20,96%","14,58%","14,75%","12,26%"
Margem EBITDA *,"13,57%","14,17%","22,02%","19,43%","14,96%","21,23%","24,32%","19,47%","22,22%","24,17%","22,73%","22,52%","19,63%","19,66%","20,85%","14,42%","14,99%","12,17%"
Margem operacional,"25,70%","26,23%","30,92%","24,32%","22,90%","23,60%","23,12%","45,57%","26,39%","31,27%","32,67%","26,47%","23,50%","22,99%","26,31%","22,95%","20,62%","19,77%"
ROE,"19,96%","20,44%","18,19%","15,24%","13,02%","14,68%","9,58%","20,45%","16,90%","20,54%","21,70%","20,61%","20,84%","20,99%","22,01%","16,96%","18,65%","18,58%"
ROA,"0,15","0,14","0,16","0,14","0,12","0,13","0,09","0,18","0,15","0,18","0,19","0,18","0,18","0,18","0,19","0,15","0,16","0,15"
ROIC,"9,88%","9,59%","17,07%","8,75%","6,71%","12,39%","9,74%","18,00%","20,28%","23,61%","20,99%","16,82%","19,62%","21,04%","20,67%","14,72%","22,27%","16,36%"
ROIC *,"7,60%","7,85%","15,65%","12,00%","7,98%","12,79%","11,81%","10,31%","20,09%","24,53%","21,45%","18,57%","19,69%","20,73%","20,56%","14,53%","22,69%","16,21%"
Giro do ativo,"0,62","0,57","0,58","0,60","0,52","0,51","0,41","0,46","0,60","0,63","0,63","0,72","0,83","0,92","0,82","0,72","0,80","0,82"
EBIT *,244 mi,265 mi,511 mi,376 mi,284 mi,406 mi,365 mi,326 mi,452 mi,483 mi,408 mi,442 mi,390 mi,393 mi,360 mi,184 mi,212 mi,150 mi
EBITDA,420 mi,425 mi,625 mi,370 mi,330 mi,484 mi,397 mi,646 mi,522 mi,526 mi,455 mi,454 mi,436 mi,435 mi,394 mi,216 mi,236 mi,178 mi
EBITDA *,346 mi,366 mi,578 mi,472 mi,375 mi,497 mi,461 mi,403 mi,518 mi,544 mi,464 mi,495 mi,438 mi,430 mi,392 mi,213 mi,240 mi,177 mi
Liquidez corrente,"2,55","2,05","7,10","7,02","7,28","8,02","9,12","6,50","7,99","8,84","9,05","5,38","6,76","5,94","5,06","7,17","5,84","6,01"
Liquidez seca,"2,00","1,68","5,92","6,09","6,26","6,72","8,22","5,84","7,20","7,97","8,11","4,65","6,00","5,22","4,52","6,54","5,35","5,43"
Liquidez imediata,"0,06","0,05","0,18","0,19","0,31","0,06","0,05","0,04","0,05","0,09","0,07","0,06","0,09","0,14","0,04","0,27","0,15","0,12"
Dívida bruta,150 mi,70 mi,88 mi,116 mi,150 mi,202 mi,100 mi,175 mi,152 mi,123 mi,125 mi,212 mi,171 mi,117 mi,137 mi,110 mi,181 mi,130 mi
Dívida líquida,-650 mi,-988 mi,-1.075 mi,-768 mi,-1.031 mi,-1.120 mi,-1.403 mi,-1.158 mi,-1.413 mi,-1.444 mi,-1.184 mi,-406 mi,-490 mi,-315 mi,-342 mi,-636 mi,-850 mi,-664 mi
