Conta,3T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-1,17","-11,75","-62,56","-2.394,83","-87.803,50","473.423,02",-,-
P/VP,"-1,31","-16,96","437,53","513,60","2.610,15","8.089,02",-,-
P/EBIT,"-1,12","-11,93","-73,15","4.237,83","32.683,62","76.148,14",-,-
P/EBIT *,"-1,95","-19,72","-80,43","-38.778,75","110.940,74","89.820,40",-,-
PSR,"1,24","16,72","69,07","141,85","1.031,51","3.333,52",-,-
P/Ativos,"1,03","10,44","32,95","129,08","791,18","2.418,25",-,-
LPA,"-0,11","-0,17","-0,13","-0,02","-0,00","0,00",-,-
VPA,"-0,10","-0,12","0,02","0,08","0,10","0,07",-,-
EBIT por ação,"-0,12","-0,17","-0,11","0,01","0,01","0,01",-,-
EBIT por ação *,"-0,07","-0,10","-0,10","-0,00","0,00","0,01",-,-
Ativo por ação,"0,13","0,20","0,25","0,32","0,32","0,22",-,-
Receita líquida por ação,"0,10","0,12","0,12","0,29","0,24","0,16",-,-
Margem bruta,"-1,05%","-3,27%","-11,65%","17,38%","17,52%","21,58%","19,84%","19,90%"
Margem líquida,"-134,22%","-166,24%","-110,40%","-5,92%","-1,17%","0,70%","-1,36%","-0,18%"
Margem EBIT,"-110,36%","-140,15%","-94,43%","3,35%","3,16%","4,38%","4,63%","4,55%"
Margem EBIT *,"-63,62%","-84,80%","-85,87%","-0,37%","0,93%","3,71%","4,06%","3,51%"
Margem EBITDA,"-84,81%","-121,49%","-74,15%","12,01%","12,04%","11,37%","12,30%","10,72%"
Margem EBITDA *,"-38,07%","-66,14%","-65,60%","8,30%","9,81%","10,70%","11,73%","9,68%"
Margem operacional,"-129,75%","-165,85%","-127,58%","-7,31%","-1,81%","-0,33%","-2,39%","-0,15%"
ROE,"113,73%","138,27%","-699,37%","-21,32%","-2,97%","1,71%","-8,28%","-0,71%"
ROA,"-1,11","-1,04","-0,53","-0,05","-0,01","0,01","-0,01","-0,00"
ROIC,"-98,93%","-125,25%","-50,56%","3,61%","2,93%","5,17%","5,20%","7,11%"
ROIC *,"-57,03%","-75,78%","-45,98%","-0,39%","0,86%","4,38%","4,56%","5,49%"
Giro do ativo,"0,83","0,62","0,48","0,91","0,77","0,73","0,86","1,14"
EBIT *,-419 mi,-653 mi,-640 mi,-7 mi,14 mi,37 mi,21 mi,12 mi
EBITDA,-559 mi,-935 mi,-553 mi,216 mi,183 mi,113 mi,64 mi,38 mi
EBITDA *,-251 mi,-509 mi,-489 mi,149 mi,149 mi,106 mi,61 mi,35 mi
Liquidez corrente,"0,17","0,24","0,42","1,14","1,25","2,16","1,06","1,05"
Liquidez seca,"0,17","0,24","0,42","1,14","1,25","2,16","1,06","1,05"
Liquidez imediata,"0,01","0,03","0,04","0,23","0,33","1,25","0,46","0,41"
Dívida bruta,826 mi,1.007 mi,717 mi,879 mi,668 mi,599 mi,347 mi,122 mi
Dívida líquida,815 mi,985 mi,687 mi,753 mi,499 mi,189 mi,256 mi,72 mi
Capital de giro,-690 mi,-595 mi,-459 mi,74 mi,126 mi,380 mi,11 mi,6 mi
Endividamento geral,"-202,26%","-233,27%","1.227,88%","295,47%","229,91%","234,50%","609,94%","253,22%"
