Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
P/L,"10,07","8,11","8,58","8,08","10,55","13,68",-,-,-,-,-
P/VP,"1,07","1,05","0,99","1,01","2,10","2,72",-,-,-,-,-
P/EBIT,"7,46","6,75","5,93","6,13","8,48","9,74",-,-,-,-,-
P/EBIT *,"7,14","7,26","6,21","9,14","8,44","9,59",-,-,-,-,-
PSR,"1,39","1,41","1,22","1,47","2,73","3,26",-,-,-,-,-
P/Ativos,"0,69","0,66","0,63","0,66","1,53","1,91",-,-,-,-,-
LPA,"1,05","1,26","1,07","1,07","1,56","1,39",-,-,-,-,-
VPA,"9,84","9,74","9,28","8,58","7,81","7,02",-,-,-,-,-
EBIT por ação,"1,41","1,52","1,55","1,41","1,94","1,96",-,-,-,-,-
EBIT por ação *,"1,48","1,41","1,48","0,95","1,95","1,99",-,-,-,-,-
Ativo por ação,"15,32","15,59","14,63","13,09","10,72","9,98",-,-,-,-,-
Receita líquida por ação,"7,57","7,30","7,52","5,89","6,03","5,86",-,-,-,-,-
Margem bruta,"40,44%","40,10%","37,55%","35,72%","47,47%","48,74%","47,04%","44,00%","43,25%","45,40%","41,62%"
Margem líquida,"13,74%","17,43%","14,02%","18,03%","25,62%","23,70%","21,52%","20,48%","15,76%","16,70%","7,50%"
Margem EBIT,"18,65%","20,82%","20,59%","24,00%","32,14%","33,42%","32,93%","30,84%","25,96%","26,61%","15,82%"
Margem EBIT *,"19,51%","19,37%","19,66%","16,10%","32,27%","33,97%","33,39%","30,98%","25,40%","24,91%","12,61%"
Margem EBITDA,"20,72%","24,89%","23,54%","26,83%","33,72%","34,95%","34,38%","31,86%","27,27%","28,05%","17,85%"
Margem EBITDA *,"21,57%","23,45%","22,61%","18,93%","33,86%","35,50%","34,84%","32,00%","26,71%","26,35%","14,63%"
Margem operacional,"18,47%","22,82%","18,48%","24,35%","33,30%","35,31%","29,92%","29,30%","22,81%","24,04%","10,66%"
ROE,"10,65%","13,16%","11,43%","12,40%","19,83%","19,81%","114,90%","75,35%","55,19%","74,55%","33,17%"
ROA,"0,07","0,08","0,07","0,08","0,14","0,14","0,20","0,27","0,21","0,28","0,10"
ROIC,"11,62%","12,87%","13,72%","13,36%","26,73%","35,43%","42,06%","61,01%","51,36%","59,34%","26,27%"
ROIC *,"12,15%","11,98%","13,10%","8,96%","26,84%","36,02%","42,65%","61,29%","50,26%","55,56%","20,93%"
Giro do ativo,"0,49","0,47","0,51","0,45","0,56","0,59","0,93","1,32","1,32","1,69","1,36"
EBIT *,344 mi,329 mi,344 mi,220 mi,454 mi,464 mi,394 mi,302 mi,198 mi,153 mi,54 mi
EBITDA,365 mi,423 mi,412 mi,368 mi,474 mi,477 mi,406 mi,311 mi,213 mi,173 mi,76 mi
EBITDA *,380 mi,399 mi,396 mi,259 mi,476 mi,485 mi,411 mi,312 mi,208 mi,162 mi,63 mi
Liquidez corrente,"2,66","2,47","3,12","4,63","4,52","4,95","2,20","1,91","2,48","1,11","1,23"
Liquidez seca,"1,67","1,57","1,99","2,75","2,99","3,73","1,30","1,19","1,64","0,57","0,65"
Liquidez imediata,"0,08","0,06","0,06","0,09","0,04","0,15","0,19","0,02","0,06","0,04","0,06"
Dívida bruta,560 mi,599 mi,558 mi,608 mi,311 mi,374 mi,690 mi,278 mi,225 mi,103 mi,141 mi
Dívida líquida,18 mi,-16 mi,66 mi,201 mi,-332 mi,-549 mi,476 mi,119 mi,112 mi,90 mi,131 mi
Capital de giro,1.140 mi,1.128 mi,1.138 mi,1.217 mi,1.306 mi,1.353 mi,436 mi,238 mi,256 mi,24 mi,40 mi
Endividamento geral,"57,08%","61,15%","58,64%","53,04%","37,47%","42,40%","474,96%","177,87%","166,04%","164,55%","223,86%"
