Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"21,95","-0,31","5,36","18,90","12,39",-,-
P/VP,"0,21","0,23","0,59","2,15","2,28",-,-
P/EBIT,"0,75","-0,52","3,03","9,56","9,95",-,-
P/EBIT *,"1,17","-2,66","3,28","9,21","11,51",-,-
PSR,"0,03","0,04","0,17","0,56","0,79",-,-
P/Ativos,"0,04","0,05","0,19","0,51","0,71",-,-
LPA,"0,06","-4,38","1,11","0,80","1,22",-,-
VPA,"6,00","5,97","10,19","7,06","6,66",-,-
EBIT por ação,"1,65","-2,67","1,97","1,59","1,52",-,-
EBIT por ação *,"1,06","-0,52","1,82","1,65","1,32",-,-
Ativo por ação,"27,83","29,57","31,56","29,61","21,37",-,-
Receita líquida por ação,"35,83","35,88","34,33","27,09","19,26",-,-
Margem bruta,"14,43%","11,27%","15,65%","15,97%","17,65%","14,47%","15,63%"
Margem líquida,"0,16%","-12,22%","3,25%","2,97%","6,35%","2,76%","1,19%"
Margem EBIT,"4,60%","-7,45%","5,74%","5,87%","7,92%","4,46%","2,06%"
Margem EBIT *,"2,96%","-1,45%","5,31%","6,10%","6,84%","4,94%","5,14%"
Margem EBITDA,"7,45%","-4,76%","8,09%","7,89%","9,50%","6,33%","3,89%"
Margem EBITDA *,"5,81%","1,24%","7,66%","8,11%","8,42%","6,81%","6,97%"
Margem operacional,"0,39%","-13,74%","1,25%","2,38%","6,57%","4,30%","-0,58%"
ROE,"0,94%","-73,47%","10,94%","11,39%","18,37%","10,14%","9,36%"
ROA,"0,00","-0,15","0,04","0,03","0,06","0,03","0,02"
ROIC,"8,31%","-13,13%","8,52%","9,14%","13,91%","7,56%","4,64%"
ROIC *,"5,35%","-2,55%","7,88%","9,49%","12,02%","8,38%","11,57%"
Giro do ativo,"1,29","1,21","1,09","0,91","0,90","0,96","1,44"
EBIT *,342 mi,-168 mi,588 mi,533 mi,425 mi,218 mi,154 mi
EBITDA,862 mi,-552 mi,897 mi,689 mi,590 mi,279 mi,116 mi
EBITDA *,672 mi,143 mi,849 mi,709 mi,523 mi,300 mi,209 mi
Liquidez corrente,"1,33","1,85","1,95","1,75","2,16","1,39","1,44"
Liquidez seca,"0,86","1,24","1,31","1,35","1,71","1,04","1,01"
Liquidez imediata,"0,16","0,19","0,15","0,32","0,64","0,45","0,31"
Dívida bruta,3.440 mi,3.872 mi,3.226 mi,3.332 mi,2.127 mi,1.145 mi,694 mi
Dívida líquida,2.781 mi,2.742 mi,2.225 mi,1.316 mi,-77 mi,110 mi,415 mi
Capital de giro,1.154 mi,2.410 mi,2.918 mi,2.417 mi,2.463 mi,805 mi,386 mi
Endividamento geral,"363,78%","395,46%","209,69%","319,20%","220,65%","282,61%","447,58%"
