Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,58","5,08","4,31","4,07","5,27","-2,66","-0,49","8,35","-11,39","-107,28","6,75","5,81","22,18","19,29","8,89",-,-
P/VP,"1,24","0,80","0,60","0,45","0,45","0,24","0,17","0,26","0,30","0,45","0,32","0,58","1,58","3,02","2,16",-,-
P/EBIT,"7,24","4,94","3,93","2,92","2,92","-7,79","-0,47","-41,35","-10,78","24,31","4,69","4,12","14,42","18,99","8,03",-,-
P/EBIT *,"5,73","4,53","4,08","2,40","2,54","5,00","-1,75","7,73","205,14","21,29","3,64","3,49","9,03","17,01","10,99",-,-
PSR,"1,13","0,82","0,71","0,46","0,47","0,31","0,19","0,39","0,40","0,58","0,37","0,65","1,61","3,93","3,02",-,-
P/Ativos,"0,78","0,45","0,36","0,25","0,23","0,13","0,09","0,15","0,20","0,28","0,19","0,34","0,83","2,43","1,72",-,-
LPA,"1,17","1,06","0,92","0,66","0,46","-0,46","-2,01","0,24","-0,20","-0,03","0,36","0,76","0,52","1,05","1,46",-,-
VPA,"7,19","6,74","6,61","5,99","5,40","5,19","5,66","7,65","7,45","7,61","7,60","7,58","7,26","6,70","6,02",-,-
EBIT por ação,"1,23","1,10","1,01","0,91","0,83","-0,16","-2,08","-0,05","-0,21","0,14","0,52","1,07","0,80","1,06","1,62",-,-
EBIT por ação *,"1,55","1,19","0,98","1,11","0,96","0,25","-0,56","0,25","0,01","0,16","0,67","1,26","1,27","1,19","1,18",-,-
Ativo por ação,"11,38","11,90","10,93","10,55","10,55","9,83","11,10","13,01","11,56","12,19","12,74","13,08","13,77","8,30","7,56",-,-
Receita líquida por ação,"7,86","6,57","5,62","5,77","5,16","4,02","5,19","5,02","5,58","5,93","6,52","6,79","7,12","5,13","4,30",-,-
Margem bruta,"54,69%","54,67%","55,32%","54,25%","52,54%","45,95%","34,55%","47,98%","45,60%","46,99%","52,05%","55,58%","57,82%","60,10%","63,41%","63,57%","61,82%"
Margem líquida,"14,94%","16,20%","16,42%","11,37%","8,93%","-11,51%","-38,79%","4,70%","-3,55%","-0,54%","5,54%","11,18%","7,27%","20,39%","33,95%","17,20%","22,46%"
Margem EBIT,"15,64%","16,68%","18,03%","15,83%","16,11%","-3,93%","-40,05%","-0,95%","-3,76%","2,37%","7,97%","15,77%","11,18%","20,71%","37,59%","25,16%","30,10%"
Margem EBIT *,"19,77%","18,18%","17,37%","19,31%","18,53%","6,12%","-10,81%","5,08%","0,20%","2,70%","10,26%","18,62%","17,85%","23,11%","27,46%","27,85%","27,29%"
