Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"15,50","1.227,58","87,03","32,74",-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"0,36","0,78","1,92","1,94",-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"4,43","18,79","61,04","8,47",-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"4,57","19,49","37,08","153,47",-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,"0,31","0,73","1,79","1,70",-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,23","0,49","1,20","1,14",-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,"0,21","0,01","0,20","0,48",-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,"9,32","9,12","9,03","8,18",-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"0,75","0,38","0,28","1,87",-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"0,72","0,37","0,47","0,10",-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"14,48","14,49","14,46","13,92",-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"10,77","9,72","9,71","9,32",-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"63,67%","63,27%","65,67%","61,96%","52,20%","49,28%","47,52%","63,69%","57,44%","58,27%","58,13%","66,15%","65,17%","69,09%","69,37%","65,83%","64,17%"
Margem líquida,"1,98%","0,06%","2,05%","5,19%","-91,83%","-334,84%","-20,23%","8,32%","33,65%","-5,48%","-1,45%","-0,58%","-2,58%","1,83%","7,99%","10,55%","2,48%"
Margem EBIT,"6,94%","3,91%","2,93%","20,06%","-77,35%","-209,69%","-9,10%","22,02%","-3,53%","9,41%","12,80%","12,98%","8,07%","10,03%","19,33%","17,33%","5,72%"
Margem EBIT *,"6,72%","3,77%","4,82%","1,11%","-12,14%","-53,60%","-20,67%","16,07%","8,29%","20,28%","21,17%","24,29%","17,85%","15,03%","24,05%","21,12%","14,82%"
Margem EBITDA,"21,26%","19,44%","18,18%","36,95%","-59,94%","-177,17%","9,27%","28,18%","19,28%","20,30%","20,96%","22,76%","16,96%","15,42%","21,37%","21,08%","10,55%"
Margem EBITDA *,"21,04%","19,30%","20,07%","18,00%","5,27%","-21,07%","-2,30%","22,23%","31,10%","31,16%","29,34%","34,06%","26,74%","20,42%","26,08%","24,87%","19,65%"
Margem operacional,"1,98%","-0,96%","-4,55%","-2,96%","-95,60%","-230,67%","-27,60%","10,40%","-17,11%","-7,91%","-3,78%","-1,21%","-3,89%","2,32%","11,66%","15,95%","4,05%"
ROE,"2,29%","0,06%","2,21%","5,91%","152,41%","-724,31%","-8,46%","4,65%","19,59%","-3,67%","-0,99%","-0,25%","-11,79%","5,60%","19,11%","24,22%","4,31%"
ROA,"0,01","0,00","0,01","0,03","-0,53","-0,93","-0,04","0,03","0,11","-0,02","-0,01","-0,00","-0,02","0,01","0,07","0,13","0,03"
ROIC,"5,64%","2,90%","2,15%","15,28%","-49,87%","-63,69%","-2,49%","8,47%","-1,47%","4,15%","5,56%","3,68%","9,27%","10,02%","21,84%","28,43%","9,13%"
ROIC *,"5,47%","2,80%","3,55%","0,84%","-7,83%","-16,28%","-5,65%","6,18%","3,45%","8,94%","9,20%","6,89%","20,52%","15,01%","27,16%","34,63%","23,67%"
Giro do ativo,"0,74","0,67","0,67","0,67","0,58","0,28","0,22","0,34","0,34","0,35","0,37","0,23","0,72","0,65","0,87","1,28","1,27"
EBIT *,82 mi,41 mi,53 mi,11 mi,-107 mi,-321 mi,-198 mi,199 mi,103 mi,228 mi,251 mi,185 mi,127 mi,95 mi,113 mi,74 mi,39 mi
EBITDA,261 mi,216 mi,201 mi,393 mi,-526 mi,-1.061 mi,88 mi,350 mi,240 mi,228 mi,249 mi,174 mi,121 mi,98 mi,100 mi,74 mi,28 mi
EBITDA *,258 mi,214 mi,222 mi,191 mi,46 mi,-127 mi,-22 mi,276 mi,388 mi,350 mi,348 mi,260 mi,190 mi,129 mi,122 mi,87 mi,52 mi
Liquidez corrente,"1,53","1,52","1,70","1,33","1,05","1,81","0,87","0,83","0,92","0,80","1,10","1,29","1,91","1,95","2,11","2,71","2,55"
Liquidez seca,"0,86","0,74","0,74","0,61","0,57","0,84","0,60","0,46","0,62","0,48","0,73","0,91","1,25","1,20","1,36","1,66","1,72"
Liquidez imediata,"0,12","0,11","0,10","0,13","0,07","0,19","0,41","0,26","0,42","0,37","0,36","0,57","0,71","0,98","0,52","0,52","0,48"
Dívida bruta,314 mi,347 mi,314 mi,290 mi,1.730 mi,1.636 mi,1.481 mi,1.111 mi,1.026 mi,1.033 mi,1.049 mi,1.158 mi,634 mi,556 mi,205 mi,0 mi,0 mi
Dívida líquida,273 mi,292 mi,266 mi,227 mi,1.684 mi,1.569 mi,1.003 mi,863 mi,616 mi,657 mi,756 mi,614 mi,348 mi,302 mi,132 mi,0 mi,-25 mi
Capital de giro,173 mi,166 mi,215 mi,123 mi,22 mi,237 mi,-153 mi,-159 mi,-81 mi,-202 mi,74 mi,228 mi,239 mi,245 mi,154 mi,115 mi,78 mi
Endividamento geral,"55,38%","58,78%","60,05%","70,19%","-388,31%","678,56%","87,71%","66,61%","71,95%","89,15%","82,01%","87,48%","533,88%","367,72%","175,55%","79,79%","37,12%"
