Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,"12,35","11,25","5,12","-24,28","-4,26","-12,38","-10,00","19,01","65,28","34,50",-,-
P/VP,"0,81","0,83","0,84","0,71","0,41","2,33","3,35","5,83","19,80","8,91",-,-
P/EBIT,"10,90","7,85","5,22","-7,94","-1,37","-4,22","-8,46","32,07","86,75","54,58",-,-
P/EBIT *,"10,34","7,60","5,31","-9,23","-1,32","-4,23","-7,56","95,69","95,70","60,07",-,-
PSR,--,--,--,--,"0,25","1,06","1,75","3,48","12,48","6,74",-,-
P/Ativos,"0,28","0,28","0,25","0,19","0,11","0,37","0,66","1,31","4,51","2,22",-,-
LPA,"4,28","4,78","9,85","-1,51","-5,14","-8,34","-18,10","14,79","13,46","11,30",-,-
VPA,"64,94","64,55","60,19","52,02","53,05","44,41","53,94","48,20","44,37","43,76",-,-
EBIT por ação,"4,85","6,84","9,66","-4,63","-15,99","-24,50","-21,39","8,76","10,13","7,14",-,-
EBIT por ação *,"5,11","7,07","9,49","-3,98","-16,54","-24,39","-23,94","2,94","9,18","6,49",-,-
Ativo por ação,"188,72","191,15","200,96","189,22","200,83","277,05","274,80","213,84","194,69","175,25",-,-
Receita líquida por ação,--,--,--,--,"86,10","97,59","103,62","80,76","70,44","57,89",-,-
Margem bruta,--%,--%,--%,--%,"-19,21%","-19,74%","-18,47%","10,46%","19,75%","18,80%","17,81%","15,56%"
Margem líquida,--%,--%,--%,--%,"-5,97%","-8,55%","-17,47%","18,31%","19,11%","19,52%","20,47%","20,39%"
Margem EBIT,--%,--%,--%,--%,"-18,57%","-25,11%","-20,64%","10,85%","14,38%","12,34%","10,19%","5,89%"
Margem EBIT *,--%,--%,--%,--%,"-19,21%","-24,99%","-23,11%","3,64%","13,04%","11,21%","8,27%","5,48%"
Margem EBITDA,--%,--%,--%,--%,"-17,87%",--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,"-18,51%",--%,--%,--%,--%,--%,--%,--%
Margem operacional,--%,--%,--%,--%,"-11,80%","-17,47%","-21,95%","17,93%","22,15%","26,83%","29,90%","27,23%"
ROE,"6,59%","7,40%","16,36%","-2,91%","-9,69%","-18,78%","-33,56%","30,67%","30,33%","25,83%","25,54%","24,06%"
ROA,"0,02","0,03","0,05","-0,01","-0,03","-0,03","-0,07","0,07","0,07","0,06","0,06","0,05"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,--,--,--,--,"0,43","0,35","0,38","0,38","0,36","0,33","0,30","0,26"
EBIT *,418 mi,578 mi,776 mi,-326 mi,-1.354 mi,-1.997 mi,-1.960 mi,240 mi,751 mi,531 mi,343 mi,205 mi
EBITDA,470 mi,644 mi,886 mi,-322 mi,-1.260 mi,--,--,--,--,--,--,--
EBITDA *,492 mi,663 mi,872 mi,-268 mi,-1.305 mi,--,--,--,--,--,--,--
Liquidez corrente,"1,56","1,46","1,05","0,75","0,94","0,81","0,94","0,89","0,93","0,86","0,78","0,85"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,"0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00"
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,2.108 mi,1.982 mi,224 mi,-1.127 mi,-311 mi,-3.362 mi,-1.042 mi,-1.349 mi,-832 mi,-1.401 mi,-2.075 mi,-1.579 mi
Endividamento geral,"190,62%","196,14%","233,87%","263,75%","278,59%","523,89%","409,43%","343,61%","338,75%","300,52%","309,78%","352,61%"
