Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,77","6,44","4,78","4,49","4,70","3,57","4,65","5,36","6,25","17,37","11,11","8,87","6,96","6,68","7,60","8,65","5,48","5,61"
P/VP,"1,56","1,60","1,16","1,28","1,25","0,97","0,93","1,04","0,77","0,97","0,98","1,00","1,20","1,35","2,50","2,83","2,18","2,35"
P/EBIT,"2,99","2,98","2,17","2,19","2,30","2,12","3,13","3,29","3,48","4,46","3,90","3,84","3,73","4,14","5,44","6,21","4,57","4,55"
P/EBIT *,"2,86","2,85","2,07","2,06","2,17","2,01","2,90","3,06","3,24","4,46","3,90","3,84","3,73","4,14","5,44","6,21","4,57","4,55"
PSR,"0,66","0,68","0,52","0,54","0,53","0,42","0,50","0,53","0,43","0,38","0,41","0,44","0,59","0,68","0,87","1,31","1,18","1,25"
P/Ativos,"0,34","0,35","0,28","0,30","0,29","0,24","0,27","0,29","0,27","0,24","0,27","0,28","0,38","0,43","0,72","1,08","0,96","1,05"
LPA,"7,14","7,46","6,90","7,02","5,98","6,37","4,65","3,85","2,44","0,68","0,99","1,28","1,82","1,93","2,53","2,86","3,61","3,39"
VPA,"30,94","29,94","28,33","24,56","22,55","23,56","23,31","19,91","19,86","12,08","11,28","11,40","10,54","9,55","7,69","8,77","9,07","8,10"
EBIT por ação,"16,19","16,10","15,17","14,40","12,22","10,75","6,91","6,28","4,38","2,63","2,82","2,96","3,39","3,11","3,53","3,99","4,33","4,18"
EBIT por ação *,"16,92","16,84","15,89","15,28","12,94","11,34","7,46","6,75","4,71","2,63","2,82","2,96","3,39","3,11","3,53","3,99","4,33","4,18"
Ativo por ação,"143,99","136,82","119,36","106,38","97,80","93,08","79,82","72,28","55,44","47,90","40,18","40,81","32,90","29,93","26,64","22,90","20,50","18,15"
Receita líquida por ação,"72,96","70,13","63,06","57,84","53,33","54,43","43,06","38,99","35,24","31,06","26,96","25,63","21,43","19,01","22,18","18,95","16,77","15,25"
Margem bruta,"28,41%","29,26%","30,04%","30,89%","29,18%","25,04%","22,62%","22,76%","18,67%","14,83%","18,21%","21,18%","26,92%","29,21%","28,59%","33,26%","33,94%","34,72%"
Margem líquida,"9,79%","10,63%","10,94%","12,13%","11,21%","11,70%","10,80%","9,87%","6,91%","2,17%","3,67%","5,00%","8,47%","10,13%","11,40%","15,11%","21,52%","22,21%"
Margem EBIT,"22,19%","22,96%","24,05%","24,90%","22,91%","19,75%","16,05%","16,10%","12,42%","8,46%","10,46%","11,56%","15,82%","16,35%","15,93%","21,06%","25,80%","27,38%"
Margem EBIT *,"23,19%","24,02%","25,20%","26,42%","24,27%","20,84%","17,32%","17,32%","13,35%","8,46%","10,46%","11,56%","15,82%","16,35%","15,93%","21,06%","25,80%","27,38%"
Margem EBITDA,"27,62%","28,73%","29,89%","30,66%","28,43%","24,49%","21,13%","21,04%","17,13%","13,36%",--%,--%,--%,--%,--%,"25,77%","30,49%",--%
Margem EBITDA *,"28,63%","29,78%","31,04%","32,18%","29,79%","25,57%","22,41%","22,26%","18,06%","13,36%",--%,--%,--%,--%,--%,"25,77%","30,49%",--%
Margem operacional,"10,54%","11,41%","13,35%","13,36%","13,50%","14,45%","12,92%","11,38%","8,23%","2,61%","3,86%","6,61%","9,59%","12,11%","13,18%","17,46%","25,37%","26,70%"
ROE,"23,08%","24,90%","24,35%","28,57%","26,51%","27,02%","19,95%","19,33%","12,27%","5,59%","8,79%","11,25%","17,22%","20,18%","32,90%","32,66%","39,79%","41,83%"
ROA,"0,05","0,05","0,06","0,07","0,06","0,07","0,06","0,05","0,04","0,01","0,02","0,03","0,06","0,06","0,09","0,12","0,18","0,19"
ROIC,"12,80%","13,34%","13,97%","14,72%","13,60%","12,56%","9,45%","9,65%","8,99%","6,31%","7,83%","8,95%","11,53%","12,01%","15,06%","19,41%","23,29%","26,45%"
ROIC *,"13,38%","13,96%","14,64%","15,61%","14,40%","13,25%","10,20%","10,38%","9,67%","6,31%","7,83%","8,95%","11,53%","12,01%","15,06%","19,41%","23,29%","26,45%"
Giro do ativo,"0,51","0,51","0,53","0,54","0,55","0,58","0,54","0,54","0,64","0,65","0,67","0,63","0,65","0,64","0,83","0,83","0,82","0,84"
EBIT *,4.435 mi,4.414 mi,4.165 mi,4.005 mi,3.392 mi,2.973 mi,1.955 mi,1.770 mi,1.233 mi,688 mi,739 mi,776 mi,888 mi,814 mi,925 mi,1.046 mi,1.133 mi,1.094 mi
EBITDA,5.282 mi,5.280 mi,4.941 mi,4.648 mi,3.974 mi,3.493 mi,2.385 mi,2.150 mi,1.582 mi,1.087 mi,--,--,--,--,--,1.280 mi,1.339 mi,--
EBITDA *,5.474 mi,5.474 mi,5.131 mi,4.878 mi,4.164 mi,3.648 mi,2.529 mi,2.275 mi,1.668 mi,1.087 mi,--,--,--,--,--,1.280 mi,1.339 mi,--
Liquidez corrente,"1,39","1,19","0,95","0,87","0,94","1,13","1,19","1,18","1,23","0,77","0,71","0,96","1,11","1,02","0,89","1,07","1,15","1,02"
Liquidez seca,"1,39","1,19","0,95","0,87","0,94","1,13","1,19","1,18","1,23","0,76","0,71","0,96","1,10","1,01","0,89","1,06","1,14","1,02"
Liquidez imediata,"0,46","0,37","0,23","0,14","0,17","0,13","0,14","0,22","0,33","0,15","0,02","0,02","0,03","0,03","0,15","0,14","0,09","0,17"
Dívida bruta,21.614 mi,20.308 mi,16.309 mi,14.261 mi,13.151 mi,11.408 mi,7.817 mi,7.715 mi,6.286 mi,5.350 mi,4.994 mi,5.186 mi,3.811 mi,3.544 mi,3.187 mi,2.663 mi,2.082 mi,1.468 mi
Dívida líquida,18.635 mi,17.668 mi,14.755 mi,13.287 mi,12.116 mi,10.714 mi,7.339 mi,6.856 mi,5.394 mi,4.767 mi,4.723 mi,4.225 mi,3.600 mi,2.949 mi,2.907 mi,2.447 mi,1.911 mi,1.166 mi
Capital de giro,2.391 mi,1.239 mi,-327 mi,-887 mi,-350 mi,633 mi,669 mi,684 mi,637 mi,-913 mi,-871 mi,-105 mi,191 mi,29 mi,-178 mi,91 mi,172 mi,25 mi
Endividamento geral,"365,34%","356,94%","321,38%","333,17%","333,65%","295,03%","242,46%","263,00%","179,17%","296,55%","256,26%","257,91%","212,14%","213,50%","246,51%","161,17%","126,06%","124,20%"
