Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"515,93","3.662,14","28,68","8,87","6,88","6,57",-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"0,64","0,63","0,71","1,09","0,89","1,98",-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"5,48","5,85","5,28","5,52","3,59","6,00",-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"7,36","9,01","5,45","7,39","3,68","7,27",-,-,-,-,-,-,-,-,-,-,-,-
PSR,"0,53","0,52","0,60","0,95","0,61","1,39",-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,23","0,23","0,27","0,39","0,33","0,85",-,-,-,-,-,-,-,-,-,-,-,-
LPA,"0,01","0,00","0,19","0,86","0,82","1,88",-,-,-,-,-,-,-,-,-,-,-,-
VPA,"7,52","7,45","7,59","6,97","6,39","6,24",-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"0,88","0,81","1,02","1,38","1,58","2,06",-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"0,65","0,52","0,99","1,03","1,54","1,70",-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"21,41","20,67","19,74","19,55","17,00","14,60",-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"9,10","8,98","8,96","8,03","9,23","8,89",-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"25,32%","24,36%","29,78%","32,18%","33,84%","35,13%","31,50%","25,82%","26,24%","28,66%","25,81%","27,75%","30,55%","37,28%","35,09%","34,07%","40,76%","34,42%"
Margem líquida,"0,91%","0,76%","2,12%","10,99%","9,01%","21,12%","7,72%","8,10%","8,72%","4,64%","0,67%","4,84%","9,88%","13,43%","13,63%","12,62%","17,04%","9,38%"
Margem EBIT,"9,67%","8,97%","11,37%","17,20%","17,08%","23,15%","11,43%","12,76%","14,80%","10,56%","8,11%","8,21%","15,57%","21,22%","20,70%","19,40%","26,10%","13,41%"
Margem EBIT *,"7,19%","5,82%","11,01%","12,84%","16,64%","19,09%","13,86%","6,91%","8,13%","8,68%","6,70%","8,85%","13,55%","22,09%","20,35%","18,44%","25,15%","15,93%"
Margem EBITDA,"24,14%","24,16%","26,20%","32,98%","27,04%","31,87%","21,98%","27,12%","31,24%","24,73%","23,05%","22,99%","30,81%","37,38%","35,52%","33,89%","39,67%","25,80%"
Margem EBITDA *,"21,67%","21,01%","25,84%","28,62%","26,61%","27,81%","24,41%","21,27%","24,56%","22,85%","21,64%","23,63%","28,80%","38,25%","35,17%","32,92%","38,73%","28,32%"
Margem operacional,"-0,46%","-1,07%","4,18%","10,17%","10,81%","24,35%","9,09%","9,56%","11,77%","5,39%","0,46%","2,68%","11,17%","18,20%","17,17%","15,30%","22,53%","10,86%"
ROE,"1,04%","0,87%","2,42%","12,44%","12,83%","30,09%","8,75%","8,23%","9,32%","3,92%","0,57%","4,15%","8,54%","11,92%","11,43%","10,15%","13,53%","5,76%"
ROA,"0,00","0,00","0,01","0,05","0,05","0,13","0,04","0,04","0,05","0,02","0,00","0,02","0,04","0,06","0,06","0,06","0,08","0,03"
ROIC,"5,24%","4,83%","6,19%","9,06%","11,49%","18,27%","7,74%","7,23%","9,30%","5,21%","4,11%","4,12%","8,22%","11,74%","10,71%","9,72%","13,18%","5,12%"
ROIC *,"3,90%","3,13%","5,99%","6,76%","11,19%","15,07%","9,39%","3,91%","5,11%","4,28%","3,40%","4,45%","7,15%","12,22%","10,53%","9,24%","12,71%","6,08%"
Giro do ativo,"0,43","0,43","0,45","0,41","0,54","0,61","0,51","0,47","0,52","0,42","0,42","0,44","0,45","0,47","0,43","0,44","0,44","0,35"
