Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-1,10","-0,78","5,79","-21,01","15,80","30,82","2,14","-0,72","-0,74","-50,59","-2,21","11,22","-1,00","-16,31","2,96","48,95","31,64","25,63"
P/VP,"0,85","0,58","0,22","0,19","0,15","0,36","0,45","0,19","0,30","0,28","0,72","0,57","0,33","0,55","0,83","0,80","0,78","0,86"
P/EBIT,"-0,89","-0,65","-9,49","-1,79","1,39","7,12","1,76","-9,82","-3,00","0,75","1,93","0,99","-1,78","3,77","2,42","8,24","8,58","13,37"
P/EBIT *,"-1,37","-1,03","1,30","2,35","0,54","-17,36","-9,42","-2,94","1,69","1,36","2,02","1,25","1,45","5,18","13,74","7,89","9,41","15,03"
PSR,"0,47","0,28","0,18","0,16","0,12","0,31","0,42","0,14","0,23","0,22","0,46","0,31","0,25","1,31","1,83","1,57","1,97","2,57"
P/Ativos,"0,20","0,14","0,07","0,06","0,04","0,11","0,12","0,04","0,07","0,07","0,14","0,14","0,08","0,22","0,34","0,32","0,36","0,41"
LPA,"-8,80","-8,77","0,81","-0,18","0,19","0,24","4,30","-4,38","-8,36","-0,15","-7,24","1,54","-9,78","-1,53","11,72","0,51","0,77","1,03"
VPA,"11,40","11,66","20,98","20,40","20,71","20,57","20,40","16,26","20,32","27,39","22,17","30,50","29,89","45,46","41,90","30,92","31,15","30,71"
EBIT por ação,"-10,87","-10,46","-0,49","-2,13","2,16","1,04","5,26","-0,32","-2,06","10,15","8,32","17,39","-5,50","6,64","14,33","3,02","2,85","1,97"
EBIT por ação *,"-7,04","-6,62","3,60","1,63","5,57","-0,43","-0,98","-1,07","3,65","5,62","7,94","13,80","6,74","4,84","2,53","3,15","2,60","1,75"
Ativo por ação,"48,97","49,93","62,89","64,17","67,10","68,08","76,50","85,16","90,51","104,30","113,05","124,28","124,89","113,13","102,74","77,36","68,54","65,06"
Receita líquida por ação,"20,55","23,97","26,20","23,43","25,50","23,82","22,03","22,51","27,18","33,93","35,16","55,75","39,28","19,16","18,97","15,80","12,41","10,25"
Margem bruta,"26,50%","28,90%","28,21%","19,28%","29,66%","12,77%","9,07%","11,63%","29,59%","31,12%","34,42%","31,47%","24,71%","39,06%","26,28%","37,19%","37,27%","34,56%"
Margem líquida,"-44,63%","-38,18%","1,59%","-1,02%","0,57%","0,48%","17,39%","-21,85%","-32,31%","-1,13%","-21,63%","5,03%","-27,08%","-5,70%","59,54%","1,57%","5,62%","9,99%"
Margem EBIT,"-52,90%","-43,62%","-1,88%","-9,11%","8,48%","4,36%","23,87%","-1,43%","-7,57%","29,93%","23,66%","31,19%","-14,01%","34,63%","75,54%","19,11%","22,95%","19,25%"
Margem EBIT *,"-34,25%","-27,64%","13,76%","6,95%","21,84%","-1,79%","-4,45%","-4,77%","13,43%","16,56%","22,58%","24,75%","17,15%","25,24%","13,32%","19,95%","20,93%","17,11%"
Margem EBITDA,"-29,96%","-21,21%","14,11%","8,32%","24,04%","42,58%","67,56%","39,59%","16,15%","52,53%","44,39%","41,17%","-2,05%","56,19%","95,14%","41,37%","49,01%","47,61%"
Margem EBITDA *,"-11,30%","-5,22%","29,75%","24,37%","37,41%","36,44%","39,24%","36,25%","37,16%","39,16%","43,32%","34,73%","29,11%","46,79%","32,91%","42,22%","47,00%","45,48%"
Margem operacional,"-50,79%","-43,62%","-1,88%","-9,11%","8,48%","-3,02%","22,37%","-32,98%","-36,67%","-15,55%","-13,68%","7,30%","-31,25%","16,81%","57,09%","0,74%","7,56%","15,15%"
ROE,"-85,72%","-83,46%","2,01%","-1,17%","0,69%","0,55%","18,47%","-28,81%","-39,51%","-1,27%","-30,11%","8,41%","-32,64%","-2,25%","25,24%","0,80%","2,18%","3,25%"
ROA,"-0,19","-0,18","0,01","-0,00","0,00","0,00","0,05","-0,06","-0,10","-0,00","-0,07","0,02","-0,09","-0,01","0,11","0,00","0,01","0,02"
ROIC,"-23,73%","-22,66%","-0,83%","-3,52%","3,39%","1,61%","7,12%","-0,40%","-2,41%","10,95%","7,67%","15,10%","-4,62%","5,96%","14,36%","4,22%","4,35%","3,13%"
ROIC *,"-15,36%","-14,36%","6,04%","2,68%","8,74%","-0,66%","-1,33%","-1,32%","4,28%","6,06%","7,32%","11,99%","5,65%","4,34%","2,53%","4,41%","3,97%","2,79%"
Giro do ativo,"0,42","0,48","0,42","0,37","0,38","0,35","0,29","0,26","0,30","0,33","0,31","0,45","0,31","0,17","0,18","0,20","0,18","0,16"
EBIT *,-310 mi,-292 mi,158 mi,71 mi,245 mi,-19 mi,-44 mi,-48 mi,160 mi,247 mi,349 mi,607 mi,296 mi,212 mi,111 mi,138 mi,114 mi,77 mi
EBITDA,-271 mi,-224 mi,162 mi,85 mi,269 mi,446 mi,654 mi,392 mi,193 mi,784 mi,686 mi,1.009 mi,-36 mi,473 mi,793 mi,287 mi,267 mi,214 mi
EBITDA *,-103 mi,-56 mi,342 mi,251 mi,419 mi,381 mi,380 mi,359 mi,444 mi,584 mi,670 mi,851 mi,503 mi,394 mi,274 mi,293 mi,256 mi,205 mi
