Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"38,46","13,13","10,62","3,44","4,09","8,80","8,85",-,-,-,-,-,-,-,-,-,-
P/VP,"0,54","0,78","1,49","1,75","3,43","54,90","-1,26",-,-,-,-,-,-,-,-,-,-
P/EBIT,"13,04","4,81","7,42","2,36","2,67","5,21","3,64",-,-,-,-,-,-,-,-,-,-
P/EBIT *,"85,22","6,22","8,68","2,54","2,98","5,34","5,08",-,-,-,-,-,-,-,-,-,-
PSR,"0,46","0,60","0,91","0,71","0,95","1,25","0,38",-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,26","0,38","0,75","0,79","1,24","1,59","0,36",-,-,-,-,-,-,-,-,-,-
LPA,"0,13","0,55","1,10","3,73","4,56","1,89","0,31",-,-,-,-,-,-,-,-,-,-
VPA,"8,96","9,29","7,84","7,35","5,43","0,30","-2,19",-,-,-,-,-,-,-,-,-,-
EBIT por ação,"0,37","1,50","1,57","5,45","6,99","3,20","0,76",-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"0,06","1,16","1,34","5,06","6,25","3,12","0,54",-,-,-,-,-,-,-,-,-,-
Ativo por ação,"18,57","18,87","15,46","16,34","15,03","10,49","7,66",-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"10,50","12,01","12,79","18,23","19,67","13,35","7,18",-,-,-,-,-,-,-,-,-,-
Margem bruta,"34,33%","34,82%","35,42%","45,69%","48,09%","42,37%","34,08%","36,39%","13,72%","23,27%","29,38%","23,88%","29,94%","38,05%","42,76%","45,82%","43,74%"
Margem líquida,"1,21%","4,58%","8,57%","20,47%","23,17%","14,18%","4,34%","-7,08%","-41,14%","-12,41%","-30,81%","-31,35%","-9,95%","-16,72%","6,04%","11,54%","7,92%"
Margem EBIT,"3,56%","12,49%","12,27%","29,92%","35,53%","23,94%","10,57%","5,47%","-23,13%","-11,83%","-7,40%","-15,70%","1,99%","12,01%","16,34%","17,20%","16,12%"
Margem EBIT *,"0,55%","9,66%","10,49%","27,77%","31,77%","23,37%","7,58%","7,57%","-19,94%","-8,37%","1,34%","-8,69%","4,64%","16,63%","17,49%","19,08%","17,94%"
Margem EBITDA,"7,24%","15,10%","14,26%","31,15%","36,58%","25,51%","12,81%","9,52%","-18,29%","-7,71%","-3,11%","-10,06%","6,36%","16,46%","20,81%","21,56%","20,14%"
Margem EBITDA *,"4,22%","12,27%","12,48%","29,00%","32,82%","24,95%","9,82%","11,62%","-15,10%","-4,25%","5,62%","-3,05%","9,02%","21,09%","21,95%","23,44%","21,97%"
Margem operacional,"3,11%","4,72%","11,71%","29,73%","32,89%","10,44%","2,52%","-16,25%","-38,99%","-12,16%","-33,93%","-31,28%","-7,13%","5,65%","8,63%","16,89%","12,94%"
ROE,"1,42%","5,92%","13,99%","50,77%","83,89%","623,63%","-14,26%","14,71%","64,24%","59,93%","422,20%","-355,79%","-55,01%","-58,09%","11,48%","15,27%","12,54%"
ROA,"0,01","0,03","0,07","0,23","0,30","0,18","0,04","-0,07","-0,37","-0,12","-0,25","-0,19","-0,07","-0,11","0,03","0,07","0,06"
ROIC,"2,44%","9,57%","11,90%","40,91%","57,49%","35,40%","11,53%","5,80%","-24,34%","-13,36%","-7,09%","-11,53%","1,84%","9,37%","10,91%","13,24%","14,64%"
ROIC *,"0,37%","7,40%","10,17%","37,98%","51,41%","34,56%","8,27%","8,02%","-20,99%","-9,46%","1,28%","-6,38%","4,31%","12,97%","11,67%","14,69%","16,30%"
Giro do ativo,"0,57","0,64","0,83","1,12","1,31","1,27","0,94","0,92","0,90","0,93","0,81","0,60","0,68","0,63","0,55","0,61","0,71"
EBIT *,7 mi,161 mi,186 mi,705 mi,870 mi,434 mi,75 mi,63 mi,-139 mi,-70 mi,10 mi,-52 mi,37 mi,116 mi,108 mi,116 mi,117 mi
EBITDA,105 mi,252 mi,254 mi,791 mi,1.002 mi,474 mi,128 mi,80 mi,-128 mi,-64 mi,-26 mi,-60 mi,51 mi,115 mi,128 mi,131 mi,132 mi
EBITDA *,61 mi,205 mi,222 mi,736 mi,899 mi,463 mi,98 mi,98 mi,-105 mi,-36 mi,46 mi,-19 mi,72 mi,147 mi,135 mi,142 mi,144 mi
Liquidez corrente,"1,58","1,53","1,49","1,47","1,30","1,62","1,10","1,15","0,47","1,22","0,74","1,02","1,06","1,10","1,61","2,36","1,70"
Liquidez seca,"0,76","0,76","0,67","0,84","0,86","1,10","0,60","0,63","0,25","0,59","0,46","0,67","0,77","0,69","1,10","1,42","1,06"
Liquidez imediata,"0,07","0,11","0,10","0,20","0,17","0,16","0,06","0,05","0,01","0,07","0,08","0,19","0,38","0,28","0,35","0,14","0,25"
Dívida bruta,907 mi,747 mi,528 mi,488 mi,693 mi,866 mi,749 mi,816 mi,692 mi,668 mi,539 mi,616 mi,719 mi,672 mi,457 mi,325 mi,212 mi
Dívida líquida,571 mi,457 mi,324 mi,181 mi,436 mi,775 mi,714 mi,788 mi,684 mi,638 mi,457 mi,478 mi,438 mi,491 mi,294 mi,136 mi,35 mi
Capital de giro,549 mi,534 mi,394 mi,468 mi,336 mi,355 mi,64 mi,80 mi,-515 mi,86 mi,-212 mi,13 mi,45 mi,63 mi,284 mi,376 mi,228 mi
Endividamento geral,"107,33%","103,08%","97,28%","122,23%","176,55%","3.355,61%","-450,09%","-326,35%","-272,71%","-619,52%","-1.800,61%","1.780,00%","711,06%","452,24%","242,62%","117,09%","121,62%"
