Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"12,00","14,43","10,21","12,31","4,12","11,64","7,23","18,20","7,44","-34,71","16,70","9,04","2,87","7,91","2,17","6,60","12,18","17,50"
P/VP,"-0,65","-0,63","-0,51","-0,57","-0,41","-1,51","-0,58","-0,60","-0,46","-0,59","-0,67","-0,34","-0,16","-0,26","-0,22","-0,41","-0,40","-0,38"
P/EBIT,"-35,13","-31,74","-33,30","28,01","5,15","10,28","5,36","10,63","5,19","-52,55","19,17","7,97","2,19","2,76","1,37","3,08","4,74","4,79"
P/EBIT *,"-18,80","-15,14","-13,61","-20,26","-9,68","38,26","44,16","-22,55","-14,52","-32,47","24,22","9,95","2,50","5,46","7,95","8,33","6,66","7,41"
PSR,"1,07","1,09","0,89","1,06","0,81","2,24","1,35","1,94","1,56","2,00","2,06","0,96","0,40","0,77","0,68","1,19","1,27","1,43"
P/Ativos,"0,43","0,44","0,40","0,50","0,39","1,55","0,68","0,81","0,61","0,82","0,95","0,55","0,30","0,57","0,51","1,17","1,21","1,46"
LPA,"0,22","0,18","0,22","0,21","0,47","0,67","0,47","0,21","0,40","-0,12","0,27","0,26","0,42","0,25","0,78","0,53","0,30","0,21"
VPA,"-4,05","-4,13","-4,31","-4,53","-4,74","-5,20","-5,88","-6,35","-6,56","-6,97","-6,85","-7,13","-7,39","-7,51","-7,76","-8,54","-9,07","-9,36"
EBIT por ação,"-0,07","-0,08","-0,07","0,09","0,37","0,76","0,63","0,36","0,58","-0,08","0,24","0,30","0,55","0,72","1,23","1,14","0,76","0,75"
EBIT por ação *,"-0,14","-0,17","-0,16","-0,13","-0,20","0,21","0,08","-0,17","-0,21","-0,13","0,19","0,24","0,48","0,36","0,21","0,42","0,54","0,49"
Ativo por ação,"6,14","5,90","5,49","5,18","4,98","5,07","5,02","4,73","4,94","4,98","4,84","4,35","3,99","3,49","3,30","2,99","2,96","2,46"
Receita líquida por ação,"2,46","2,39","2,48","2,42","2,37","3,50","2,51","1,98","1,93","2,05","2,22","2,49","3,02","2,57","2,50","2,95","2,84","2,53"
Margem bruta,"24,34%","23,11%","24,90%","25,19%","23,18%","28,86%","28,14%","21,78%","19,09%","29,63%","34,63%","34,68%","41,03%","41,28%","35,47%","37,27%","42,05%","43,74%"
Margem líquida,"8,92%","7,53%","8,68%","8,64%","19,68%","19,27%","18,71%","10,63%","20,94%","-5,76%","12,35%","10,62%","13,87%","9,75%","31,15%","17,96%","10,41%","8,14%"
Margem EBIT,"-3,04%","-3,42%","-2,66%","3,80%","15,74%","21,82%","25,23%","18,20%","30,01%","-3,80%","10,76%","12,03%","18,15%","27,95%","49,18%","38,54%","26,72%","29,75%"
Margem EBIT *,"-5,69%","-7,17%","-6,52%","-5,25%","-8,38%","5,86%","3,06%","-8,58%","-10,73%","-6,15%","8,52%","9,64%","15,90%","14,12%","8,50%","14,24%","19,02%","19,22%"
Margem EBITDA,"0,29%","0,02%","0,88%","8,05%","20,95%","25,75%","30,80%","25,23%","37,05%","3,00%","16,90%","17,72%","22,73%","33,00%","53,77%","41,72%","29,77%","33,01%"
Margem EBITDA *,"-2,35%","-3,73%","-2,97%","-1,00%","-3,16%","9,79%","8,64%","-1,55%","-3,70%","0,65%","14,65%","15,32%","20,48%","19,18%","13,09%","17,41%","22,08%","22,48%"
Margem operacional,"10,34%","8,97%","10,14%","14,90%","21,19%","22,08%","22,06%","12,29%","28,46%","-3,90%","14,05%","12,37%","15,45%","19,31%","40,73%","22,93%","13,90%","8,93%"
ROE,"-5,42%","-4,36%","-5,00%","-4,61%","-9,84%","-12,96%","-7,98%","-3,32%","-6,15%","1,69%","-4,01%","-3,71%","-5,66%","-3,34%","-10,04%","-6,21%","-3,26%","-2,20%"
ROA,"0,04","0,03","0,04","0,04","0,09","0,13","0,09","0,04","0,08","-0,02","0,06","0,06","0,10","0,07","0,24","0,18","0,10","0,08"
ROIC,"-4,49%","-5,10%","-4,47%","6,21%","22,88%","41,85%","31,24%","21,19%","29,85%","-4,75%","13,70%","16,40%","27,83%","35,58%","65,49%","62,51%","43,22%","47,48%"
ROIC *,"-8,39%","-10,68%","-10,94%","-8,58%","-12,18%","11,25%","3,79%","-9,99%","-10,67%","-7,69%","10,85%","13,14%","24,39%","17,98%","11,32%","23,09%","30,77%","30,68%"
Giro do ativo,"0,40","0,41","0,45","0,47","0,48","0,69","0,50","0,42","0,39","0,41","0,46","0,57","0,76","0,74","0,76","0,99","0,96","1,02"
EBIT *,-2 mi,-3 mi,-2 mi,-2 mi,-3 mi,2 mi,0 mi,-3 mi,-3 mi,-2 mi,2 mi,2 mi,5 mi,4 mi,2 mi,5 mi,6 mi,5 mi
EBITDA,0 mi,0 mi,0 mi,2 mi,5 mi,10 mi,9 mi,5 mi,8 mi,0 mi,4 mi,5 mi,8 mi,10 mi,15 mi,14 mi,10 mi,9 mi
EBITDA *,-1 mi,-2 mi,-1 mi,-1 mi,-1 mi,4 mi,2 mi,-1 mi,-1 mi,0 mi,3 mi,4 mi,7 mi,5 mi,3 mi,6 mi,7 mi,6 mi
Liquidez corrente,"2,61","2,60","2,43","2,13","1,72","1,70","1,76","1,93","1,93","1,87","1,87","1,65","1,44","1,19","1,23","0,77","0,87","0,75"
Liquidez seca,"2,42","2,41","2,24","1,98","1,53","1,50","1,56","1,78","1,73","1,70","1,70","1,47","1,23","0,98","1,03","0,63","0,69","0,59"
Liquidez imediata,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,02","0,03","0,03"
Dívida bruta,20 mi,20 mi,20 mi,20 mi,20 mi,26 mi,32 mi,38 mi,43 mi,52 mi,52 mi,52 mi,52 mi,52 mi,50 mi,60 mi,70 mi,70 mi
Dívida líquida,-31 mi,-30 mi,-27 mi,-23 mi,-18 mi,-11 mi,-1 mi,3 mi,9 mi,14 mi,16 mi,23 mi,28 mi,35 mi,34 mi,47 mi,57 mi,60 mi
Capital de giro,40 mi,38 mi,34 mi,28 mi,20 mi,20 mi,21 mi,21 mi,22 mi,22 mi,21 mi,15 mi,10 mi,4 mi,5 mi,-8 mi,-5 mi,-8 mi
Endividamento geral,"-251,73%","-242,78%","-227,39%","-214,52%","-205,16%","-197,49%","-185,38%","-174,49%","-175,29%","-171,36%","-170,56%","-161,01%","-153,94%","-146,53%","-142,52%","-135,03%","-132,70%","-126,33%"
