Conta,3T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"0,03","-0,05","-1,64","81,06","27,49",-,-,-
P/VP,"-0,20","-0,08","0,55","1,53","2,23",-,-,-
P/EBIT,"0,05","-0,07","2,98","4,29","10,01",-,-,-
P/EBIT *,"-0,05","-0,09","2,90","4,09","9,83",-,-,-
PSR,"0,02","0,03","0,07","0,20","0,49",-,-,-
P/Ativos,"0,02","0,04","0,08","0,23","0,48",-,-,-
LPA,"64,68","-157,94","-19,72","1,47","6,24",-,-,-
VPA,"-9,78","-95,42","58,69","78,28","76,90",-,-,-
EBIT por ação,"36,69","-104,07","10,83","27,83","17,13",-,-,-
EBIT por ação *,"-38,18","-86,76","11,12","29,20","17,45",-,-,-
Ativo por ação,"116,78","191,82","406,65","522,44","357,15",-,-,-
Receita líquida por ação,"92,32","243,15","495,48","611,11","346,90",-,-,-
Margem bruta,"-1,14%","-1,34%","10,30%","12,52%","13,71%","12,48%","17,24%","10,82%"
Margem líquida,"69,73%","-65,48%","-3,91%","0,25%","1,81%","2,90%","2,20%","-0,15%"
Margem EBIT,"39,74%","-42,80%","2,18%","4,55%","4,94%","3,65%","7,70%","1,99%"
Margem EBIT *,"-41,36%","-35,68%","2,25%","4,78%","5,03%","3,43%","7,07%","3,15%"
Margem EBITDA,"42,80%","-39,31%","3,75%","5,49%","6,29%","4,91%","9,35%",--%
Margem EBITDA *,"-38,30%","-32,19%","3,81%","5,72%","6,39%","4,68%","8,72%",--%
Margem operacional,"69,13%","-61,61%","-5,20%","-0,38%","2,11%","-0,28%","3,61%","-0,06%"
ROE,"-658,49%","166,84%","-32,31%","1,93%","8,10%","7,47%","10,69%","-0,85%"
ROA,"0,55","-0,83","-0,05","0,00","0,02","0,02","0,02","-0,00"
ROIC,"34,13%","-222,70%","5,24%","13,32%","11,52%","4,67%","15,34%","3,59%"
ROIC *,"-35,52%","-185,66%","5,38%","13,98%","11,74%","4,38%","14,09%","5,69%"
Giro do ativo,"0,79","1,27","1,22","1,17","0,97","0,62","1,12","0,99"
EBIT *,-725 mi,-1.646 mi,211 mi,553 mi,331 mi,90 mi,109 mi,33 mi
EBITDA,749 mi,-1.814 mi,352 mi,636 mi,414 mi,129 mi,145 mi,--
EBITDA *,-671 mi,-1.485 mi,358 mi,662 mi,420 mi,123 mi,135 mi,--
Liquidez corrente,"2,19","0,35","0,90","1,14","1,11","1,03","1,10","1,16"
Liquidez seca,"1,80","0,30","0,77","0,91","0,78","0,76","0,67","0,88"
Liquidez imediata,"0,14","0,09","0,12","0,15","0,13","0,10","0,10","0,11"
Dívida bruta,1.004 mi,1.542 mi,1.640 mi,2.059 mi,1.390 mi,908 mi,338 mi,284 mi
Dívida líquida,947 mi,1.066 mi,901 mi,981 mi,634 mi,513 mi,240 mi,203 mi
Capital de giro,497 mi,-3.398 mi,-594 mi,1.016 mi,544 mi,95 mi,99 mi,124 mi
Endividamento geral,"-1.294,53%","-301,02%","578,66%","560,05%","359,57%","317,67%","333,88%","475,55%"
