Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,"10,54","16,31","7,96","-4,73","5,19","6,97","48,95","11,24","21,10","32,55","62,51",-
P/VP,"1,26","1,75","0,74","1,22","1,04","1,74","2,26","1,11","2,03","1,68","3,44",-
P/EBIT,"1,13","1,59","0,70","2,44","1,19","3,43","17,54","5,47","8,88","8,58","12,97",-
P/EBIT *,"1,05","1,48","0,65","1,98","1,09","3,18","12,06","5,09","7,76","6,12","10,39",-
PSR,"0,26","0,35","0,14","0,30","0,31","1,07","1,31","0,67","1,33","0,88","1,36",-
P/Ativos,"0,11","0,15","0,06","0,12","0,11","0,26","0,63","0,35","0,65","0,54","0,89",-
LPA,"0,91","0,79","0,58","-1,62","1,38","2,04","0,27","0,57","0,40","0,17","0,10",-
VPA,"7,60","7,38","6,20","6,27","6,88","8,17","5,87","5,72","4,12","3,19","1,79",-
EBIT por ação,"8,47","8,10","6,51","3,14","6,01","4,14","0,76","1,16","0,94","0,63","0,48",-
EBIT por ação *,"9,10","8,73","7,08","3,87","6,58","4,47","1,10","1,25","1,08","0,88","0,59",-
Ativo por ação,"89,36","86,84","76,02","62,46","65,27","54,00","21,14","18,01","12,91","9,96","6,94",-
Receita líquida por ação,"37,01","36,48","33,52","25,72","23,13","13,26","10,16","9,54","6,31","6,14","4,55",-
Margem bruta,"33,28%","32,46%","29,79%","26,77%","38,77%","44,75%","21,19%","24,49%","31,77%","26,13%","24,27%","21,86%"
Margem líquida,"2,45%","2,17%","1,72%","-6,29%","5,98%","15,37%","2,67%","5,94%","6,29%","2,69%","2,17%","5,53%"
Margem EBIT,"22,90%","22,19%","19,43%","12,20%","25,99%","31,26%","7,45%","12,21%","14,96%","10,22%","10,45%","12,53%"
Margem EBIT *,"24,58%","23,92%","21,11%","15,04%","28,46%","33,69%","10,83%","13,11%","17,11%","14,32%","13,04%","13,53%"
Margem EBITDA,"47,44%","38,76%","34,87%","33,84%","38,18%","39,06%","17,56%","19,46%","18,98%","13,24%","14,70%","20,12%"
Margem EBITDA *,"49,12%","40,49%","36,54%","36,67%","40,66%","41,49%","20,94%","20,36%","21,13%","17,34%","17,29%","21,13%"
Margem operacional,"2,70%","2,37%","2,30%","-8,09%","7,69%","22,16%","3,40%","7,32%","8,15%","3,66%","2,70%","5,97%"
ROE,"11,92%","10,73%","9,29%","-25,81%","20,10%","24,95%","4,62%","9,90%","9,63%","5,17%","5,50%","8,44%"
ROA,"0,01","0,01","0,01","-0,03","0,02","0,04","0,01","0,03","0,03","0,02","0,01","0,03"
ROIC,"13,40%","13,06%","12,52%","7,29%","14,12%","14,35%","5,54%","9,77%","11,14%","10,06%","10,53%","8,45%"
ROIC *,"14,39%","14,08%","13,59%","8,99%","15,47%","15,47%","8,06%","10,49%","12,75%","14,09%","13,14%","9,13%"
Giro do ativo,"0,41","0,42","0,44","0,41","0,35","0,25","0,48","0,53","0,49","0,62","0,66","0,46"
EBIT *,3.658 mi,3.510 mi,2.845 mi,1.555 mi,2.647 mi,1.796 mi,442 mi,502 mi,434 mi,353 mi,238 mi,164 mi
EBITDA,7.061 mi,5.686 mi,4.700 mi,3.499 mi,3.551 mi,2.082 mi,717 mi,746 mi,481 mi,326 mi,269 mi,244 mi
EBITDA *,7.311 mi,5.940 mi,4.925 mi,3.792 mi,3.781 mi,2.212 mi,855 mi,781 mi,536 mi,428 mi,316 mi,256 mi
Liquidez corrente,"0,85","0,56","0,75","0,73","1,60","2,44","0,97","0,87","0,87","0,72","0,38","0,69"
Liquidez seca,"0,85","0,56","0,75","0,73","1,60","2,44","0,97","0,87","0,87","0,72","0,38","0,69"
Liquidez imediata,"0,17","0,10","0,07","0,02","0,09","0,04","0,03","0,03","0,16","0,25","0,04","0,41"
Dívida bruta,23.649 mi,21.909 mi,20.491 mi,15.299 mi,17.723 mi,14.765 mi,4.406 mi,3.144 mi,2.265 mi,1.861 mi,1.040 mi,1.274 mi
Dívida líquida,18.168 mi,17.788 mi,16.200 mi,12.300 mi,10.896 mi,6.979 mi,2.714 mi,2.097 mi,1.453 mi,1.077 mi,916 mi,790 mi
Capital de giro,-1.647 mi,-5.634 mi,-2.302 mi,-2.026 mi,3.544 mi,5.395 mi,-69 mi,-291 mi,-207 mi,-455 mi,-932 mi,-349 mi
Endividamento geral,"1.075,67%","1.076,80%","1.126,64%","895,96%","848,06%","561,17%","260,48%","214,77%","213,01%","211,83%","286,51%","229,60%"
