Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"33,36","29,43","10,10","17,06","21,53","77,38",-,-
P/VP,"1,45","1,49","0,67","1,36","1,11","2,26",-,-
P/EBIT,"5,22","5,50","2,53","5,32","4,71","29,03",-,-
P/EBIT *,"5,50","5,80","2,67","5,46","4,82","29,67",-,-
PSR,"1,65","1,73","0,80","1,77","1,45","5,72",-,-
P/Ativos,"0,53","0,55","0,26","0,54","0,41","0,92",-,-
LPA,"0,53","0,62","0,77","0,88","0,41","0,22",-,-
VPA,"12,23","12,12","11,60","11,04","8,03","7,58",-,-
EBIT por ação,"3,39","3,29","3,08","2,82","1,89","0,59",-,-
EBIT por ação *,"3,21","3,12","2,92","2,75","1,85","0,58",-,-
Ativo por ação,"33,27","33,20","30,21","27,95","21,69","18,63",-,-
Receita líquida por ação,"10,72","10,49","9,71","8,49","6,12","3,00",-,-
Margem bruta,"60,98%","61,72%","62,19%","63,31%","59,13%","56,91%","67,48%","56,95%"
Margem líquida,"5,70%","6,63%","8,87%","11,86%","7,74%","8,79%","15,92%","19,22%"
Margem EBIT,"31,58%","31,36%","31,73%","33,27%","30,87%","19,70%","28,44%","29,81%"
Margem EBIT *,"29,98%","29,74%","30,09%","32,44%","30,17%","19,27%","39,78%","41,84%"
Margem EBITDA,"55,43%","46,53%","45,03%","44,93%","45,79%","35,01%","41,44%","41,11%"
Margem EBITDA *,"53,82%","44,91%","43,39%","44,09%","45,10%","34,58%","52,79%","53,14%"
Margem operacional,"9,85%","10,17%","14,25%","12,70%","10,37%","9,77%","23,53%","25,44%"
ROE,"4,89%","5,62%","7,31%","9,04%","5,78%","3,44%","23,08%","34,32%"
ROA,"0,02","0,02","0,03","0,04","0,02","0,01","0,07","0,17"
ROIC,"11,86%","11,72%","11,93%","11,88%","10,04%","4,19%","16,94%","33,37%"
ROIC *,"11,26%","11,11%","11,31%","11,58%","9,81%","4,10%","23,70%","46,84%"
Giro do ativo,"0,32","0,32","0,32","0,30","0,28","0,16","0,41","0,90"
EBIT *,373 mi,362 mi,339 mi,319 mi,214 mi,67 mi,66 mi,47 mi
EBITDA,690 mi,566 mi,508 mi,443 mi,325 mi,122 mi,69 mi,0 mi
EBITDA *,670 mi,547 mi,489 mi,434 mi,320 mi,120 mi,88 mi,60 mi
Liquidez corrente,"1,41","1,41","1,53","1,27","0,87","1,85","1,18","0,89"
Liquidez seca,"1,41","1,41","1,53","1,27","0,87","1,85","1,18","0,89"
Liquidez imediata,"0,87","0,85","0,68","0,68","0,15","0,48","0,54","0,20"
Dívida bruta,1.659 mi,1.626 mi,1.347 mi,1.168 mi,881 mi,706 mi,201 mi,0 mi
Dívida líquida,1.202 mi,1.146 mi,963 mi,755 mi,629 mi,251 mi,122 mi,0 mi
Capital de giro,214 mi,221 mi,225 mi,129 mi,-61 mi,251 mi,18 mi,-5 mi
Endividamento geral,"166,00%","168,31%","156,44%","150,97%","164,79%","142,85%","251,13%","98,30%"
