Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,21","7,67","-505,14","-29,01","-1,77","25,04","8,84","12,90","10,58","10,33","9,07","6,83","6,00","17,25",-,-,-,-
P/VP,"1,08","1,23","0,49","0,67","0,32","0,90","1,02","1,34","1,45","1,35","2,20","1,45","2,05","4,45",-,-,-,-
P/EBIT,"3,29","3,70","2,46","3,92","-16,20","7,41","4,66","6,76","9,04","7,96","7,03","5,04","5,60","14,61",-,-,-,-
P/EBIT *,"3,07","3,41","1,94","3,49","2,12","5,98","7,88","6,89","8,93","7,92","7,16","4,80","5,40","14,18",-,-,-,-
PSR,"0,68","0,74","0,30","0,44","0,23","0,93","1,17","1,38","1,69","1,66","1,86","1,08","1,82","4,39",-,-,-,-
P/Ativos,"0,43","0,50","0,17","0,23","0,12","0,42","0,47","0,69","0,88","0,81","1,03","0,59","1,03","2,50",-,-,-,-
LPA,"1,92","1,67","-0,01","-0,22","-1,73","0,41","1,28","1,06","1,56","1,53","1,79","1,25","1,66","0,90",-,-,-,-
VPA,"11,01","10,43","9,39","9,40","9,61","11,37","11,08","10,17","11,42","11,72","7,38","5,88","4,87","3,51",-,-,-,-
EBIT por ação,"3,62","3,45","1,86","1,61","-0,19","1,38","2,43","2,02","1,83","1,99","2,31","1,69","1,78","1,07",-,-,-,-
EBIT por ação *,"3,88","3,75","2,35","1,81","1,44","1,71","1,44","1,98","1,85","2,00","2,27","1,78","1,84","1,10",-,-,-,-
Ativo por ação,"27,72","25,63","26,85","27,10","26,35","24,03","24,02","19,88","18,87","19,48","15,68","14,36","9,70","6,24",-,-,-,-
Receita líquida por ação,"17,56","17,22","15,39","14,22","13,02","10,93","9,71","9,91","9,81","9,57","8,74","7,93","5,48","3,55",-,-,-,-
Margem bruta,"59,66%","59,17%","55,23%","51,85%","49,72%","54,10%","53,56%","54,50%","54,30%","54,81%","54,56%","53,20%","62,09%","60,55%","63,93%","60,87%","64,33%","66,14%"
Margem líquida,"10,91%","9,67%","-0,06%","-1,53%","-13,25%","3,73%","13,20%","10,69%","15,94%","16,03%","20,48%","15,79%","30,33%","25,46%","22,68%","17,19%","25,28%","24,40%"
Margem EBIT,"20,61%","20,06%","12,06%","11,32%","-1,45%","12,61%","25,05%","20,40%","18,67%","20,79%","26,39%","21,38%","32,53%","30,08%","26,97%","24,70%","31,76%","31,98%"
