Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012
Receita líquida,"583,76 M","572,85 M","514,45 M","589,24 M","539,99 M","523,76 M","474,60 M","532,28 M","450,71 M","482,05 M","418,29 M","506,05 M","424,55 M","442,25 M","389,66 M","464,22 M","380,21 M","390,90 M","324,08 M","385,65 M","306,72 M","329,46 M","269,45 M","343,02 M","308,53 M","350,31 M","288,91 M","332,61 M","304,16 M","320,07 M","286,00 M","339,17 M","317,25 M","304,00 M","292,73 M","326,24 M","308,82 M","277,40 M","273,25 M","289,60 M","285,12 M","236,32 M","241,28 M","273,16 M","269,50 M","203,86 M","171,06 M","175,62 M","154,53 M","124,56 M","111,60 M","113,61 M","106,99 M","73,74 M","73,29 M","68,97 M","67,88 M"
Custos,"-219,15 M","-238,93 M","-219,82 M","-233,96 M","-212,28 M","-236,69 M","-205,02 M","-235,98 M","-209,43 M","-219,13 M","-207,92 M","-236,24 M","-218,27 M","-225,34 M","-202,79 M","-227,47 M","-187,24 M","-174,65 M","-154,84 M","-173,08 M","-143,35 M","-152,45 M","-134,96 M","-138,31 M","-154,98 M","-164,59 M","-131,17 M","-146,69 M","-138,06 M","-149,96 M","-134,95 M","-153,21 M","-138,87 M","-155,36 M","-129,15 M","-148,22 M","-123,92 M","-138,53 M","-118,97 M","-137,91 M","-115,98 M","-131,20 M","-115,96 M","-127,28 M","-103,01 M","-87,86 M","-62,23 M","-64,08 M","-53,13 M","-55,27 M","-44,17 M","-45,22 M","-35,52 M","-28,51 M","-25,54 M","-26,22 M","-22,08 M"
Lucro bruto,"364,62 M","333,92 M","294,63 M","355,27 M","327,71 M","287,07 M","269,58 M","296,30 M","241,28 M","262,92 M","210,38 M","269,81 M","206,27 M","216,91 M","186,87 M","236,75 M","192,97 M","216,25 M","169,25 M","212,57 M","163,37 M","177,01 M","134,50 M","204,71 M","153,55 M","185,72 M","157,74 M","185,92 M","166,10 M","170,11 M","151,06 M","185,96 M","178,38 M","148,63 M","163,58 M","178,02 M","184,90 M","138,87 M","154,29 M","151,69 M","169,15 M","105,12 M","125,31 M","145,88 M","166,49 M","116,00 M","108,83 M","111,54 M","101,40 M","69,29 M","67,43 M","68,40 M","71,47 M","45,23 M","47,74 M","42,74 M","45,80 M"
Despesas operacionais,"-228,40 M","-208,20 M","-220,22 M","-225,78 M","-212,68 M","-262,55 M","-211,55 M","-194,25 M","-186,95 M","-201,47 M","-185,80 M","-185,20 M","-169,62 M","-293,48 M","-162,45 M","-229,39 M","-172,40 M","-172,53 M","-137,07 M","-151,30 M","-123,08 M","-3,10 M","-124,77 M","-115,39 M","-113,33 M","-137,15 M","-110,48 M","-96,95 M","-90,62 M","-127,33 M","-98,93 M","-105,54 M","-118,01 M","-129,78 M","-110,69 M","-92,94 M","-85,70 M","-88,42 M","-86,91 M","-71,52 M","-70,14 M","-84,40 M","-83,42 M","-84,68 M","-72,21 M","-64,88 M","-49,67 M","-50,91 M","-42,97 M","-43,59 M","-32,84 M","-35,09 M","-27,69 M","-38,06 M","-23,71 M","-21,11 M","-22,59 M"
Despesas com vendas,"-36,33 M","-31,54 M","-37,47 M","-39,58 M","-31,54 M","-33,04 M","-41,88 M","-40,38 M","-35,96 M","-31,50 M","-29,96 M","-36,74 M","-40,36 M","-41,60 M","-39,41 M","-43,12 M","-37,97 M","-35,92 M","-29,15 M","-30,72 M","-35,10 M","-25,50 M","-23,92 M","-15,97 M","-25,36 M","-17,84 M","-20,13 M","-22,47 M","-19,73 M","-17,53 M","-13,76 M","-16,49 M","-35,77 M","-28,16 M","-27,79 M","-15,82 M","-20,74 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-188,46 M","-172,18 M","-171,92 M","-171,29 M","-173,74 M","-178,98 M","-163,22 M","-151,33 M","-146,93 M","-159,47 M","-148,96 M","-142,74 M","-126,22 M","-137,88 M","-115,13 M","-115,82 M","-117,62 M","-118,85 M","-100,22 M","-107,46 M","-84,07 M","-119,01 M","-87,61 M","-100,97 M","-86,17 M","-114,40 M","-84,57 M","-91,46 M","-69,40 M","-107,54 M","-84,11 M","-88,45 M","-83,20 M","-99,86 M","-83,27 M","-77,61 M","-64,32 M","-89,11 M","-87,35 M","-75,67 M","-69,94 M","-81,16 M","-80,01 M","-82,39 M","-70,17 M","-61,83 M","-48,39 M","-48,67 M","-41,42 M","-42,49 M","-32,94 M","-33,50 M","-26,19 M","-34,11 M","-23,09 M","-20,36 M","-22,25 M"
EBIT,"136,21 M","125,72 M","74,41 M","129,49 M","115,04 M","24,52 M","58,03 M","102,04 M","54,33 M","61,45 M","24,57 M","84,60 M","36,66 M","-76,57 M","24,41 M","7,36 M","20,57 M","43,73 M","32,17 M","61,27 M","40,29 M","173,92 M","9,73 M","89,33 M","40,22 M","48,57 M","47,25 M","88,97 M","75,48 M","42,77 M","52,13 M","80,42 M","60,37 M","18,85 M","52,90 M","85,08 M","99,20 M","50,45 M","67,38 M","80,17 M","99,01 M","20,72 M","41,90 M","61,20 M","94,27 M","51,12 M","59,16 M","60,63 M","58,44 M","25,70 M","34,59 M","33,31 M","43,78 M","7,17 M","24,04 M","21,64 M","23,21 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-54,02 M","-50,17 M","-55,22 M","-46,69 M","-61,84 M","-42,95 M","-63,87 M","-47,85 M","-70,62 M","-53,84 M","-59,44 M","-54,45 M","-63,22 M","-45,95 M","-59,80 M","-44,40 M","-40,53 M","-40,33 M","-37,37 M","-38,19 M","-15,27 M","-20,33 M","-32,77 M","-28,75 M","-21,79 M","-56,83 M","-21,75 M","-28,18 M","-16,60 M","-7,15 M","-12,94 M","-6,26 M","-721,00 Mil","-9,63 M","-5,18 M","-21,61 M","-17,69 M","-17,66 M","-17,73 M","-14,70 M","-11,02 M","-11,20 M","-15,71 M","-10,32 M","-8,32 M","-3,97 M","1,86 M","-686,00 Mil","3,61 M","-1,95 M","-7,71 M","-3,15 M","-3,07 M","751,00 Mil","-3,42 M","-3,49 M","-3,28 M"
Antes dos impostos,"82,19 M","75,56 M","19,20 M","82,80 M","53,19 M","-18,43 M","-5,84 M","54,19 M","-16,29 M","7,61 M","-34,87 M","30,16 M","-26,56 M","-122,52 M","-35,38 M","-37,04 M","-19,97 M","3,39 M","-5,20 M","23,09 M","25,02 M","153,59 M","-23,04 M","60,57 M","18,43 M","-8,26 M","25,50 M","60,79 M","58,88 M","35,62 M","39,19 M","74,16 M","59,65 M","9,21 M","47,72 M","63,47 M","81,51 M","32,79 M","49,65 M","65,47 M","87,98 M","9,52 M","26,18 M","50,89 M","85,95 M","47,15 M","61,02 M","59,94 M","62,05 M","23,75 M","26,88 M","30,16 M","40,71 M","7,92 M","20,62 M","18,15 M","19,93 M"
Imposto,"-6,29 M","-998,00 Mil","-4,28 M","-1,47 M","-9,56 M","-11,78 M","3,53 M","-5,31 M","-1,24 M","-1,92 M","-1,90 M","1,23 M","-1,79 M","-2,87 M","-3,96 M","-2,05 M","1,65 M","102,00 Mil","-1,58 M","2,61 M","5,05 M","-32,06 M","-4,94 M","-5,86 M","-1,67 M","5,70 M","-1,66 M","-1,79 M","-2,79 M","-2,51 M","-2,25 M","-1,14 M","-1,43 M","-4,89 M","318,00 Mil","1,42 M","-1,29 M","-633,00 Mil","-1,03 M","-1,71 M","-2,07 M","-4,46 M","-2,03 M","-1,88 M","-3,10 M","-3,38 M","-3,36 M","-6,22 M","-3,34 M","-2,22 M","-924,00 Mil","-1,08 M","-974,00 Mil","-1,51 M","-452,00 Mil","-400,00 Mil","-370,00 Mil"
Op. continuadas,"75,90 M","74,56 M","14,92 M","81,33 M","43,63 M","-30,21 M","-2,31 M","48,88 M","-17,52 M","5,69 M","-36,77 M","31,38 M","-28,35 M","-125,39 M","-39,34 M","-39,09 M","-18,32 M","3,49 M","-6,78 M","25,70 M","30,07 M","121,53 M","-27,98 M","54,72 M","16,77 M","-2,56 M","23,84 M","59,01 M","56,09 M","33,10 M","36,93 M","73,02 M","58,22 M","4,32 M","48,03 M","64,89 M","80,22 M","32,16 M","48,62 M","63,76 M","85,91 M","5,06 M","24,16 M","49,01 M","82,84 M","43,77 M","57,66 M","53,72 M","58,71 M","21,53 M","25,96 M","29,07 M","39,73 M","6,42 M","20,17 M","17,75 M","19,56 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"75,90 M","74,56 M","14,92 M","81,33 M","43,63 M","-30,21 M","-2,31 M","48,88 M","-17,52 M","5,69 M","-36,77 M","31,38 M","-28,35 M","-125,39 M","-39,34 M","-39,09 M","-18,32 M","3,49 M","-6,78 M","25,70 M","30,07 M","121,53 M","-27,98 M","54,72 M","16,77 M","-2,56 M","23,84 M","59,01 M","56,09 M","33,10 M","36,93 M","73,02 M","58,22 M","4,32 M","48,03 M","64,89 M","80,22 M","32,16 M","48,62 M","63,76 M","85,91 M","5,06 M","24,16 M","49,01 M","82,84 M","43,77 M","57,66 M","53,72 M","58,71 M","21,53 M","25,96 M","29,07 M","39,73 M","6,42 M","20,17 M","17,75 M","19,56 M"
Dos controladores,"75,90 M","-139,88 M","14,92 M","81,33 M","43,63 M","-29,05 M","-2,31 M","48,88 M","-17,52 M",0,0,"31,38 M",0,0,0,"-39,09 M","-18,32 M","-48,99 M","-6,78 M","25,70 M","30,07 M","121,53 M","-27,98 M","54,72 M","16,77 M","-2,56 M","23,84 M","59,01 M","56,09 M","33,10 M","36,93 M","73,02 M","58,22 M","4,32 M","48,03 M","64,89 M","80,22 M","32,16 M","48,62 M","63,76 M","85,91 M","5,06 M","24,16 M","49,01 M","82,84 M","43,77 M","57,66 M","53,72 M","58,71 M","21,53 M","25,96 M","29,07 M","39,76 M","6,44 M","20,14 M","17,75 M","19,54 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-23,00 Mil","-26,00 Mil","25,00 Mil",0,"20,00 Mil"
