Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"19,25","9,01","13,30","7,15","8,83","9,93","27,88","8,44","9,00","6,40","5,19","5,47","8,63","6,80","10,40","15,99","27,38"
P/VP,"0,37","0,35","0,37","0,39","0,50","0,61","0,60","0,42","0,37","0,43","0,29","0,27","0,46","0,60","0,55","0,56","0,64"
P/EBIT,"2,53","1,94","1,69","1,68","3,24","2,69","10,18","3,22","2,60","1,73","1,43","1,51","2,38","2,85","3,15","5,40","9,16"
P/EBIT *,"2,60","2,21","1,78","1,73","3,23","2,70","6,46","3,28","2,88","1,75","1,60","1,55","2,66","3,24","3,53","5,56","9,30"
PSR,"0,13","0,10","0,10","0,10","0,14","0,20","0,24","0,18","0,16","0,17","0,12","0,11","0,17","0,25","0,26","0,28","0,31"
P/Ativos,"0,10","0,09","0,09","0,09","0,12","0,16","0,17","0,11","0,10","0,12","0,08","0,08","0,12","0,19","0,19","0,20","0,24"
LPA,"1,12","2,22","1,52","2,89","2,91","3,01","1,01","2,28","1,81","2,90","2,28","1,94","1,81","3,17","1,77","1,15","0,74"
VPA,"57,76","56,80","54,94","53,43","51,37","49,29","47,14","46,19","44,55","43,23","41,13","39,40","34,05","36,00","33,70","32,60","31,65"
EBIT por ação,"8,54","10,36","11,98","12,29","7,91","11,10","2,76","5,98","6,27","10,73","8,27","7,02","6,59","7,58","5,83","3,40","2,21"
EBIT por ação *,"8,30","9,06","11,34","11,93","7,94","11,09","4,36","5,87","5,65","10,61","7,41","6,83","5,88","6,66","5,20","3,31","2,17"
Ativo por ação,"218,39","217,99","225,66","227,89","207,57","192,00","170,31","171,56","161,84","157,56","148,00","132,27","126,84","114,37","97,44","93,86","85,08"
Receita líquida por ação,"170,30","209,05","200,25","214,12","189,25","147,80","115,16","104,58","101,04","110,78","99,87","97,16","93,30","87,91","69,67","65,02","64,42"
Margem bruta,"24,44%","21,13%","21,58%","21,36%","19,84%","27,37%","27,48%","29,92%","29,13%","33,27%","32,88%","30,75%","30,07%","30,63%","32,06%","26,75%","23,66%"
Margem líquida,"0,93%","1,31%","1,05%","1,64%","1,86%","2,46%","1,52%","2,74%","2,37%","3,06%","2,83%","2,54%","2,45%","4,14%","3,02%","2,00%","1,57%"
Margem EBIT,"5,01%","4,96%","5,98%","5,74%","4,18%","7,51%","2,40%","5,72%","6,21%","9,69%","8,28%","7,23%","7,06%","8,62%","8,37%","5,23%","3,42%"
Margem EBIT *,"4,87%","4,34%","5,66%","5,57%","4,20%","7,50%","3,79%","5,61%","5,59%","9,58%","7,42%","7,03%","6,31%","7,58%","7,46%","5,08%","3,37%"
Margem EBITDA,"5,74%","5,58%","6,69%","6,45%","5,03%","8,58%","3,67%","7,08%","7,55%","10,84%","9,50%","8,32%","8,00%","9,65%","9,92%","6,74%","4,66%"
Margem EBITDA *,"5,60%","4,96%","6,37%","6,28%","5,05%","8,57%","5,06%","6,98%","6,93%","10,73%","8,63%","8,13%","7,25%","8,61%","9,01%","6,60%","4,61%"
Margem operacional,"1,54%","2,28%","1,34%","1,97%","2,82%","5,67%","0,14%","3,07%","3,31%","5,89%","4,81%","3,98%","4,97%","7,43%","5,83%","3,34%","1,53%"
ROE,"2,19%","3,78%","2,98%","4,96%","5,13%","5,51%","2,76%","4,59%","3,95%","5,77%","5,02%","4,56%","5,06%","7,78%","4,76%","3,01%","2,39%"
ROA,"0,01","0,01","0,01","0,02","0,02","0,02","0,01","0,02","0,01","0,02","0,02","0,02","0,02","0,03","0,02","0,01","0,01"
ROIC,"6,58%","7,53%","8,53%","8,05%","5,67%","8,40%","2,15%","4,88%","5,37%","8,59%","6,91%","6,58%","6,51%","8,06%","6,89%","4,42%","3,12%"
ROIC *,"6,40%","6,59%","8,08%","7,82%","5,70%","8,39%","3,39%","4,79%","4,84%","8,50%","6,18%","6,41%","5,81%","7,09%","6,14%","4,30%","3,07%"
Giro do ativo,"0,78","0,96","0,89","0,94","0,91","0,77","0,68","0,61","0,62","0,70","0,67","0,73","0,74","0,77","0,71","0,69","0,76"
EBIT *,87 mi,95 mi,120 mi,126 mi,84 mi,117 mi,46 mi,62 mi,59 mi,112 mi,78 mi,72 mi,62 mi,70 mi,55 mi,34 mi,22 mi
EBITDA,103 mi,123 mi,141 mi,146 mi,100 mi,134 mi,44 mi,78 mi,80 mi,127 mi,100 mi,85 mi,79 mi,89 mi,73 mi,46 mi,31 mi
EBITDA *,100 mi,109 mi,134 mi,142 mi,101 mi,134 mi,61 mi,77 mi,74 mi,125 mi,91 mi,83 mi,71 mi,80 mi,66 mi,45 mi,31 mi
Liquidez corrente,"2,95","1,88","2,06","1,73","2,21","1,76","2,12","2,25","2,10","1,78","1,55","2,02","1,71","2,14","1,71","1,59","1,48"
Liquidez seca,"2,42","1,55","1,63","1,30","1,77","1,38","1,71","1,84","1,70","1,34","1,18","1,53","1,33","1,62","1,26","1,28","1,24"
Liquidez imediata,"0,02","0,01","0,01","0,04","0,01","0,01","0,01","0,02","0,02","0,50","0,41","0,58","0,53","0,60","0,35","0,51","0,01"
Dívida bruta,1.297 mi,1.221 mi,1.249 mi,1.307 mi,1.155 mi,1.010 mi,913 mi,901 mi,821 mi,794 mi,744 mi,657 mi,607 mi,465 mi,344 mi,324 mi,261 mi
Dívida líquida,402 mi,473 mi,511 mi,647 mi,535 mi,474 mi,521 mi,432 mi,376 mi,489 mi,485 mi,414 mi,360 mi,272 mi,233 mi,174 mi,123 mi
Capital de giro,1.165 mi,790 mi,905 mi,748 mi,849 mi,582 mi,591 mi,686 mi,592 mi,473 mi,351 mi,426 mi,330 mi,365 mi,223 mi,170 mi,123 mi
Endividamento geral,"201,33%","202,06%","219,38%","221,13%","203,31%","191,22%","168,88%","174,83%","167,60%","168,29%","162,97%","144,17%","180,59%","144,23%","120,24%","117,05%","101,20%"
