Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"41,06","545,41","113,45","53,97","24,40","32,10","28,02","10,10","66,93","-65,04","47,53","-6,38","-83,75",-,-,-,-
P/VP,"2,40","1,21","2,00","1,48","3,18","4,08","2,44","1,42","1,19","1,56","1,89","8,53","32,21",-,-,-,-
P/EBIT,"12,80","10,36","9,24","15,79","17,98","28,97","17,41","8,02","9,06","12,55","52,24","-20,02","-184,78",-,-,-,-
P/EBIT *,"13,76","7,94","9,46","20,28","20,48","30,82","19,47","9,71","8,44","12,61","25,23","211,57","-335,20",-,-,-,-
PSR,"2,58","2,01","2,45","3,31","5,59","9,97","5,37","2,87","2,35","3,25","4,46","5,39","54,86",-,-,-,-
P/Ativos,"0,84","0,43","0,57","0,49","1,57","1,99","1,21","0,73","0,59","0,68","0,81","1,37","8,15",-,-,-,-
LPA,"0,60","0,02","0,11","0,19","0,61","0,52","0,31","0,46","0,05","-0,06","0,07","-0,78","-0,49",-,-,-,-
VPA,"10,23","9,76","6,38","7,06","4,65","4,10","3,56","3,25","2,78","2,32","1,85","0,59","1,26",-,-,-,-
EBIT por ação,"1,92","1,14","1,38","0,66","0,82","0,58","0,50","0,58","0,36","0,29","0,07","-0,25","-0,22",-,-,-,-
EBIT por ação *,"1,78","1,49","1,35","0,52","0,72","0,54","0,45","0,48","0,39","0,29","0,14","0,02","-0,12",-,-,-,-
Ativo por ação,"29,34","27,24","22,49","21,54","9,42","8,37","7,16","6,35","5,63","5,35","4,30","3,64","5,00",-,-,-,-
Receita líquida por ação,"9,51","5,88","5,21","3,16","2,65","1,67","1,62","1,62","1,41","1,12","0,78","0,93","0,74",-,-,-,-
Margem bruta,"29,35%","34,72%","36,78%","30,63%","37,91%","46,19%","39,45%","40,08%","40,79%","33,87%","26,33%","12,17%","-4,74%","-4,43%","2,67%","-18,31%","34,15%"
Margem líquida,"9,19%","4,83%","3,01%","6,13%","22,90%","31,03%","19,09%","28,39%","3,45%","-5,14%","9,03%","-86,59%","-65,64%","-890,53%","-238,81%","-259,63%","-344,51%"
Margem EBIT,"20,16%","19,42%","26,48%","20,95%","31,06%","34,43%","30,81%","35,73%","25,93%","25,92%","8,55%","-26,90%","-29,69%","-833,99%","-200,31%","-272,10%","-362,10%"
Margem EBIT *,"18,75%","25,34%","25,86%","16,32%","27,28%","32,36%","27,56%","29,53%","27,82%","25,81%","17,69%","2,55%","-16,37%","-477,98%","-162,49%","-248,03%","-344,43%"
Margem EBITDA,"35,33%","34,26%","42,45%","34,63%","42,94%","49,30%","46,43%","49,95%","41,32%","42,41%","18,26%","-17,42%","-19,50%","-815,93%","-194,63%","-270,05%","-346,86%"
Margem EBITDA *,"33,92%","40,17%","41,83%","30,00%","39,16%","47,22%","43,18%","43,74%","43,20%","42,30%","27,41%","12,03%","-6,18%","-459,92%","-156,80%","-245,98%","-329,19%"
Margem operacional,"13,21%","-11,85%","2,79%","8,43%","27,42%","25,19%","17,74%","19,61%","6,80%","0,54%","9,74%","-55,27%","-64,86%","-1.019,41%","-320,58%","-318,56%","-418,84%"
ROE,"7,90%","2,72%","2,03%","2,74%","13,04%","12,69%","8,68%","14,13%","1,75%","-2,48%","3,83%","-127,86%","-36,69%","-16,08%","-29,33%","-15,02%","-11,72%"
ROA,"0,03","0,01","0,01","0,01","0,06","0,06","0,04","0,07","0,01","-0,01","0,02","-0,22","-0,10","-0,05","-0,05","-0,05","-0,05"
ROIC,"7,12%","4,68%","6,65%","3,39%","9,97%","8,08%","8,42%","10,56%","7,33%","5,86%","1,63%","-7,18%","-4,70%","-5,50%","-5,34%","-6,34%","-7,14%"
ROIC *,"6,62%","6,11%","6,49%","2,64%","8,76%","7,59%","7,53%","8,72%","7,86%","5,84%","3,38%","0,68%","-2,59%","-3,15%","-4,33%","-5,78%","-6,79%"
Giro do ativo,"0,32","0,22","0,23","0,15","0,28","0,20","0,23","0,25","0,25","0,21","0,18","0,26","0,15","0,01","0,02","0,02","0,01"
EBIT *,3.453 mi,2.885 mi,2.609 mi,1.000 mi,1.397 mi,1.049 mi,864 mi,923 mi,757 mi,557 mi,268 mi,45 mi,-236 mi,-234 mi,-274 mi,-245 mi,-221 mi
EBITDA,6.506 mi,3.901 mi,4.284 mi,2.122 mi,2.200 mi,1.598 mi,1.456 mi,1.562 mi,1.124 mi,916 mi,277 mi,-314 mi,-281 mi,-399 mi,-328 mi,-266 mi,-222 mi
EBITDA *,6.246 mi,4.574 mi,4.221 mi,1.838 mi,2.006 mi,1.531 mi,1.354 mi,1.368 mi,1.175 mi,914 mi,416 mi,216 mi,-89 mi,-225 mi,-264 mi,-243 mi,-211 mi
Liquidez corrente,"1,13","1,47","1,28","1,11","2,22","2,75","2,09","2,19","1,63","0,72","0,64","0,26","0,25","0,36","1,05","1,38","1,84"
Liquidez seca,"1,03","1,33","1,13","0,98","1,86","2,58","2,01","1,96","1,48","0,62","0,55","0,23","0,22","0,30","0,99","1,37","1,83"
Liquidez imediata,"0,26","0,55","0,49","0,26","0,69","1,30","1,12","1,18","0,67","0,28","0,17","0,04","0,09","0,25","0,88","0,45","1,62"
Dívida bruta,19.605 mi,17.386 mi,19.700 mi,18.462 mi,7.747 mi,7.042 mi,5.556 mi,5.163 mi,4.355 mi,4.943 mi,4.091 mi,5.163 mi,6.215 mi,4.929 mi,5.837 mi,2.589 mi,1.549 mi
Dívida líquida,16.954 mi,13.520 mi,17.108 mi,16.439 mi,6.069 mi,5.146 mi,3.768 mi,3.804 mi,3.371 mi,4.316 mi,3.843 mi,5.006 mi,5.938 mi,4.407 mi,4.385 mi,2.110 mi,5 mi
Capital de giro,1.065 mi,2.734 mi,1.325 mi,556 mi,1.752 mi,1.864 mi,1.472 mi,1.167 mi,725 mi,-492 mi,-511 mi,-2.676 mi,-2.232 mi,-1.344 mi,76 mi,256 mi,797 mi
Endividamento geral,"165,53%","161,05%","191,65%","203,68%","102,79%","104,50%","100,91%","95,73%","102,89%","131,22%","132,80%","478,50%","276,44%","197,64%","480,53%","183,39%","156,39%"
