Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"24,24","25,09","6,42","4,05","2,78","1,82","10,45","7,73","5,21","-35,19","-3,49","-1,01","5,33","6,96","8,91","6,39","6,45","13,04"
P/VP,"0,75","0,65","0,51","0,62","0,69","0,66","0,80","0,35","0,47","0,53","0,42","0,14","0,23","0,36","0,47","0,51","0,71","0,79"
P/EBIT,"9,49","9,31","3,91","2,91","1,79","1,34","4,76","2,92","2,97","11,50","-6,16","-1,43","2,58","4,00","5,41","4,45","3,79","17,28"
P/EBIT *,"6,39","5,95","4,16","3,33","1,92","1,51","5,62","3,36","2,67","6,49","8,23","2,68","3,10","4,37","5,58","4,74","4,37","7,00"
PSR,"0,57","0,50","0,44","0,44","0,39","0,36","0,56","0,23","0,26","0,34","0,27","0,11","0,18","0,28","0,33","0,36","0,44","0,55"
P/Ativos,"0,49","0,43","0,34","0,41","0,43","0,38","0,39","0,17","0,23","0,25","0,18","0,07","0,12","0,19","0,24","0,26","0,32","0,33"
LPA,"0,83","0,70","2,30","3,78","5,76","7,80","1,19","0,61","1,16","-0,18","-1,46","-2,29","0,71","0,80","0,72","1,01","1,08","0,57"
VPA,"26,58","26,99","29,19","24,71","23,23","21,46","15,55","13,58","12,96","11,91","12,10","15,96","16,22","15,28","13,72","12,59","9,81","9,32"
EBIT por ação,"2,11","1,88","3,77","5,27","8,94","10,59","2,62","1,60","2,04","0,55","-0,82","-1,62","1,46","1,39","1,18","1,45","1,84","0,43"
EBIT por ação *,"3,13","2,95","3,54","4,60","8,34","9,43","2,22","1,40","2,27","0,98","0,62","0,86","1,22","1,27","1,15","1,36","1,59","1,05"
Ativo por ação,"40,83","41,15","43,73","37,72","37,18","37,18","31,80","27,20","25,83","25,34","27,52","35,31","31,76","29,33","26,75","25,18","21,61","22,46"
Receita líquida por ação,"34,86","35,19","33,76","34,72","41,51","39,47","22,07","19,97","23,25","18,60","18,97","21,95","21,43","20,08","19,13","17,84","15,81","13,37"
Margem bruta,"12,02%","11,41%","13,73%","16,44%","22,75%","26,57%","13,54%","10,60%","13,32%","9,76%","9,20%","9,85%","12,08%","12,88%","12,50%","14,43%","17,58%","15,96%"
Margem líquida,"2,42%","2,03%","6,86%","10,94%","13,93%","19,86%","5,45%","3,07%","5,04%","-0,92%","-7,66%","-10,55%","3,50%","4,25%","3,94%","5,92%","7,83%","3,78%"
Margem EBIT,"6,05%","5,35%","11,17%","15,17%","21,54%","26,83%","11,86%","8,03%","8,77%","2,98%","-4,35%","-7,38%","6,81%","6,91%","6,18%","8,13%","11,61%","3,19%"
Margem EBIT *,"8,98%","8,37%","10,50%","13,24%","20,10%","23,88%","10,04%","6,99%","9,74%","5,28%","3,25%","3,92%","5,67%","6,33%","5,99%","7,64%","10,07%","7,88%"
Margem EBITDA,"11,33%","10,63%","15,83%","19,59%","25,02%","30,23%","17,56%","13,26%","12,87%","8,65%","2,39%","-1,39%","12,05%","12,00%","10,99%","13,14%","17,64%","9,77%"
Margem EBITDA *,"14,26%","13,64%","15,16%","17,66%","23,58%","27,28%","15,75%","12,23%","13,84%","10,95%","9,99%","9,90%","10,90%","11,42%","10,80%","12,65%","16,10%","14,45%"
Margem operacional,"4,28%","3,61%","8,15%","13,56%","19,24%","25,88%","7,98%","4,22%","4,67%","-0,12%","-6,86%","-13,98%","3,14%","3,64%","4,11%","6,64%","9,43%","3,89%"
ROE,"3,16%","2,64%","7,91%","15,31%","24,79%","36,34%","7,68%","4,48%","8,97%","-1,42%","-11,89%","-14,38%","4,48%","5,29%","5,20%","7,91%","12,20%","4,57%"
ROA,"0,02","0,02","0,05","0,10","0,16","0,21","0,04","0,02","0,05","-0,01","-0,05","-0,07","0,02","0,03","0,03","0,04","0,06","0,02"
ROIC,"6,02%","5,32%","10,28%","16,42%","28,75%","35,63%","10,38%","7,25%","9,28%","2,51%","-3,57%","-5,40%","5,37%","5,43%","4,94%","6,82%","9,36%","2,22%"
ROIC *,"8,94%","8,32%","9,66%","14,34%","26,83%","31,71%","8,80%","6,31%","10,31%","4,46%","2,67%","2,87%","4,47%","4,97%","4,79%","6,42%","8,12%","5,49%"
Giro do ativo,"0,85","0,86","0,77","0,92","1,12","1,06","0,69","0,73","0,90","0,73","0,69","0,62","0,67","0,68","0,72","0,71","0,73","0,60"
EBIT *,6.215 mi,5.846 mi,7.036 mi,9.124 mi,16.563 mi,18.711 mi,4.400 mi,2.772 mi,4.496 mi,1.949 mi,1.224 mi,1.708 mi,2.412 mi,2.522 mi,2.275 mi,2.706 mi,3.162 mi,2.090 mi
EBITDA,7.842 mi,7.422 mi,10.613 mi,13.499 mi,20.618 mi,23.681 mi,7.693 mi,5.258 mi,5.939 mi,3.192 mi,899 mi,-608 mi,5.126 mi,4.783 mi,4.175 mi,4.650 mi,5.537 mi,2.592 mi
EBITDA *,9.870 mi,9.530 mi,10.162 mi,12.172 mi,19.430 mi,21.369 mi,6.899 mi,4.847 mi,6.388 mi,4.042 mi,3.760 mi,4.316 mi,4.639 mi,4.552 mi,4.103 mi,4.478 mi,5.055 mi,3.835 mi
Liquidez corrente,"2,76","2,89","3,01","2,59","2,32","2,33","2,04","2,46","2,06","2,33","2,06","2,82","2,66","2,51","2,10","2,56","2,58","2,94"
Liquidez seca,"1,29","1,40","1,49","1,24","1,00","1,12","1,24","1,42","0,98","1,46","1,33","1,70","1,52","1,34","0,94","1,37","1,22","1,75"
Liquidez imediata,"0,51","0,60","0,72","0,27","0,18","0,30","0,40","0,36","0,34","0,33","0,59","0,72","0,39","0,29","0,18","0,22","0,21","0,43"
Dívida bruta,13.834 mi,14.182 mi,13.636 mi,10.893 mi,12.607 mi,14.039 mi,17.515 mi,16.049 mi,14.906 mi,16.509 mi,20.583 mi,26.460 mi,19.521 mi,16.706 mi,14.668 mi,13.683 mi,14.669 mi,14.520 mi
Dívida líquida,8.244 mi,7.807 mi,5.359 mi,5.549 mi,7.172 mi,7.252 mi,9.857 mi,9.755 mi,11.557 mi,13.132 mi,14.495 mi,19.542 mi,13.672 mi,12.484 mi,12.171 mi,9.105 mi,12.493 mi,9.751 mi
Capital de giro,18.213 mi,18.717 mi,21.818 mi,17.913 mi,17.794 mi,18.603 mi,11.927 mi,10.811 mi,8.998 mi,10.267 mi,9.175 mi,14.314 mi,12.909 mi,10.940 mi,8.587 mi,10.542 mi,7.924 mi,9.346 mi
Endividamento geral,"53,00%","51,84%","49,23%","52,09%","59,40%","72,40%","103,06%","98,74%","97,70%","110,52%","125,07%","119,25%","89,58%","81,80%","84,36%","88,47%","112,89%","102,61%"
