Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,"5,60","6,75","3,90","8,04","2,68","4,88","12,32","14,34","22,89",-,-,-,-,-,-,-
P/VP,"0,60","0,66","0,37","0,41","0,29","0,54","0,56","0,44","0,46",-,-,-,-,-,-,-
P/EBIT,"3,42","4,02","2,74","5,92","2,08","4,35","6,87","7,18","11,93",-,-,-,-,-,-,-
P/EBIT *,"11,95","13,33","8,46","9,56","6,34","16,17","16,00","12,95","11,83",-,-,-,-,-,-,-
PSR,"8,69","9,62","6,09","7,02","4,76","12,05","12,18","10,10","9,50",-,-,-,-,-,-,-
P/Ativos,"0,33","0,36","0,20","0,25","0,17","0,35","0,41","0,32","0,31",-,-,-,-,-,-,-
LPA,"4,58","4,04","3,91","2,19","4,39","4,20","1,59","1,03","0,49",-,-,-,-,-,-,-
VPA,"42,59","41,05","40,82","42,45","40,80","37,69","34,83","33,45","24,44",-,-,-,-,-,-,-
EBIT por ação,"7,51","6,78","5,55","2,97","5,67","4,71","2,85","2,05","0,95",-,-,-,-,-,-,-
EBIT por ação *,"2,15","2,04","1,80","1,84","1,86","1,27","1,23","1,14","0,96",-,-,-,-,-,-,-
Ativo por ação,"78,20","76,14","77,10","71,19","70,01","58,73","47,94","45,40","36,68",-,-,-,-,-,-,-
Receita líquida por ação,"2,95","2,83","2,50","2,51","2,47","1,70","1,61","1,46","1,19",-,-,-,-,-,-,-
Margem bruta,"96,86%","97,18%","97,57%","98,23%","98,60%","98,55%","98,80%","98,31%","100,00%","100,00%","100,00%","100,00%","100,00%","56,49%","75,99%","79,04%"
Margem líquida,"158,43%","146,12%","156,72%","88,56%","184,46%","256,57%","100,73%","72,90%","44,92%","37,60%","36,84%","18,50%","400,55%","34,64%","31,05%","91,57%"
Margem EBIT,"254,38%","239,38%","222,05%","118,60%","229,35%","276,97%","177,16%","140,72%","79,60%","72,28%","56,27%","47,73%","420,32%","44,06%","35,82%","-7,35%"
Margem EBIT *,"72,69%","72,16%","71,94%","73,39%","75,13%","74,53%","76,13%","78,01%","80,26%","78,98%","78,81%","78,80%","70,14%","36,13%","35,36%","-5,92%"
Margem EBITDA,"256,77%","242,02%","224,63%","120,41%","230,11%","277,53%","177,68%","141,30%","79,83%","72,52%","56,51%","47,99%","420,37%","59,03%","59,86%","13,61%"
Margem EBITDA *,"75,09%","74,80%","74,52%","75,19%","75,89%","75,09%","76,64%","78,58%","80,49%","79,22%","79,06%","79,06%","70,19%","51,10%","59,39%","15,03%"
Margem operacional,"183,60%","171,13%","180,59%","83,80%","182,97%","281,39%","166,52%","110,93%","42,58%","24,26%","2,99%","0,92%","377,48%","38,63%","35,36%","122,87%"
ROE,"10,91%","10,01%","9,55%","5,22%","10,94%","11,47%","4,63%","3,16%","2,18%","1,85%","2,01%","1,15%","18,72%","4,18%","1,97%","1,55%"
ROA,"0,06","0,05","0,05","0,03","0,07","0,07","0,03","0,02","0,01","0,01","0,01","0,01","0,10","0,02","0,01","0,01"
ROIC,"9,77%","9,00%","7,53%","4,50%","8,58%","8,43%","6,70%","5,19%","2,73%","2,35%","1,92%","1,74%","11,23%","2,69%","0,95%","-0,09%"
ROIC *,"2,79%","2,71%","2,44%","2,79%","2,81%","2,27%","2,88%","2,88%","2,75%","2,56%","2,69%","2,87%","1,87%","2,20%","0,93%","-0,07%"
Giro do ativo,"0,04","0,04","0,03","0,04","0,04","0,03","0,03","0,03","0,03","0,03","0,03","0,04","0,03","0,05","0,03","0,01"
EBIT *,188 mi,179 mi,158 mi,161 mi,163 mi,111 mi,107 mi,99 mi,84 mi,78 mi,76 mi,73 mi,47 mi,32 mi,9 mi,-1 mi
EBITDA,666 mi,602 mi,493 mi,265 mi,499 mi,414 mi,251 mi,180 mi,83 mi,72 mi,54 mi,44 mi,285 mi,52 mi,16 mi,0 mi
EBITDA *,194 mi,186 mi,163 mi,165 mi,164 mi,112 mi,108 mi,100 mi,84 mi,78 mi,76 mi,73 mi,47 mi,45 mi,16 mi,1 mi
Liquidez corrente,"0,82","1,03","1,45","1,77","1,35","1,52","2,37","6,69","1,29","0,89","0,51","0,27","0,48","0,50","0,20","1,00"
Liquidez seca,"0,82","1,03","1,22","1,77","1,35","1,52","2,37","6,69","1,29","0,89","0,51","0,27","0,48","0,50","0,20","0,98"
Liquidez imediata,"0,01","0,01","0,27","0,75","0,62","0,41","1,37","3,89","1,00","0,01","0,11","0,08","0,34","0,42","0,14","0,96"
Dívida bruta,2.218 mi,2.238 mi,2.066 mi,1.897 mi,1.774 mi,1.267 mi,800 mi,889 mi,940 mi,930 mi,989 mi,964 mi,1.034 mi,766 mi,508 mi,245 mi
Dívida líquida,2.167 mi,2.219 mi,1.839 mi,1.501 mi,1.476 mi,1.060 mi,346 mi,382 mi,789 mi,927 mi,948 mi,950 mi,957 mi,615 mi,484 mi,45 mi
Capital de giro,-167 mi,28 mi,380 mi,404 mi,168 mi,263 mi,452 mi,741 mi,43 mi,-30 mi,-175 mi,-123 mi,-120 mi,-179 mi,-135 mi,0 mi
Endividamento geral,"82,35%","84,15%","87,89%","67,58%","67,87%","54,45%","36,76%","35,02%","49,23%","52,17%","62,44%","72,17%","80,59%","119,77%","149,06%","86,81%"
