Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"-0,48","-10,66","44,92","199,49","-255,58",-,-
P/VP,"1,94","2,19","4,37","4,36","6,47",-,-
P/EBIT,"-0,88","-57,44","13,25","19,61","67,64",-,-
P/EBIT *,"4,11","10,38","13,28","19,58","66,32",-,-
PSR,"0,30","1,11","1,83","2,26","4,44",-,-
P/Ativos,"0,25","0,62","1,09","1,12","1,99",-,-
LPA,"-3,19","-0,57","0,20","0,04","-0,04",-,-
VPA,"0,79","2,77","2,03","1,87","1,63",-,-
EBIT por ação,"-1,75","-0,11","0,67","0,41","0,16",-,-
EBIT por ação *,"0,37","0,58","0,67","0,42","0,16",-,-
Ativo por ação,"6,28","9,87","8,09","7,24","5,31",-,-
Receita líquida por ação,"5,06","5,49","4,84","3,60","2,38",-,-
Margem bruta,"31,12%","33,09%","35,14%","35,52%","32,15%","31,23%","27,26%"
Margem líquida,"-63,96%","-11,52%","5,69%","2,78%","-0,83%","-5,96%","1,13%"
Margem EBIT,"-34,68%","-1,93%","13,81%","11,51%","6,56%","0,96%","7,21%"
Margem EBIT *,"7,40%","10,66%","13,78%","11,53%","6,69%","1,58%","7,09%"
Margem EBITDA,"-29,50%","3,31%","18,50%","15,79%","11,26%","6,21%","11,00%"
Margem EBITDA *,"12,59%","15,90%","18,47%","15,81%","11,39%","6,82%","10,89%"
Margem operacional,"-55,10%","-10,55%","5,51%","2,97%","2,31%","-2,62%","4,76%"
ROE,"-345,55%","-21,21%","11,67%","4,32%","-0,97%","-17,81%","2,91%"
ROA,"-0,51","-0,06","0,03","0,01","-0,00","-0,04","0,01"
ROIC,"-36,04%","-1,45%","9,94%","7,21%","4,94%","0,87%","8,73%"
ROIC *,"7,69%","8,00%","9,92%","7,23%","5,03%","1,42%","8,59%"
Giro do ativo,"0,80","0,56","0,60","0,50","0,45","0,60","0,80"
EBIT *,424 mi,663 mi,756 mi,471 mi,180 mi,32 mi,119 mi
EBITDA,-1.694 mi,206 mi,1.015 mi,645 mi,304 mi,126 mi,185 mi
EBITDA *,722 mi,990 mi,1.013 mi,646 mi,307 mi,138 mi,183 mi
Liquidez corrente,"0,56","1,90","1,71","1,50","2,41","1,40","1,07"
Liquidez seca,"0,52","1,81","1,60","1,41","2,35","1,36","1,05"
Liquidez imediata,"0,10","0,22","0,30","0,14","0,45","0,73","0,49"
Dívida bruta,3.798 mi,5.478 mi,4.555 mi,3.474 mi,2.427 mi,1.632 mi,835 mi
Dívida líquida,3.288 mi,3.590 mi,3.794 mi,2.381 mi,413 mi,845 mi,388 mi
Capital de giro,-2.306 mi,2.207 mi,1.288 mi,943 mi,1.680 mi,406 mi,67 mi
Endividamento geral,"571,17%","231,19%","242,66%","212,25%","161,72%","398,18%","221,51%"
