Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"38,33","6,73","-11,73","37,38","90,48","-21.231,04","-67,67",-,-
P/VP,"0,78","0,81","1,01","2,76","3,16","4,68","16,29",-,-
P/EBIT,"3,56","4,29","4,27","11,97","49,93","46,29","-101,78",-,-
P/EBIT *,"3,17","3,80","6,34","11,53","24,70","77,26","455,85",-,-
PSR,"0,75","0,82","1,22","2,70","7,86","26,40","85,88",-,-
P/Ativos,"0,21","0,22","0,24","0,75","1,70","3,52","8,32",-,-
LPA,"0,50","3,04","-1,96","0,87","0,32","-0,00","-0,56",-,-
VPA,"24,56","25,34","22,65","11,82","9,22","8,84","2,32",-,-
EBIT por ação,"5,39","4,77","5,38","2,72","0,58","0,89","-0,37",-,-
EBIT por ação *,"6,05","5,38","3,62","2,83","1,18","0,54","0,08",-,-
Ativo por ação,"91,72","91,93","95,71","43,31","17,16","11,74","4,54",-,-
Receita líquida por ação,"25,58","25,02","18,78","12,10","3,71","1,57","0,44",-,-
Margem bruta,"27,81%","26,69%","26,68%","31,28%","51,49%","56,10%","47,99%","50,52%","65,45%"
Margem líquida,"1,96%","12,14%","-10,42%","7,57%","7,41%","2,20%","-135,39%","-98,66%","-34,93%"
Margem EBIT,"21,05%","19,07%","28,62%","22,52%","15,74%","57,03%","-84,38%","-47,16%","75,48%"
Margem EBIT *,"23,64%","21,52%","19,29%","23,38%","31,81%","34,17%","18,84%","-84,90%","-28,12%"
Margem EBITDA,"39,14%","40,02%","42,90%","33,56%","31,95%","73,15%","-64,98%","-24,84%","106,29%"
Margem EBITDA *,"41,73%","42,48%","33,57%","34,41%","48,02%","50,30%","38,24%","-62,58%","2,68%"
Margem operacional,"-3,59%","12,50%","-15,24%","10,51%","-12,43%","-6,13%","-147,67%","-86,82%","-24,59%"
ROE,"2,04%","11,99%","-8,64%","7,64%","2,94%","0,38%","-25,67%","-13,50%","-4,60%"
ROA,"0,01","0,03","-0,02","0,02","0,02","0,00","-0,13","-0,08","-0,03"
ROIC,"6,98%","6,22%","6,86%","7,49%","3,93%","14,35%","-12,48%","-4,60%","7,51%"
ROIC *,"7,84%","7,02%","4,62%","7,78%","7,95%","8,60%","2,79%","-8,28%","-2,80%"
Giro do ativo,"0,28","0,27","0,20","0,28","0,22","0,13","0,10","0,08","0,08"
EBIT *,2.808 mi,2.501 mi,1.682 mi,1.314 mi,547 mi,248 mi,38 mi,-28 mi,-10 mi
EBITDA,4.651 mi,4.651 mi,3.743 mi,1.885 mi,550 mi,532 mi,-133 mi,-9 mi,35 mi
EBITDA *,4.958 mi,4.936 mi,2.929 mi,1.934 mi,827 mi,366 mi,78 mi,-21 mi,0 mi
Liquidez corrente,"1,12","1,42","1,69","1,19","1,76","4,79","6,74","2,71","3,14"
Liquidez seca,"1,01","1,29","1,52","0,94","1,55","4,76","6,70","2,71","3,14"
Liquidez imediata,"0,16","0,15","0,58","0,53","0,90","0,21","2,51","1,78","2,52"
Dívida bruta,15.847 mi,16.448 mi,18.944 mi,9.262 mi,1.052 mi,48 mi,632 mi,0 mi,0 mi
Dívida líquida,10.627 mi,10.844 mi,13.293 mi,7.353 mi,220 mi,-2.460 mi,-73 mi,-64 mi,-83 mi
Capital de giro,896 mi,2.439 mi,3.767 mi,628 mi,679 mi,2.146 mi,657 mi,61 mi,70 mi
Endividamento geral,"273,44%","262,73%","322,51%","261,54%","83,61%","30,61%","95,81%","67,42%","66,37%"
