Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016
Receita líquida,"421,20 M","473,75 M","359,13 M","361,89 M","368,85 M","419,69 M","259,20 M","205,26 M","216,43 M","282,26 M","268,96 M","253,93 M","241,26 M","245,82 M","254,44 M","183,94 M","129,29 M","119,59 M","123,58 M","111,52 M","78,44 M","68,08 M","54,83 M","48,19 M","71,12 M","87,89 M","85,39 M","92,46 M","82,88 M","86,93 M","79,88 M","84,33 M","76,10 M","68,79 M","61,40 M","54,03 M","52,29 M","60,54 M","55,02 M","48,26 M","40,29 M"
Custos,"-357,18 M","-383,11 M","-285,06 M","-290,09 M","-295,00 M","-317,45 M","-197,44 M","-166,27 M","-172,92 M","-222,64 M","-217,44 M","-199,08 M","-191,67 M","-190,24 M","-176,37 M","-144,54 M","-103,77 M","-103,18 M","-102,42 M","-90,05 M","-67,03 M","-55,54 M","-45,38 M","-52,44 M","-61,71 M","-72,82 M","-74,65 M","-79,77 M","-72,35 M","-68,43 M","-70,95 M","-77,32 M","-65,52 M","-61,81 M","-57,24 M","-44,54 M","-39,49 M","-48,16 M","-40,67 M","-37,81 M","-30,32 M"
Lucro bruto,"64,02 M","90,64 M","74,07 M","71,80 M","73,84 M","102,24 M","61,76 M","38,99 M","43,52 M","59,62 M","51,51 M","54,85 M","49,59 M","55,58 M","78,07 M","39,41 M","25,52 M","16,41 M","21,16 M","21,47 M","11,41 M","12,54 M","9,45 M","-4,25 M","9,41 M","15,07 M","10,74 M","12,69 M","10,53 M","18,50 M","8,94 M","7,01 M","10,57 M","6,97 M","4,16 M","9,48 M","12,81 M","12,38 M","14,35 M","10,45 M","9,97 M"
Despesas operacionais,"8,41 M","-62,10 M","-50,13 M","-50,27 M","-52,20 M","-56,39 M","-38,33 M","-32,40 M","-29,53 M","-41,17 M","-30,90 M","-30,56 M","-25,54 M","-31,60 M","-27,58 M","-19,97 M","-14,97 M","-12,23 M","-14,05 M","-12,68 M","-11,01 M","-9,88 M","-12,46 M","-10,80 M","1,36 M","-9,57 M","-11,48 M","-10,61 M","-9,60 M","-12,77 M","-5,73 M","-3,69 M","-7,74 M","-13,57 M","-8,14 M","-10,39 M","-8,84 M","-12,21 M","-8,51 M","-6,27 M","-8,56 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"8,41 M","-62,10 M","-50,13 M","-50,27 M","-52,20 M","-56,39 M","-38,33 M","-32,40 M","-29,53 M","-41,17 M","-30,90 M","-30,56 M","-25,54 M","-31,60 M","-27,58 M","-19,97 M","-14,97 M","-12,23 M","-14,05 M","-12,68 M","-11,01 M","-2,12 M","-12,46 M","-10,80 M","-6,62 M","-10,50 M","-11,22 M","-10,90 M","-9,44 M","-12,06 M","-5,84 M","-4,12 M","-8,35 M","-13,29 M","-8,35 M","-10,45 M","-9,01 M","-12,19 M","-8,51 M","-6,26 M","-8,55 M"
EBIT,"72,44 M","28,54 M","23,94 M","21,54 M","21,64 M","45,85 M","23,42 M","6,59 M","13,99 M","18,44 M","20,62 M","24,29 M","24,05 M","23,98 M","50,49 M","19,43 M","10,55 M","4,18 M","7,12 M","8,79 M","404,00 Mil","2,65 M","-3,01 M","-15,05 M","10,78 M","5,50 M","-738,00 Mil","2,08 M","927,00 Mil","5,73 M","3,21 M","3,32 M","2,83 M","-6,60 M","-3,98 M","-908,00 Mil","3,97 M","161,00 Mil","5,83 M","4,18 M","1,41 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-17,16 M","-30,81 M","-20,58 M","-20,80 M","-15,80 M","-14,82 M","-15,54 M","-10,31 M","-11,29 M","-15,80 M","-12,42 M","-9,26 M","-7,51 M","-8,59 M","-6,47 M","-3,80 M","-1,42 M","-1,54 M","-1,36 M","-556,00 Mil","-861,00 Mil","-1,81 M","-1,24 M","-884,00 Mil","-2,57 M","-3,47 M","-3,65 M","-3,96 M","-2,50 M","-1,89 M","-2,07 M","-2,74 M","-2,43 M","-1,36 M","-2,51 M","-1,40 M","-868,00 Mil","-39,00 Mil","-748,00 Mil","-1,07 M","-1,33 M"
Antes dos impostos,"55,28 M","-2,27 M","3,36 M","742,00 Mil","5,85 M","31,03 M","7,88 M","-3,73 M","2,70 M","2,64 M","8,19 M","15,03 M","16,55 M","15,39 M","44,03 M","15,63 M","9,13 M","2,64 M","5,76 M","8,24 M","-457,00 Mil","837,00 Mil","-4,25 M","-15,93 M","8,20 M","2,03 M","-4,39 M","-1,89 M","-1,58 M","3,84 M","1,14 M","581,00 Mil","405,00 Mil","-7,97 M","-6,49 M","-2,31 M","3,10 M","122,00 Mil","5,09 M","3,11 M","83,00 Mil"
