Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,4T2015
Ativo total,"1,88 B","1,89 B","1,56 B","1,43 B","1,41 B","1,23 B","1,19 B","915,00 M","872,20 M","837,00 M","724,06 M","726,26 M","762,75 M","619,94 M","598,26 M","475,06 M","410,44 M","374,38 M","358,45 M","351,90 M","337,38 M","336,63 M","328,50 M","345,66 M","366,64 M","239,54 M","239,90 M","242,32 M","224,86 M","207,99 M","198,71 M","200,02 M","192,75 M","182,41 M","173,05 M","140,69 M","117,04 M","121,56 M",0
Ativo circulante,"835,60 M","846,97 M","932,16 M","806,84 M","795,23 M","609,76 M","617,97 M","463,50 M","461,96 M","445,23 M","367,81 M","393,92 M","453,84 M","353,89 M","353,86 M","258,36 M","212,81 M","212,10 M","202,17 M","203,18 M","188,44 M","204,85 M","222,45 M","246,84 M","262,31 M","127,86 M","119,05 M","124,94 M","109,49 M","105,32 M","99,75 M","98,33 M","99,20 M","90,69 M","82,88 M","89,06 M","65,75 M","73,03 M",0
Caixa e eq. de caixa,"301,11 M","343,25 M","478,91 M","356,52 M","349,28 M","232,54 M","182,14 M","179,77 M","174,88 M","125,89 M","82,15 M","67,83 M","180,38 M","105,04 M","91,54 M","44,66 M","53,72 M","66,04 M","50,63 M","50,13 M","43,37 M","52,03 M","47,45 M","27,65 M","7,73 M","34,16 M","13,30 M","12,26 M","4,64 M","3,40 M","5,10 M","4,75 M","2,37 M","644,00 Mil","3,35 M","28,49 M","9,85 M","12,06 M",0
Aplicações financeiras,"11,26 M","11,33 M","11,19 M","11,37 M","11,18 M","11,20 M","10,98 M","11,77 M","10,96 M","11,01 M","10,86 M","11,04 M","10,86 M","10,85 M","12,48 M","12,79 M","12,68 M","10,61 M","20,48 M","20,42 M","35,20 M","58,39 M","88,00 M","121,46 M","139,72 M","10,37 M","13,37 M","14,65 M","463,00 Mil","28,00 Mil","6,00 Mil","542,00 Mil","41,00 Mil","1,86 M","1,49 M","7,58 M",0,0,0
Contas a receber,"439,80 M","429,40 M","387,82 M","375,67 M","380,24 M","319,53 M","356,21 M","223,53 M","239,25 M","276,73 M","232,72 M","271,80 M","226,92 M","205,27 M","205,14 M","159,08 M","122,12 M","108,81 M","105,85 M","103,30 M","79,14 M","63,08 M","54,73 M","51,62 M","69,49 M","52,61 M","60,12 M","65,51 M","71,53 M","69,81 M","66,56 M","70,42 M","76,97 M","67,19 M","58,98 M","44,69 M","49,52 M","56,13 M",0
Estoques,"9,58 M","8,91 M","5,88 M","5,96 M","6,78 M","5,78 M","5,73 M","5,69 M","4,43 M","4,61 M","5,99 M","4,80 M","4,73 M","5,36 M","5,66 M","4,31 M","3,53 M","3,63 M","3,48 M","2,95 M","2,62 M","1,28 M","1,17 M","639,00 Mil","924,00 Mil","692,00 Mil","1,44 M","684,00 Mil","1,34 M","1,05 M","1,53 M","1,47 M","67,00 Mil","1,66 M","313,00 Mil","17,00 Mil","27,00 Mil","15,00 Mil",0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,04 B","1,04 B","623,53 M","622,50 M","618,15 M","619,40 M","574,97 M","451,50 M","410,24 M","391,78 M","356,25 M","332,35 M","308,91 M","266,05 M","244,40 M","216,70 M","197,63 M","162,27 M","156,29 M","148,72 M","148,94 M","131,78 M","106,05 M","98,82 M","104,33 M","111,68 M","120,86 M","117,37 M","115,38 M","102,67 M","98,95 M","101,69 M","93,55 M","91,72 M","90,17 M","51,63 M","51,29 M","48,54 M",0
Investimentos,"224,00 Mil","224,00 Mil","224,00 Mil","57,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,95 M","1,73 M","1,56 M","1,82 M","1,53 M","1,70 M","2,41 M","2,29 M","1,85 M","1,25 M","2,34 M","2,06 M","2,04 M","64,00 Mil",0
Imobilizado,"582,39 M","572,09 M","296,69 M","296,70 M","295,89 M","301,84 M","294,75 M","272,06 M","263,55 M","255,29 M","230,89 M","211,08 M","192,04 M","174,19 M","151,75 M","132,81 M","117,62 M","99,59 M","97,14 M","91,68 M","91,93 M","75,48 M","71,12 M","70,59 M","74,24 M","77,02 M","80,43 M","80,36 M","78,72 M","67,96 M","66,73 M","68,05 M","67,66 M","66,17 M","67,80 M","39,76 M","41,47 M","41,27 M",0
