Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,"25,16","-93,86","93,59","50,45","21,66","25,73","-201,20","-70,72",-,-,-,-
P/VP,"2,01","2,30","2,79","3,08","2,03","1,63","1,90","5,81",-,-,-,-
P/EBIT,"7,41","11,59","10,57","7,91","4,20","18,20","-92,78","55,68",-,-,-,-
P/EBIT *,"7,41","11,59","10,57","7,91","4,20","18,20","-88,63","62,05",-,-,-,-
PSR,"0,67","0,71","0,86","0,66","0,54","0,86","1,77","1,24",-,-,-,-
P/Ativos,"0,58","0,59","0,77","0,83","0,71","1,00","1,28","1,80",-,-,-,-
LPA,"0,76","-0,21","0,18","0,24","0,36","0,26","-0,04","-0,11",-,-,-,-
VPA,"9,52","8,49","5,99","3,95","3,79","4,03","3,97","1,31",-,-,-,-
EBIT por ação,"2,58","1,68","1,58","1,54","1,84","0,36","-0,08","0,14",-,-,-,-
EBIT por ação *,"2,58","1,68","1,58","1,54","1,84","0,36","-0,09","0,12",-,-,-,-
Ativo por ação,"33,04","33,26","21,62","14,72","10,91","6,59","5,92","4,21",-,-,-,-
Receita líquida por ação,"28,43","27,51","19,36","18,41","14,31","7,62","4,26","6,13",-,-,-,-
Margem bruta,"18,60%","19,85%","22,40%","20,60%","24,41%","16,27%","11,21%","14,06%","13,76%","14,12%","23,10%","27,10%"
Margem líquida,"3,53%","0,54%","2,53%","2,40%","7,98%","3,35%","-1,28%","-3,10%","1,57%","-3,12%","3,07%","4,38%"
Margem EBIT,"9,06%","6,12%","8,16%","8,35%","12,84%","4,73%","-1,91%","2,23%","4,61%","-3,18%","5,68%","8,37%"
Margem EBIT *,"9,06%","6,12%","8,16%","8,35%","12,84%","4,73%","-2,00%","2,00%","4,48%","-3,26%","5,70%","8,37%"
Margem EBITDA,"15,71%","11,81%","12,59%","12,09%","16,07%","9,56%","7,02%","7,88%","9,10%","1,98%","10,57%","14,13%"
Margem EBITDA *,"15,71%","11,81%","12,59%","12,09%","16,07%","9,56%","6,93%","7,65%","8,96%","1,90%","10,59%","14,14%"
Margem operacional,"3,53%","0,49%","3,44%","4,05%","10,35%","3,74%","-4,60%","-1,67%","1,82%","-5,78%","4,12%","5,74%"
ROE,"9,18%","1,49%","7,84%","10,51%","29,28%","6,33%","-1,37%","-14,47%","7,77%","-13,49%","11,24%","14,28%"
ROA,"0,03","0,00","0,02","0,03","0,10","0,04","-0,01","-0,05","0,02","-0,04","0,05","0,06"
ROIC,"9,65%","6,49%","9,55%","13,21%","22,19%","7,31%","-2,16%","4,19%","7,89%","-4,43%","11,10%","14,95%"
ROIC *,"9,65%","6,49%","9,55%","13,21%","22,19%","7,31%","-2,26%","3,76%","7,66%","-4,54%","11,14%","14,97%"
Giro do ativo,"0,86","0,83","0,90","1,25","1,31","1,16","0,72","1,46","1,57","1,30","1,68","1,36"
EBIT *,146 mi,95 mi,89 mi,87 mi,104 mi,20 mi,-5 mi,6 mi,14 mi,-8 mi,11 mi,14 mi
EBITDA,253 mi,184 mi,138 mi,126 mi,130 mi,41 mi,17 mi,27 mi,29 mi,4 mi,21 mi,0 mi
EBITDA *,253 mi,184 mi,138 mi,126 mi,130 mi,41 mi,16 mi,26 mi,29 mi,4 mi,21 mi,24 mi
Liquidez corrente,"1,47","1,48","1,12","1,61","1,37","1,99","3,08","1,34","0,92","1,01","1,16","1,31"
Liquidez seca,"1,45","1,46","1,10","1,59","1,34","1,96","3,06","1,34","0,91","0,99","1,16","1,30"
Liquidez imediata,"0,53","0,60","0,43","0,45","0,41","0,62","0,78","0,36","0,03","0,01","0,19","0,46"
Dívida bruta,836 mi,841 mi,488 mi,373 mi,157 mi,67 mi,64 mi,86 mi,67 mi,65 mi,16 mi,0 mi
Dívida líquida,524 mi,486 mi,244 mi,237 mi,41 mi,-10 mi,-47 mi,41 mi,64 mi,62 mi,4 mi,0 mi
Capital de giro,265 mi,273 mi,62 mi,168 mi,94 mi,105 mi,138 mi,32 mi,-10 mi,1 mi,9 mi,15 mi
Endividamento geral,"202,05%","236,21%","246,58%","250,65%","179,55%","63,43%","49,22%","221,06%","214,52%","233,02%","117,90%","139,58%"
