Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"56,02","56,26","-17,26","-2,91","5,29","15,95",-,-
P/VP,"1,48","1,59","0,82","0,59","0,90","2,63",-,-
P/EBIT,"15,81","11,77","4,73","-2,98","4,05","8,75",-,-
P/EBIT *,"35,76","29,74","8,02","-7,33","3,84","9,53",-,-
PSR,"0,78","0,77","0,38","0,36","0,52","1,41",-,-
P/Ativos,"0,49","0,49","0,23","0,19","0,37","0,99",-,-
LPA,"0,19","0,19","-0,28","-1,39","1,33","1,14",-,-
VPA,"7,11","6,59","5,81","6,85","7,83","6,91",-,-
EBIT por ação,"0,67","0,89","1,01","-1,36","1,74","2,08",-,-
EBIT por ação *,"0,29","0,35","0,60","-0,55","1,84","1,91",-,-
Ativo por ação,"21,68","21,45","21,25","20,83","18,85","18,38",-,-
Receita líquida por ação,"13,45","13,50","12,55","11,29","13,55","12,94",-,-
Margem bruta,"8,35%","8,44%","10,52%","1,03%","18,69%","19,28%","10,72%","12,49%"
Margem líquida,"2,70%","2,62%","-0,89%","-11,02%","10,85%","9,95%","-16,26%","-0,66%"
Margem EBIT,"4,96%","6,59%","8,07%","-12,06%","12,83%","16,07%","7,96%","4,64%"
Margem EBIT *,"2,19%","2,61%","4,76%","-4,91%","13,54%","14,76%","4,79%","7,74%"
Margem EBITDA,"17,75%","15,21%","15,94%","-4,30%","18,95%","21,96%","15,94%","13,43%"
Margem EBITDA *,"14,98%","11,23%","12,63%","2,85%","19,65%","20,65%","12,76%","16,53%"
Margem operacional,"4,00%","4,02%","-4,39%","-13,34%","12,81%","10,18%","-1,14%","-0,06%"
ROE,"4,87%","5,09%","-1,82%","-17,21%","17,98%","17,76%","-23,52%","-0,67%"
ROA,"0,02","0,02","-0,01","-0,06","0,08","0,07","-0,08","-0,00"
ROIC,"3,74%","5,01%","5,90%","-8,15%","11,24%","14,22%","4,52%","2,79%"
ROIC *,"1,65%","1,98%","3,48%","-3,32%","11,86%","13,06%","2,72%","4,65%"
Giro do ativo,"0,62","0,63","0,59","0,54","0,72","0,70","0,48","0,54"
EBIT *,191 mi,228 mi,388 mi,-361 mi,1.194 mi,1.243 mi,259 mi,407 mi
EBITDA,1.554 mi,1.337 mi,1.303 mi,-316 mi,1.671 mi,1.849 mi,862 mi,706 mi
EBITDA *,1.312 mi,987 mi,1.032 mi,209 mi,1.734 mi,1.739 mi,690 mi,870 mi
Liquidez corrente,"2,11","1,84","1,94","2,36","1,95","2,06","1,71","2,16"
Liquidez seca,"1,24","1,00","1,02","1,42","1,09","1,33","1,17","1,41"
Liquidez imediata,"0,63","0,52","0,49","0,66","0,39","0,67","0,32","0,15"
Dívida bruta,4.620 mi,4.494 mi,4.813 mi,4.392 mi,3.000 mi,3.150 mi,2.962 mi,2.196 mi
Dívida líquida,3.132 mi,3.169 mi,3.286 mi,2.663 mi,1.811 mi,1.364 mi,1.713 mi,1.547 mi
Capital de giro,2.509 mi,2.038 mi,2.215 mi,2.806 mi,2.082 mi,2.295 mi,1.414 mi,1.435 mi
Endividamento geral,"190,16%","209,36%","244,83%","188,30%","130,58%","153,72%","199,75%","91,41%"
