Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
P/L,"13,38","7,31","7,62","6,15","6,08","6,37","11,55","5,12","8,45",-,-
P/VP,"0,66","0,46","0,89","0,72","1,01","1,09","1,23","0,86","1,16",-,-
P/EBIT,"3,15","2,47","4,21","3,17","4,56","4,74","9,28","4,86","5,30",-,-
P/EBIT *,"3,58","2,70","4,62","4,60","5,51","4,92","9,34","6,23","5,75",-,-
PSR,"0,18","0,13","0,24","0,21","0,32","0,39","0,51","0,39","0,45",-,-
P/Ativos,"0,18","0,14","0,26","0,24","0,37","0,48","0,58","0,42","0,56",-,-
LPA,"0,42","0,62","1,03","1,01","1,37","1,32","0,68","1,04","0,72",-,-
VPA,"8,62","9,88","8,82","8,57","8,23","7,74","6,43","6,20","5,20",-,-
EBIT por ação,"1,80","1,83","1,86","1,96","1,82","1,78","0,85","1,09","1,14",-,-
EBIT por ação *,"1,58","1,68","1,70","1,35","1,51","1,71","0,85","0,85","1,05",-,-
Ativo por ação,"30,78","31,73","30,35","26,33","22,66","17,62","13,74","12,68","10,80",-,-
Receita líquida por ação,"31,76","35,04","32,14","29,16","25,76","21,33","15,42","13,57","13,32",-,-
Margem bruta,"22,42%","19,49%","20,23%","20,77%","19,72%","22,25%","23,18%","25,73%","24,67%","24,68%","24,45%"
Margem líquida,"1,34%","1,77%","3,20%","3,47%","5,31%","6,20%","4,44%","7,63%","5,38%","4,07%","2,62%"
Margem EBIT,"5,66%","5,23%","5,80%","6,72%","7,06%","8,33%","5,53%","8,04%","8,57%","9,31%","7,97%"
Margem EBIT *,"4,99%","4,79%","5,28%","4,63%","5,85%","8,02%","5,49%","6,27%","7,90%","9,23%","8,58%"
Margem EBITDA,"8,23%","7,40%","8,13%","9,01%","8,98%","10,54%","8,19%","10,18%","10,50%","11,06%","10,00%"
Margem EBITDA *,"7,56%","6,96%","7,61%","6,93%","7,77%","10,23%","8,15%","8,41%","9,83%","10,98%","10,60%"
Margem operacional,"0,34%","1,44%","2,03%","3,87%","5,65%","7,19%","4,38%","7,71%","6,97%","6,11%","4,29%"
ROE,"4,92%","6,28%","11,68%","11,79%","16,63%","17,08%","10,65%","16,71%","13,76%","14,81%","7,77%"
ROA,"0,01","0,02","0,03","0,04","0,06","0,07","0,05","0,08","0,07","0,05","0,03"
ROIC,"8,37%","8,79%","9,48%","9,85%","12,25%","14,21%","8,01%","10,56%","14,62%","16,73%","12,09%"
ROIC *,"7,37%","8,05%","8,64%","6,79%","10,14%","13,68%","7,96%","8,23%","13,47%","16,58%","13,00%"
Giro do ativo,"1,03","1,10","1,06","1,11","1,14","1,21","1,12","1,07","1,23","1,29","1,13"
EBIT *,554 mi,586 mi,593 mi,472 mi,527 mi,598 mi,296 mi,297 mi,368 mi,456 mi,362 mi
EBITDA,915 mi,907 mi,914 mi,919 mi,809 mi,787 mi,441 mi,483 mi,489 mi,546 mi,422 mi
EBITDA *,840 mi,853 mi,855 mi,706 mi,700 mi,763 mi,439 mi,399 mi,458 mi,543 mi,448 mi
Liquidez corrente,"1,95","1,64","2,16","1,99","2,46","2,38","2,17","2,24","3,47","1,69","1,76"
Liquidez seca,"1,21","1,06","1,50","1,12","1,62","1,47","1,24","1,23","2,18","1,01","1,07"
Liquidez imediata,"0,70","0,67","0,95","0,48","0,81","0,68","0,43","0,33","0,42","0,10","0,35"
Dívida bruta,5.270 mi,5.512 mi,5.754 mi,4.176 mi,3.430 mi,2.364 mi,1.694 mi,1.428 mi,1.285 mi,1.657 mi,1.490 mi
Dívida líquida,3.248 mi,2.980 mi,2.954 mi,2.951 mi,1.799 mi,1.249 mi,1.124 mi,1.032 mi,602 mi,1.046 mi,998 mi
Capital de giro,2.678 mi,2.428 mi,3.405 mi,2.528 mi,2.864 mi,2.203 mi,1.455 mi,1.375 mi,1.631 mi,969 mi,947 mi
Endividamento geral,"257,28%","221,22%","244,03%","207,19%","175,48%","127,67%","113,81%","104,54%","107,63%","181,51%","162,32%"
