Imobilizado,"3,10 B","3,05 B","2,80 B","2,79 B","2,77 B","2,64 B","2,55 B","2,48 B","2,43 B","2,43 B","2,34 B","2,34 B","2,30 B","2,27 B","2,17 B","1,87 B","1,77 B","1,76 B","1,72 B","1,28 B","1,31 B","1,34 B","1,28 B","1,16 B","1,16 B","1,10 B","1,09 B","1,10 B","1,07 B","971,83 M","873,57 M","913,64 M","865,71 M","823,05 M","802,44 M","799,32 M","802,74 M","797,75 M","897,62 M"
Intangível,"1,16 B","1,21 B","1,13 B","1,15 B","1,16 B","1,17 B","1,15 B","1,12 B","1,10 B","1,10 B","1,11 B","1,12 B","1,14 B","1,14 B","1,14 B","1,05 B","1,04 B","984,93 M","900,92 M","688,97 M","702,03 M","717,74 M","703,46 M","708,72 M","708,32 M","665,67 M","661,13 M","660,03 M","649,28 M","655,31 M","586,70 M","596,83 M","588,41 M","566,36 M","568,04 M","563,15 M","565,99 M","562,89 M","593,75 M"
Passivo total,"10,77 B","12,32 B","11,34 B","12,14 B","11,11 B","11,89 B","12,08 B","11,66 B","10,62 B","10,62 B","10,33 B","10,53 B","9,94 B","9,21 B","8,56 B","8,51 B","8,62 B","7,93 B","8,12 B","6,69 B","7,43 B","6,17 B","6,60 B","6,57 B","7,32 B","4,81 B","5,17 B","5,39 B","5,65 B","4,44 B","4,32 B","4,39 B","4,43 B","3,78 B","3,67 B","3,78 B","3,94 B","3,83 B","3,74 B"
Passivo circulante,"2,83 B","4,00 B","4,22 B","5,06 B","3,78 B","3,49 B","3,63 B","4,00 B","2,95 B","2,95 B","3,54 B","3,47 B","3,62 B","2,56 B","2,48 B","2,49 B","2,71 B","1,96 B","2,19 B","1,60 B","2,32 B","1,60 B","1,74 B","2,49 B","3,16 B","1,24 B","1,53 B","1,64 B","1,65 B","1,11 B","920,33 M","1,04 B","1,20 B","659,79 M","669,40 M","1,04 B","1,62 B","1,41 B","1,24 B"
Fornecedores,"1,23 B","1,23 B","1,37 B","2,29 B","1,28 B","1,20 B","1,15 B","1,95 B","945,66 M","945,66 M","1,12 B","1,27 B","1,74 B","1,02 B","1,04 B","1,06 B","1,58 B","1,10 B","980,61 M","834,43 M","1,51 B","673,60 M","747,94 M","783,29 M","1,18 B","517,27 M","509,41 M","501,00 M","911,18 M","423,20 M","405,84 M","457,26 M","771,29 M","365,13 M","327,03 M","380,55 M","804,39 M","467,88 M","460,56 M"
Empréstimos e financ.,"1,14 B","2,37 B","2,48 B","2,45 B","2,16 B","1,88 B","2,09 B","1,62 B","1,72 B","1,72 B","2,08 B","1,80 B","1,52 B","1,18 B","1,10 B","1,17 B","814,27 M","623,14 M","936,18 M","543,61 M","564,09 M","703,14 M","774,21 M","1,49 B","1,77 B","586,59 M","854,97 M","948,39 M","569,52 M","514,11 M","275,90 M","362,23 M","229,77 M","159,88 M","179,31 M","471,48 M","608,40 M","780,17 M","576,91 M"
Passivo não circulante,"4,92 B","4,87 B","3,69 B","3,59 B","3,87 B","4,85 B","5,02 B","4,43 B","4,59 B","4,59 B","3,75 B","4,11 B","3,32 B","3,66 B","3,07 B","3,13 B","3,11 B","3,09 B","3,06 B","2,39 B","2,41 B","1,86 B","2,10 B","1,39 B","1,58 B","1,32 B","1,52 B","1,49 B","1,76 B","1,16 B","1,31 B","1,31 B","1,31 B","1,30 B","1,18 B","1,37 B","979,78 M","1,06 B","1,07 B"
Emprést. de longo prazo,"4,13 B","4,32 B","3,15 B","3,06 B","3,35 B","4,32 B","4,44 B","3,86 B","4,04 B","4,04 B","3,21 B","3,51 B","2,70 B","3,00 B","2,73 B","2,85 B","2,82 B","2,81 B","2,81 B","2,20 B","2,22 B","1,66 B","1,90 B","1,18 B","1,37 B","1,11 B","1,29 B","1,29 B","1,55 B","914,75 M","1,11 B","1,13 B","1,13 B","1,13 B","990,70 M","1,16 B","789,82 M","877,12 M","913,29 M"
Patrimônio líquido,"3,02 B","3,45 B","3,43 B","3,49 B","3,46 B","3,55 B","3,44 B","3,23 B","3,09 B","3,09 B","3,04 B","2,95 B","3,00 B","3,00 B","3,01 B","2,89 B","2,80 B","2,88 B","2,87 B","2,70 B","2,70 B","2,71 B","2,76 B","2,69 B","2,59 B","2,25 B","2,12 B","2,26 B","2,24 B","2,17 B","2,09 B","2,04 B","1,92 B","1,82 B","1,82 B","1,38 B","1,34 B","1,36 B","1,43 B"
Aos não controladores,"373,00 Mil","289,00 Mil","280,00 Mil","273,00 Mil","268,00 Mil","260,00 Mil","256,00 Mil","248,00 Mil","246,00 Mil","246,00 Mil","242,00 Mil","235,00 Mil","231,00 Mil","229,00 Mil","-154,00 Mil","-237,00 Mil","-111,00 Mil","201,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
