Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"-0,15","-0,16","-0,25","-6,53","-12,22","104,14","96,69",-,-
P/VP,"-0,17","-0,21","1,14","0,61","1,71","7,21","11,34",-,-
P/EBIT,"-0,27","-0,29","-0,31","2,63","8,09","34,66","53,27",-,-
P/EBIT *,"-0,32","-0,36","-0,33","2,55","9,31","36,72","64,29",-,-
PSR,"0,22","0,20","0,16","0,25","0,50","2,90","4,96",-,-
P/Ativos,"0,10","0,09","0,10","0,17","0,34","2,57","4,62",-,-
LPA,"-15,21","-14,51","-15,04","-1,72","-1,93","1,11","1,82",-,-
VPA,"-13,47","-11,21","3,33","18,32","13,81","16,09","15,54",-,-
EBIT por ação,"-8,65","-8,13","-12,19","4,26","2,92","3,35","3,31",-,-
EBIT por ação *,"-7,17","-6,62","-11,52","4,39","2,54","3,16","2,74",-,-
Ativo por ação,"24,39","25,97","38,67","64,62","70,37","45,17","38,16",-,-
Receita líquida por ação,"10,32","12,01","24,41","45,59","46,87","40,02","35,56",-,-
Margem bruta,"-6,13%","0,14%","8,50%","13,74%","9,01%","11,54%","11,13%","17,76%","25,02%"
Margem líquida,"-147,32%","-120,81%","-61,59%","-3,76%","-4,12%","2,78%","5,13%","10,64%","18,02%"
Margem EBIT,"-83,80%","-67,73%","-49,94%","9,34%","6,23%","8,36%","9,30%","16,23%","24,90%"
Margem EBIT *,"-69,50%","-55,16%","-47,17%","9,63%","5,41%","7,89%","7,71%","11,79%","19,99%"
Margem EBITDA,"-77,74%","-57,21%","-43,94%","11,64%","8,06%","9,69%","10,37%","17,77%","26,79%"
Margem EBITDA *,"-63,44%","-44,64%","-41,17%","11,93%","7,24%","9,22%","8,78%","13,33%","21,88%"
Margem operacional,"-135,35%","-110,67%","-65,05%","-4,48%","-4,84%","3,18%","5,44%","12,43%","20,53%"
ROE,"112,94%","129,43%","-451,28%","-9,36%","-13,99%","6,92%","11,73%","50,94%","89,84%"
ROA,"-0,62","-0,56","-0,39","-0,03","-0,03","0,02","0,05","0,11","0,22"
ROIC,"-37,95%","-34,91%","-37,29%","9,94%","6,10%","12,64%","13,87%","21,84%","37,57%"
ROIC *,"-31,47%","-28,44%","-35,22%","10,25%","5,30%","11,94%","11,50%","15,87%","30,15%"
Giro do ativo,"0,42","0,46","0,63","0,71","0,67","0,89","0,93","1,04","1,23"
EBIT *,-446 mi,-412 mi,-716 mi,272 mi,157 mi,196 mi,170 mi,98 mi,129 mi
EBITDA,-499 mi,-427 mi,-667 mi,329 mi,234 mi,240 mi,229 mi,148 mi,173 mi
EBITDA *,-407 mi,-334 mi,-625 mi,337 mi,210 mi,229 mi,193 mi,111 mi,141 mi
Liquidez corrente,"0,69","0,81","0,50","1,61","1,63","3,99","1,77","1,19","2,21"
Liquidez seca,"0,41","0,51","0,34","1,11","1,21","2,53","1,11","0,69","1,51"
Liquidez imediata,"0,03","0,05","0,14","0,63","0,54","2,09","0,73","0,20","0,54"
Dívida bruta,1.881 mi,1.818 mi,1.556 mi,1.695 mi,1.816 mi,1.458 mi,1.143 mi,376 mi,306 mi
Dívida líquida,1.862 mi,1.782 mi,1.260 mi,632 mi,755 mi,565 mi,458 mi,310 mi,238 mi
Capital de giro,-182 mi,-115 mi,-1.046 mi,1.028 mi,1.232 mi,1.276 mi,724 mi,64 mi,153 mi
Endividamento geral,"-281,13%","-331,73%","1.060,81%","252,69%","409,71%","180,68%","145,58%","360,44%","306,23%"
