Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020
Ativo total,"114,14 M","124,77 M","217,26 M","228,71 M","204,50 M","216,78 M","256,09 M","275,65 M","300,48 M","309,63 M","509,03 M","517,44 M","562,36 M","583,78 M","608,62 M","616,05 M","621,18 M","646,58 M","675,33 M","160,60 M","24,55 M","20,01 M"
Ativo circulante,"16,85 M","24,61 M","109,79 M","121,27 M","58,58 M","67,03 M","89,25 M","96,90 M","102,87 M","113,08 M","144,45 M","151,86 M","193,74 M","209,61 M","240,02 M","265,02 M","298,34 M","346,81 M","545,58 M","61,05 M","10,42 M","10,65 M"
Caixa e eq. de caixa,"5,77 M","12,38 M","25,42 M","23,85 M","27,11 M","33,11 M","50,84 M","60,44 M","74,26 M","83,46 M","93,89 M","105,71 M","127,85 M","147,61 M","176,61 M","201,44 M","271,54 M","318,43 M","525,88 M","46,79 M","1,59 M","6,18 M"
Aplicações financeiras,0,0,0,"122,00 Mil","1,17 M","1,14 M","1,17 M","1,14 M","1,70 M","1,67 M","12,28 M","11,97 M","38,95 M","37,95 M","36,98 M","35,98 M",0,0,0,0,0,0
Contas a receber,"3,35 M","3,99 M","5,05 M","5,66 M","3,48 M","4,27 M","6,98 M","10,83 M","11,28 M","11,85 M","10,22 M","10,60 M","10,03 M","9,34 M","11,98 M","13,07 M","14,29 M","15,03 M","13,32 M","9,64 M","4,62 M","4,20 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"97,29 M","100,16 M","107,48 M","107,45 M","145,91 M","149,75 M","166,84 M","178,75 M","197,61 M","196,56 M","364,58 M","365,58 M","368,62 M","374,17 M","368,60 M","351,03 M","322,84 M","299,77 M","129,75 M","99,55 M","14,13 M","9,36 M"
Investimentos,"27,72 M","27,98 M","51,53 M","51,67 M","51,77 M","52,01 M","59,69 M","60,08 M","76,33 M","76,62 M","125,27 M","124,59 M","125,71 M","127,24 M","130,48 M","126,43 M","118,23 M","110,59 M",0,0,0,0
Imobilizado,"1,86 M","2,11 M","3,24 M","3,80 M","7,02 M","7,87 M","8,79 M","11,09 M","11,55 M","9,81 M","11,30 M","12,73 M","14,54 M","16,53 M","18,80 M","20,62 M","22,36 M","23,34 M","21,38 M","15,30 M","9,52 M","5,62 M"
Intangível,"37,82 M","39,36 M","29,09 M","30,56 M","72,95 M","74,66 M","81,58 M","82,87 M","91,64 M","90,94 M","177,47 M","177,85 M","179,67 M","181,90 M","167,49 M","162,07 M","150,38 M","142,79 M","89,47 M","80,92 M","3,46 M","2,59 M"
Passivo total,"114,14 M","124,77 M","217,26 M","228,71 M","204,50 M","216,78 M","256,09 M","275,65 M","300,48 M","309,63 M","509,03 M","517,44 M","562,36 M","583,78 M","608,62 M","616,05 M","621,18 M","646,58 M","675,33 M","160,60 M","24,55 M","20,01 M"
Passivo circulante,"5,48 M","7,42 M","11,79 M","19,44 M","14,48 M","15,90 M","19,80 M","21,61 M","23,61 M","23,38 M","31,18 M","30,86 M","61,27 M","49,56 M","34,55 M","23,68 M","24,70 M","28,91 M","34,66 M","34,52 M","6,77 M","5,41 M"
Fornecedores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,04 M",0,"17,82 M","23,03 M","858,00 Mil",0
Empréstimos e financ.,"974,00 Mil","941,00 Mil","7,00 Mil","27,00 Mil","781,00 Mil","775,00 Mil","837,00 Mil","539,00 Mil","694,00 Mil","547,00 Mil","1,15 M","2,18 M","2,96 M","3,49 M","4,06 M","3,98 M","3,89 M","3,66 M","3,33 M","2,75 M","1,82 M","1,01 M"
Passivo não circulante,"5,64 M","3,89 M","2,19 M","2,19 M","3,83 M","4,02 M","4,92 M","6,08 M","4,57 M","2,47 M","277,00 Mil","231,00 Mil","468,00 Mil","731,00 Mil","1,56 M","2,60 M","3,63 M","4,46 M","5,16 M","77,20 M","4,05 M","2,04 M"
Emprést. de longo prazo,"859,00 Mil","1,11 M",0,0,"1,64 M","1,83 M","2,11 M","2,60 M","2,38 M",0,0,0,"62,00 Mil","506,00 Mil","1,45 M","2,49 M","3,50 M","4,36 M","5,16 M","77,20 M","4,05 M","2,04 M"
Patrimônio líquido,"103,02 M","113,46 M","203,29 M","207,09 M","186,19 M","196,86 M","231,36 M","247,96 M","272,30 M","283,78 M","477,57 M","486,35 M","500,62 M","533,49 M","572,51 M","589,77 M","592,86 M","613,21 M","635,51 M","48,88 M","13,73 M","12,56 M"
Aos não controladores,"981,00 Mil","749,00 Mil","20,15 M","20,16 M","-809,00 Mil","-1,69 M","-788,00 Mil","-12,00 Mil","-191,00 Mil","-172,00 Mil","460,00 Mil","588,00 Mil","767,00 Mil","1,13 M","1,04 M","56,00 Mil","3,00 Mil",0,0,0,0,0
