Conta,4T2025 (TTM),2024,2023,2022,2021,2020
P/L,"-1,02","-2,95","-0,92","-3,24","951,71",-
P/VP,"0,78","1,27","0,79","0,50","1,86",-
P/EBIT,"-0,93","-2,75","-1,11","-2,93","-42,63",-
P/EBIT *,"-1,44","-4,58","-3,11","-3,16","-39,59",-
PSR,"3,92","10,58","4,15","3,23","12,48",-
P/Ativos,"0,70","1,16","0,72","0,46","1,77",-
LPA,"-2,15","-2,14","-6,08","-2,06","0,03",-
VPA,"2,82","4,96","7,09","13,30","15,32",-
EBIT por ação,"-2,36","-2,29","-5,03","-2,27","-0,67",-
EBIT por ação *,"-1,52","-1,38","-1,80","-2,10","-0,72",-
Ativo por ação,"3,12","5,42","7,74","14,59","16,16",-
Receita líquida por ação,"0,56","0,60","1,35","2,06","2,29",-
Margem bruta,"11,40%","2,52%","26,12%","47,30%","61,12%","84,27%"
Margem líquida,"-384,98%","-363,56%","-451,61%","-99,44%","1,31%","32,78%"
Margem EBIT,"-423,22%","-384,05%","-372,63%","-110,13%","-29,27%","44,99%"
Margem EBIT *,"-272,17%","-231,21%","-133,51%","-102,03%","-31,52%","44,99%"
Margem EBITDA,"-386,02%","-338,00%","-326,73%","-89,10%","-19,95%","46,88%"
Margem EBITDA *,"-234,97%","-185,16%","-87,61%","-81,01%","-22,20%","46,88%"
Margem operacional,"-387,49%","-368,04%","-377,39%","-114,48%","-18,79%","44,39%"
ROE,"-64,76%","-44,08%","-85,92%","-15,37%","0,20%","104,70%"
ROA,"-0,60","-0,40","-0,79","-0,14","0,00","0,66"
ROIC,"-70,25%","-50,22%","-89,61%","-22,80%","-8,17%","130,49%"
ROIC *,"-45,18%","-30,23%","-32,11%","-21,12%","-8,80%","130,49%"
Giro do ativo,"0,16","0,11","0,17","0,14","0,14","2,00"
EBIT *,-61 mi,-56 mi,-73 mi,-85 mi,-29 mi,18 mi
EBITDA,-87 mi,-81 mi,-177 mi,-74 mi,-19 mi,18 mi
EBITDA *,-53 mi,-45 mi,-48 mi,-67 mi,-21 mi,18 mi
Liquidez corrente,"8,24","4,21","4,84","4,23","11,99","1,97"
Liquidez seca,"8,24","4,21","4,84","4,23","11,99","1,97"
Liquidez imediata,"1,13","2,08","3,57","2,98","11,01","1,14"
Dívida bruta,0 mi,2 mi,0 mi,3 mi,8 mi,3 mi
Dívida líquida,-10 mi,-32 mi,-85 mi,-182 mi,-311 mi,-4 mi
Capital de giro,58 mi,51 mi,89 mi,160 mi,317 mi,5 mi
Endividamento geral,"8,22%","10,12%","9,11%","9,43%","5,44%","59,30%"
