Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"-1,52","-2,56","3.840,72","57,94","-42,59","28,96","43,08",-,-
P/VP,"0,85","1,02","1,03","2,14","1,48","3,65","6,10",-,-
P/EBIT,"-72,20","31,42","5,31","11,07","9,10","12,05","19,04",-,-
P/EBIT *,"140,60","36,44","7,09","23,41","9,85","11,20","17,04",-,-
PSR,"0,10","0,15","0,21","0,48","0,34","0,97","1,80",-,-
P/Ativos,"0,07","0,11","0,15","0,34","0,26","0,73","1,32",-,-
LPA,"-0,93","-0,78","0,00","0,10","-0,09","0,33","0,33",-,-
VPA,"1,66","1,96","2,64","2,58","2,59","2,62","2,32",-,-
EBIT por ação,"-0,02","0,06","0,51","0,50","0,42","0,79","0,74",-,-
EBIT por ação *,"0,01","0,05","0,38","0,24","0,39","0,85","0,83",-,-
Ativo por ação,"18,86","18,23","17,89","15,98","14,65","13,01","10,72",-,-
Receita líquida por ação,"13,60","13,48","12,89","11,59","11,18","9,83","7,83",-,-
Margem bruta,"31,77%","32,43%","34,81%","34,44%","33,26%","39,04%","41,32%","40,33%","36,94%"
Margem líquida,"-6,84%","-5,81%","0,01%","0,82%","-0,81%","3,35%","4,19%","2,24%","1,65%"
Margem EBIT,"-0,14%","0,47%","3,96%","4,30%","3,79%","8,06%","9,47%","8,48%","6,44%"
Margem EBIT *,"0,07%","0,41%","2,97%","2,03%","3,50%","8,67%","10,58%","9,58%","6,73%"
Margem EBITDA,"2,31%","5,43%","8,89%","9,51%","8,38%","12,11%","13,25%","12,09%","7,49%"
Margem EBITDA *,"2,53%","5,37%","7,89%","7,24%","8,10%","12,72%","14,36%","13,19%","7,78%"
Margem operacional,"-6,45%","-5,52%","-0,57%","-0,12%","-1,07%","4,54%","6,07%","3,54%","2,73%"
ROE,"-56,07%","-39,99%","0,03%","3,69%","-3,48%","12,60%","14,16%","20,68%","14,02%"
ROA,"-0,05","-0,04","0,00","0,01","-0,01","0,03","0,03","0,02","0,02"
ROIC,"-0,14%","0,49%","4,10%","4,33%","4,08%","8,74%","11,44%","10,75%","10,28%"
ROIC *,"0,07%","0,42%","3,07%","2,05%","3,77%","9,41%","12,78%","12,14%","10,74%"
Giro do ativo,"0,72","0,74","0,72","0,73","0,76","0,76","0,73","0,82","1,01"
EBIT *,2 mi,11 mi,79 mi,48 mi,80 mi,176 mi,171 mi,128 mi,79 mi
EBITDA,64 mi,151 mi,236 mi,227 mi,193 mi,246 mi,214 mi,162 mi,88 mi
EBITDA *,71 mi,149 mi,210 mi,173 mi,187 mi,258 mi,232 mi,177 mi,91 mi
Liquidez corrente,"1,86","1,61","1,56","1,70","1,89","1,62","1,64","1,63","1,59"
Liquidez seca,"1,53","1,30","1,25","1,33","1,45","1,21","1,31","1,31","1,21"
Liquidez imediata,"0,39","0,25","0,29","0,32","0,39","0,23","0,49","0,34","0,26"
Dívida bruta,568 mi,582 mi,534 mi,501 mi,413 mi,267 mi,375 mi,335 mi,245 mi
Dívida líquida,-205 mi,-18 mi,-119 mi,-31 mi,-80 mi,-74 mi,-132 mi,65 mi,64 mi
Capital de giro,1.356 mi,1.045 mi,944 mi,910 mi,958 mi,696 mi,625 mi,446 mi,333 mi
Endividamento geral,"1.036,87%","831,32%","578,07%","519,28%","464,69%","397,14%","362,88%","1.029,16%","741,44%"
