Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,1T2019
Ativo total,"7,96 B","7,45 B","7,45 B","7,14 B","7,35 B","7,42 B","7,22 B","6,70 B","6,74 B","6,55 B","6,30 B","6,16 B","5,89 B","5,30 B","4,70 B","4,25 B","3,77 B","3,56 B","3,54 B","3,46 B","2,81 B","3,02 B","2,70 B","2,54 B","1,96 B"
Ativo circulante,"3,34 B","2,84 B","2,62 B","2,30 B","2,76 B","2,88 B","2,63 B","2,12 B","2,53 B","2,53 B","2,17 B","2,05 B","2,10 B","2,68 B","2,11 B","2,00 B","1,79 B","1,87 B","1,79 B","1,77 B","1,32 B","1,39 B","998,46 M","805,00 M","714,42 M"
Caixa e eq. de caixa,"2,06 B","1,49 B","1,50 B","1,24 B","1,18 B","1,20 B","1,30 B","1,05 B","1,09 B","914,01 M","839,11 M","999,12 M","967,79 M","1,65 B","1,18 B","1,24 B","855,86 M","1,03 B","1,09 B","1,19 B","647,75 M","742,74 M","467,53 M","389,08 M","343,30 M"
Aplicações financeiras,"294,00 Mil","174,00 Mil","1,52 M","3,49 M","9,98 M","9,76 M","17,80 M","17,45 M","13,23 M","12,77 M","30,50 M","14,15 M","28,53 M","30,22 M","95,10 M","57,79 M","76,00 Mil","361,00 Mil","100,77 M","26,64 M","7,62 M","11,78 M","61,80 M","29,92 M",0
Contas a receber,"66,25 M","111,61 M","80,74 M","90,25 M","124,65 M","97,41 M","72,61 M","126,08 M","99,42 M","85,17 M","88,30 M","47,50 M","49,48 M","92,91 M","32,90 M","45,24 M","43,67 M","46,60 M",0,"36,52 M","71,19 M","96,20 M","67,24 M","44,03 M","45,48 M"
Estoques,"534,98 M","630,96 M","394,17 M","212,59 M","711,45 M","855,62 M","490,88 M","224,85 M","723,09 M","830,15 M","472,12 M","196,19 M","363,46 M","398,61 M","264,82 M","131,58 M","318,37 M","297,18 M","138,53 M","76,62 M","256,18 M","237,01 M","138,61 M","69,88 M","60,40 M"
Ativos biológicos,"326,80 M","314,01 M","404,54 M","614,54 M","599,26 M","543,84 M","585,37 M","531,26 M","369,19 M","515,03 M","524,19 M","599,55 M","514,40 M","410,24 M","443,17 M","432,97 M","517,37 M","449,19 M","417,60 M","369,90 M","274,12 M","226,72 M","186,83 M","186,86 M","209,42 M"
Ativo não circulante,"4,62 B","4,61 B","4,83 B","4,84 B","4,58 B","4,54 B","4,58 B","4,58 B","4,21 B","4,02 B","4,14 B","4,11 B","3,79 B","2,62 B","2,59 B","2,25 B","1,98 B","1,69 B","1,75 B","1,69 B","1,50 B","1,63 B","1,70 B","1,74 B","1,24 B"
Investimentos,"106,17 M","95,12 M","91,85 M","88,59 M","100,03 M","97,55 M","95,09 M","89,65 M","94,87 M","94,97 M","87,62 M","82,22 M","86,68 M","88,39 M","83,91 M","100,01 M","111,88 M","104,28 M","107,70 M","101,93 M","103,74 M","138,24 M","132,14 M","132,24 M","122,31 M"
Imobilizado,"4,14 B","4,15 B","4,40 B","4,45 B","4,18 B","4,10 B","4,15 B","4,14 B","3,69 B","3,49 B","3,60 B","3,52 B","3,25 B","2,20 B","2,25 B","1,93 B","1,70 B","1,46 B","1,52 B","1,46 B","1,29 B","1,39 B","1,46 B","1,49 B","970,60 M"
