Conta,4T2025 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"19,52","-20,89","23,96","3,10","5,50","16,21",-,-
P/VP,"0,44","0,58","0,98","1,11","1,54","2,43",-,-
P/EBIT,"-44,39","2,48","5,44","2,20","2,84","5,32",-,-
P/EBIT *,"-4,47","3,92","8,09","7,00","3,84","6,41",-,-
PSR,"0,39","0,50","1,07","1,26","1,47","2,54",-,-
P/Ativos,"0,11","0,16","0,30","0,35","0,50","0,80",-,-
LPA,"0,15","-0,18","0,28","2,28","1,28","0,56",-,-
VPA,"6,80","6,60","6,84","6,38","4,58","3,74",-,-
EBIT por ação,"-0,07","1,55","1,24","3,22","2,48","1,71",-,-
EBIT por ação *,"-0,67","0,98","0,83","1,01","1,83","1,42",-,-
Ativo por ação,"26,22","23,51","22,08","20,29","14,00","11,40",-,-
Receita líquida por ação,"7,63","7,70","6,29","5,63","4,77","3,58",-,-
Margem bruta,"7,11%","27,33%","27,93%","32,04%","52,13%","55,93%","30,67%","23,56%"
Margem líquida,"2,01%","-2,39%","4,46%","40,55%","26,77%","15,70%","8,59%","9,37%"
Margem EBIT,"-0,88%","20,18%","19,63%","57,20%","51,89%","47,88%","27,65%","27,74%"
Margem EBIT *,"-8,77%","12,75%","13,20%","17,98%","38,31%","39,69%","14,90%","11,86%"
Margem EBITDA,"54,38%","65,61%","73,38%","90,87%","79,36%","68,89%","65,31%","64,50%"
Margem EBITDA *,"46,49%","58,17%","66,95%","51,65%","65,79%","60,70%","52,56%","48,63%"
Margem operacional,"1,89%","-6,26%","2,15%","41,45%","31,31%","19,61%","6,50%","8,23%"
ROE,"2,25%","-2,79%","4,10%","35,74%","27,93%","15,00%","12,73%","13,55%"
ROA,"0,01","-0,01","0,01","0,11","0,09","0,05","0,03","0,04"
ROIC,"-0,35%","8,19%","6,85%","19,38%","26,60%","23,65%","11,80%","13,42%"
ROIC *,"-3,50%","5,17%","4,60%","6,09%","19,64%","19,61%","6,36%","5,74%"
Giro do ativo,"0,29","0,33","0,28","0,28","0,34","0,31","0,35","0,39"
EBIT *,-204 mi,297 mi,251 mi,306 mi,555 mi,430 mi,132 mi,90 mi
EBITDA,1.258 mi,1.533 mi,1.401 mi,1.551 mi,1.150 mi,747 mi,582 mi,491 mi
EBITDA *,1.076 mi,1.360 mi,1.278 mi,881 mi,953 mi,658 mi,468 mi,370 mi
Liquidez corrente,"3,39","2,19","2,88","2,47","2,71","2,58","2,17","2,51"
Liquidez seca,"2,85","1,99","2,58","2,23","2,53","2,47","1,98","2,30"
Liquidez imediata,"2,09","1,18","1,43","1,20","1,69","1,74","1,05","1,21"
Dívida bruta,5.336 mi,4.547 mi,4.016 mi,3.349 mi,2.157 mi,1.927 mi,1.732 mi,1.236 mi
Dívida líquida,3.277 mi,3.306 mi,2.949 mi,2.335 mi,857 mi,707 mi,1.313 mi,893 mi
Capital de giro,2.353 mi,1.250 mi,1.384 mi,1.221 mi,1.260 mi,1.084 mi,433 mi,429 mi
Endividamento geral,"285,66%","256,32%","223,02%","217,99%","206,03%","204,68%","323,26%","271,56%"
